"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.155867467351e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000090726010e-02 5.000090723282e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499990927399e-01 9.499990927672e-01
8.640000000000e+04 1.155867467355e+06 2.607529267936e+02 2.614745321002e+02 2.630229177792e+02 2.653233042621e+02 2.679950717921e+02 2.697354736942e+02 2.700850461106e+02 2.701455920376e+02 2.701499999653e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.139873854180e-01 1.143254237207e-01 8.046502543355e-02 8.376403861504e-02 8.989361974307e-02 9.703450930935e-02 9.911017945558e-02 9.950350449288e-02 5.000090726009e-02 5.000090723282e-02 7.385445038521e-01 7.406366001351e-01 8.838214156055e-01 8.852459365301e-01 8.875914264094e-01 8.959401624524e-01 9.008898205444e-01 9.004964955071e-01 9.499990927399e-01 9.499990927672e-01
1.728000000000e+05 1.155867467363e+06 2.608713008600e+02 2.613361966941e+02 2.623668679230e+02 2.640434787815e+02 2.664561952208e+02 2.688867297728e+02 2.698014808486e+02 2.701010762934e+02 2.701499947965e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140409125066e-01 1.142583760970e-01 7.971213985917e-02 8.178353137253e-02 8.593956395945e-02 9.303992119044e-02 9.740296356576e-02 9.921321267963e-02 5.000090725852e-02 5.000090723282e-02 7.384941671135e-01 7.406999086398e-01 8.845683292368e-01 8.872534887249e-01 8.917090901605e-01 9.001837097042e-01 9.025970364342e-01 9.007867873204e-01 9.499990927415e-01 9.499990927672e-01
2.592000000000e+05 1.155867467363e+06 2.623748259454e+02 2.625999411885e+02 2.631417188482e+02 2.641469108419e+02 2.658830014907e+02 2.681909549224e+02 2.694334127251e+02 2.700116512477e+02 2.701499679027e+02 2.701499999994e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147908532313e-01 1.149158557816e-01 8.060871605224e-02 8.192872435021e-02 8.477933902568e-02 9.051610941950e-02 9.546702305300e-02 9.864761526535e-02 5.000090725039e-02 5.000090723282e-02 7.377838085067e-01 7.400756198875e-01 8.836782663196e-01 8.871073012055e-01 8.929033079634e-01 9.028445409186e-01 9.045329769470e-01 9.013523847347e-01 9.499990927496e-01 9.499990927672e-01
3.456000000000e+05 1.155867467363e+06 2.630328585154e+02 2.632058454018e+02 2.636112439580e+02 2.643544409034e+02 2.656890234816e+02 2.677136820872e+02 2.690690339175e+02 2.698843902228e+02 2.701498840680e+02 2.701499999971e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151671217598e-01 1.152717897137e-01 8.120095050851e-02 8.222723349544e-02 8.441538817495e-02 8.905519397698e-02 9.379829457295e-02 9.788051268671e-02 5.000090722505e-02 5.000090723282e-02 7.374235856688e-01 7.397343378171e-01 8.830863360595e-01 8.868062290988e-01 8.932763406442e-01 9.043755104941e-01 9.062017054271e-01 9.021194873133e-01 9.499990927749e-01 9.499990927672e-01
4.320000000000e+05 1.155867467365e+06 2.620686054822e+02 2.623454185578e+02 2.629341841065e+02 2.638630616105e+02 2.652924340062e+02 2.672992739955e+02 2.687247213628e+02 2.697299908692e+02 2.701496848653e+02 2.701499999894e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146265900826e-01 1.147747949574e-01 8.035923787744e-02 8.153573227732e-02 8.371101560809e-02 8.792535239453e-02 9.240278451266e-02 9.700420219508e-02 5.000090716484e-02 5.000090723282e-02 7.379402527010e-01 7.402102233660e-01 8.839266854056e-01 8.875025948628e-01 8.939959667657e-01 9.055540064140e-01 9.075972154873e-01 9.029957978049e-01 9.499990928352e-01 9.499990927672e-01
5.184000000000e+05 1.155867467365e+06 2.597194204585e+02 2.601655265824e+02 2.610922565116e+02 2.624727573294e+02 2.643912934497e+02 2.667614968695e+02 2.683565227122e+02 2.695515358266e+02 2.701492867237e+02 2.701499999683e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135487520700e-01 1.137320420829e-01 7.841867789759e-02 7.982923915802e-02 8.228127673332e-02 8.661606481596e-02 9.106953173279e-02 9.605792916482e-02 5.000090704451e-02 5.000090723281e-02 7.389553986845e-01 7.411943167314e-01 8.858382918944e-01 8.892036793010e-01 8.954463530864e-01 9.069127793582e-01 9.089304682672e-01 9.039420708352e-01 9.499990929555e-01 9.499990927672e-01
6.048000000000e+05 1.155867467365e+06 2.590755097863e+02 2.594553017928e+02 2.602812852095e+02 2.616017785017e+02 2.635849192510e+02 2.661730672685e+02 2.679542438542e+02 2.693484741711e+02 2.701485809519e+02 2.701499999182e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.132988186954e-01 1.134442307308e-01 7.769180321094e-02 7.891157441519e-02 8.116666980311e-02 8.534976578313e-02 8.976779371315e-02 9.505805742994e-02 5.000090683130e-02 5.000090723280e-02 7.391884454460e-01 7.414629661780e-01 8.865439464109e-01 8.901069502555e-01 8.965662798868e-01 9.082189135847e-01 9.102322062869e-01 9.049419425701e-01 9.499990931687e-01 9.499990927672e-01
6.912000000000e+05 1.155867467365e+06 2.562682277898e+02 2.568330223101e+02 2.580196258656e+02 2.598098977546e+02 2.623254371391e+02 2.654178903450e+02 2.674814660900e+02 2.691142774715e+02 2.701474342846e+02 2.701499998119e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123727138550e-01 1.125407174063e-01 7.596576824822e-02 7.729829506131e-02 7.966676217882e-02 8.392834430407e-02 8.840754794718e-02 9.399389103107e-02 5.000090648510e-02 5.000090723276e-02 7.400496673157e-01 7.423022764197e-01 8.881939838999e-01 8.916726044760e-01 8.980561474147e-01 9.096742069450e-01 9.115924520528e-01 9.060061089689e-01 9.499990935149e-01 9.499990927672e-01
7.776000000000e+05 1.155867467365e+06 2.548088311879e+02 2.553496305640e+02 2.565197159069e+02 2.583633887125e+02 2.610833912895e+02 2.645646592055e+02 2.669334985209e+02 2.688418811106e+02 2.701456888350e+02 2.701499996042e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119732336921e-01 1.121158308988e-01 7.501017878987e-02 7.620382478873e-02 7.841036239163e-02 8.253986283271e-02 8.701722833909e-02 9.286000678230e-02 5.000090595862e-02 5.000090723270e-02 7.404238499363e-01 7.426983352943e-01 8.890909024112e-01 8.927168285169e-01 8.992867968626e-01 9.110829483380e-01 9.129827716609e-01 9.071399932177e-01 9.499990940414e-01 9.499990927673e-01
