"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.151970494748e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 1.000409699560e-02 1.000409687243e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.899959030044e-01 9.899959031276e-01
8.640000000000e+04 1.151970494751e+06 2.607529267936e+02 2.614745321002e+02 2.630229177792e+02 2.653233042621e+02 2.679950717921e+02 2.697354736942e+02 2.700850461104e+02 2.701455920356e+02 2.701499999632e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.139873854180e-01 1.143254237207e-01 8.046502543355e-02 8.376403861504e-02 8.989361974306e-02 9.703450930924e-02 9.911017945473e-02 9.950350448011e-02 1.000409699555e-02 1.000409687243e-02 7.385445038521e-01 7.406366001351e-01 8.838214156055e-01 8.852459365301e-01 8.875914264095e-01 8.959401624526e-01 9.008898205453e-01 9.004964955199e-01 9.899959030045e-01 9.899959031276e-01
1.728000000000e+05 1.151970494760e+06 2.608713008600e+02 2.613361966940e+02 2.623668679225e+02 2.640434787802e+02 2.664561952178e+02 2.688867297634e+02 2.698014808140e+02 2.701010760516e+02 2.701499945179e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140409125066e-01 1.142583760969e-01 7.971213985858e-02 8.178353137074e-02 8.593956395313e-02 9.303992115244e-02 9.740296337013e-02 9.921321111881e-02 1.000409698811e-02 1.000409687243e-02 7.384941671135e-01 7.406999086399e-01 8.845683292375e-01 8.872534887268e-01 8.917090901670e-01 9.001837097444e-01 9.025970366299e-01 9.007867888812e-01 9.899959030119e-01 9.899959031276e-01
2.592000000000e+05 1.151970494760e+06 2.623748259451e+02 2.625999411868e+02 2.631417188432e+02 2.641469108312e+02 2.658830014671e+02 2.681909548485e+02 2.694334124813e+02 2.700116498149e+02 2.701499662295e+02 2.701499999994e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147908532311e-01 1.149158557807e-01 8.060871604621e-02 8.192872433511e-02 8.477933898048e-02 9.051610917825e-02 9.546702186031e-02 9.864760638448e-02 1.000409694950e-02 1.000409687242e-02 7.377838085069e-01 7.400756198885e-01 8.836782663256e-01 8.871073012208e-01 8.929033080099e-01 9.028445411720e-01 9.045329781397e-01 9.013523936155e-01 9.899959030505e-01 9.899959031276e-01
3.456000000000e+05 1.151970494760e+06 2.630328585141e+02 2.632058453945e+02 2.636112439371e+02 2.643544408566e+02 2.656890233750e+02 2.677136817641e+02 2.690690329348e+02 2.698843852101e+02 2.701498781741e+02 2.701499999968e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151671217590e-01 1.152717897093e-01 8.120095048123e-02 8.222723342710e-02 8.441538797852e-02 8.905519304921e-02 9.379829035652e-02 9.788048329913e-02 1.000409682929e-02 1.000409687242e-02 7.374235856695e-01 7.397343378214e-01 8.830863360868e-01 8.868062291679e-01 8.932763408454e-01 9.043755114639e-01 9.062017096435e-01 9.021195167009e-01 9.899959031707e-01 9.899959031276e-01
4.320000000000e+05 1.151970494761e+06 2.620686054779e+02 2.623454185325e+02 2.629341840337e+02 2.638630614497e+02 2.652924336474e+02 2.672992729623e+02 2.687247184363e+02 2.697299776172e+02 2.701496692316e+02 2.701499999882e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146265900803e-01 1.147747949436e-01 8.035923779124e-02 8.153573205954e-02 8.371101499352e-02 8.792534971863e-02 9.240277330274e-02 9.700412937087e-02 1.000409654408e-02 1.000409687241e-02 7.379402527031e-01 7.402102233792e-01 8.839266854913e-01 8.875025950816e-01 8.939959673923e-01 9.055540091989e-01 9.075972266973e-01 9.029958706291e-01 9.899959034559e-01 9.899959031276e-01
5.184000000000e+05 1.151970494761e+06 2.597194204464e+02 2.601655265115e+02 2.610922563072e+02 2.624727568795e+02 2.643912924635e+02 2.667614941681e+02 2.683565155408e+02 2.695515065700e+02 2.701492521775e+02 2.701499999648e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135487520652e-01 1.137320420531e-01 7.841867770575e-02 7.982923865701e-02 8.228127528273e-02 8.661605863038e-02 9.106950717331e-02 9.605777944479e-02 1.000409597492e-02 1.000409687238e-02 7.389553986890e-01 7.411943167593e-01 8.858382920814e-01 8.892036797966e-01 8.954463545504e-01 9.069127857586e-01 9.089304928267e-01 9.039422205552e-01 9.899959040251e-01 9.899959031276e-01
6.048000000000e+05 1.151970494762e+06 2.590755097571e+02 2.594553016224e+02 2.602812847193e+02 2.616017774294e+02 2.635849169350e+02 2.661730611767e+02 2.679542285645e+02 2.693484172541e+02 2.701485138171e+02 2.701499999093e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.132988186844e-01 1.134442306643e-01 7.769180279114e-02 7.891157334581e-02 8.116666679297e-02 8.534975345557e-02 8.976774694238e-02 9.505778771620e-02 1.000409496766e-02 1.000409687230e-02 7.391884454562e-01 7.414629662400e-01 8.865439468166e-01 8.901069513030e-01 8.965662828973e-01 9.082189262580e-01 9.102322530576e-01 9.049422122838e-01 9.899959050323e-01 9.899959031277e-01
6.912000000000e+05 1.151970494762e+06 2.562682277279e+02 2.568330219483e+02 2.580196248213e+02 2.598098954723e+02 2.623254322698e+02 2.654178780153e+02 2.674814366750e+02 2.691141765519e+02 2.701473156378e+02 2.701499997914e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123727138370e-01 1.125407172960e-01 7.596576753674e-02 7.729829320368e-02 7.966675686000e-02 8.392832270247e-02 8.840746830542e-02 9.399345121858e-02 1.000409333416e-02 1.000409687214e-02 7.400496673324e-01 7.423022765221e-01 8.881939845722e-01 8.916726062611e-01 8.980561526597e-01 9.096742289655e-01 9.115925316946e-01 9.060065487814e-01 9.899959066658e-01 9.899959031279e-01
7.776000000000e+05 1.151970494762e+06 2.548088310681e+02 2.553496298636e+02 2.565197138833e+02 2.583633842980e+02 2.610833819662e+02 2.645646363273e+02 2.669334462797e+02 2.688417143106e+02 2.701454938099e+02 2.701499995616e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119732336612e-01 1.121158307101e-01 7.501017758371e-02 7.620382168159e-02 7.841035365098e-02 8.253982822571e-02 8.701710405564e-02 9.285934342342e-02 1.000409085294e-02 1.000409687183e-02 7.404238499654e-01 7.426983354709e-01 8.890909035356e-01 8.927168314595e-01 8.992868053640e-01 9.110829832753e-01 9.129828959444e-01 9.071406565766e-01 9.899959091471e-01 9.899959031282e-01
