"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.155867761978e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 1.155867761981e+06 2.607529267936e+02 2.614745321002e+02 2.630229177792e+02 2.653233042621e+02 2.679950717921e+02 2.697354736942e+02 2.700850461106e+02 2.701455920376e+02 2.701499999653e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.139873854180e-01 1.143254237207e-01 8.046502543355e-02 8.376403861504e-02 8.989361974307e-02 9.703450930935e-02 9.911017945558e-02 9.950350449290e-02 5.000393146038e-02 5.000393134223e-02 7.385445038521e-01 7.406366001351e-01 8.838214156055e-01 8.852459365301e-01 8.875914264094e-01 8.959401624524e-01 9.008898205444e-01 9.004964955071e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 1.155867761990e+06 2.608713008600e+02 2.613361966941e+02 2.623668679230e+02 2.640434787815e+02 2.664561952208e+02 2.688867297728e+02 2.698014808486e+02 2.701010762939e+02 2.701499947977e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140409125066e-01 1.142583760970e-01 7.971213985917e-02 8.178353137254e-02 8.593956395947e-02 9.303992119052e-02 9.740296356613e-02 9.921321268262e-02 5.000393145361e-02 5.000393134223e-02 7.384941671135e-01 7.406999086398e-01 8.845683292368e-01 8.872534887249e-01 8.917090901604e-01 9.001837097041e-01 9.025970364339e-01 9.007867873174e-01 9.499960685464e-01 9.499960686578e-01
2.592000000000e+05 1.155867761990e+06 2.623748259454e+02 2.625999411885e+02 2.631417188482e+02 2.641469108419e+02 2.658830014908e+02 2.681909549225e+02 2.694334127256e+02 2.700116512506e+02 2.701499679102e+02 2.701499999994e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147908532313e-01 1.149158557817e-01 8.060871605226e-02 8.192872435025e-02 8.477933902578e-02 9.051610941999e-02 9.546702305539e-02 9.864761528319e-02 5.000393141838e-02 5.000393134223e-02 7.377838085067e-01 7.400756198875e-01 8.836782663195e-01 8.871073012054e-01 8.929033079633e-01 9.028445409181e-01 9.045329769446e-01 9.013523847168e-01 9.499960685816e-01 9.499960686578e-01
3.456000000000e+05 1.155867761990e+06 2.630328585154e+02 2.632058454018e+02 2.636112439580e+02 2.643544409035e+02 2.656890234819e+02 2.677136820879e+02 2.690690339195e+02 2.698843902332e+02 2.701498840943e+02 2.701499999971e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151671217598e-01 1.152717897137e-01 8.120095050857e-02 8.222723349559e-02 8.441538817536e-02 8.905519397889e-02 9.379829458165e-02 9.788051274788e-02 5.000393130859e-02 5.000393134222e-02 7.374235856688e-01 7.397343378171e-01 8.830863360594e-01 8.868062290986e-01 8.932763406438e-01 9.043755104921e-01 9.062017054183e-01 9.021194872521e-01 9.499960686914e-01 9.499960686578e-01
4.320000000000e+05 1.155867761991e+06 2.620686054822e+02 2.623454185578e+02 2.629341841066e+02 2.638630616108e+02 2.652924340069e+02 2.672992739977e+02 2.687247213690e+02 2.697299908975e+02 2.701496849350e+02 2.701499999894e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146265900826e-01 1.147747949574e-01 8.035923787762e-02 8.153573227777e-02 8.371101560938e-02 8.792535240016e-02 9.240278453641e-02 9.700420235091e-02 5.000393104772e-02 5.000393134221e-02 7.379402527010e-01 7.402102233660e-01 8.839266854054e-01 8.875025948623e-01 8.939959667644e-01 9.055540064081e-01 9.075972154636e-01 9.029957976491e-01 9.499960689523e-01 9.499960686578e-01
5.184000000000e+05 1.155867761991e+06 2.597194204586e+02 2.601655265826e+02 2.610922565120e+02 2.624727573304e+02 2.643912934519e+02 2.667614968753e+02 2.683565227277e+02 2.695515358906e+02 2.701492868774e+02 2.701499999683e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135487520701e-01 1.137320420830e-01 7.841867789800e-02 7.982923915909e-02 8.228127673642e-02 8.661606482926e-02 9.106953178594e-02 9.605792949227e-02 5.000393052642e-02 5.000393134219e-02 7.389553986845e-01 7.411943167313e-01 8.858382918940e-01 8.892036792999e-01 8.954463530833e-01 9.069127793445e-01 9.089304682141e-01 9.039420705077e-01 9.499960694736e-01 9.499960686578e-01
6.048000000000e+05 1.155867761992e+06 2.590755097863e+02 2.594553017932e+02 2.602812852106e+02 2.616017785040e+02 2.635849192561e+02 2.661730672818e+02 2.679542438879e+02 2.693484742976e+02 2.701485812496e+02 2.701499999183e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.132988186954e-01 1.134442307310e-01 7.769180321185e-02 7.891157441751e-02 8.116666980966e-02 8.534976581010e-02 8.976779381612e-02 9.505805802973e-02 5.000392960267e-02 5.000393134212e-02 7.391884454459e-01 7.414629661778e-01 8.865439464100e-01 8.901069502532e-01 8.965662798802e-01 9.082189135570e-01 9.102322061839e-01 9.049419419703e-01 9.499960703973e-01 9.499960686579e-01
6.912000000000e+05 1.155867761992e+06 2.562682277899e+02 2.568330223109e+02 2.580196258679e+02 2.598098977596e+02 2.623254371498e+02 2.654178903724e+02 2.674814661556e+02 2.691142776986e+02 2.701474348088e+02 2.701499998119e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123727138550e-01 1.125407174065e-01 7.596576824979e-02 7.729829506540e-02 7.966676219056e-02 8.392834435199e-02 8.840754812483e-02 9.399389202079e-02 5.000392810277e-02 5.000393134198e-02 7.400496673157e-01 7.423022764194e-01 8.881939838984e-01 8.916726044720e-01 8.980561474031e-01 9.096742068962e-01 9.115924518752e-01 9.060061079792e-01 9.499960718972e-01 9.499960686580e-01
7.776000000000e+05 1.155867761992e+06 2.548088311882e+02 2.553496305656e+02 2.565197159115e+02 2.583633887224e+02 2.610833913103e+02 2.645646592568e+02 2.669334986385e+02 2.688418814887e+02 2.701456896926e+02 2.701499996043e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119732336922e-01 1.121158308992e-01 7.501017879256e-02 7.620382479566e-02 7.841036241116e-02 8.253986291028e-02 8.701722861891e-02 9.286000828618e-02 5.000392582181e-02 5.000393134171e-02 7.404238499362e-01 7.426983352939e-01 8.890909024087e-01 8.927168285104e-01 8.992867968436e-01 9.110829482596e-01 9.129827713811e-01 9.071399917138e-01 9.499960741782e-01 9.499960686583e-01
