"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.155542793746e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 5.058973016132e-02 5.058973016132e-02 5.058973016132e-02 5.058973016132e-02 5.058972969798e-02 5.058972814545e-02 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 9.026997191334e-01 9.114881541110e-01 9.259946135031e-01 9.454156479660e-01 9.494102703020e-01 9.494102718545e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 1.155542793745e+06 2.607353222955e+02 2.613718361764e+02 2.627458019458e+02 2.648140135184e+02 2.673550249326e+02 2.693569328877e+02 2.699561009464e+02 2.701259574964e+02 2.701499995758e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.139794863861e-01 1.142755435918e-01 5.017030753129e-02 5.021243638238e-02 5.030541924591e-02 5.046647086416e-02 5.055393995178e-02 5.058504110620e-02 5.000393145987e-02 5.000393134223e-02 7.385519282612e-01 7.406837058302e-01 9.021924572802e-01 9.111854710049e-01 9.259171083252e-01 9.454361492798e-01 9.494429347588e-01 9.494149588938e-01 9.499960685401e-01 9.499960686578e-01
1.728000000000e+05 1.155542793745e+06 2.608595141151e+02 2.612674243405e+02 2.621777538006e+02 2.636653079556e+02 2.658541918034e+02 2.682807727450e+02 2.694423845507e+02 2.699912659725e+02 2.701499679555e+02 2.701499999996e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140355501835e-01 1.142254536962e-01 5.016152062303e-02 5.018676600807e-02 5.024266393479e-02 5.036343002415e-02 5.047721675861e-02 5.056010292080e-02 5.000393141844e-02 5.000393134223e-02 7.384992118867e-01 7.407309663903e-01 9.021329069682e-01 9.110674719122e-01 9.257838186775e-01 9.453958337836e-01 9.494525367249e-01 9.494398970792e-01 9.499960685816e-01 9.499960686578e-01
2.592000000000e+05 1.155542793745e+06 2.623672818885e+02 2.625559553328e+02 2.630176380971e+02 2.638816208850e+02 2.654020436357e+02 2.675563306163e+02 2.689255134556e+02 2.697877558288e+02 2.701498307031e+02 2.701499999968e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147867278325e-01 1.148911380294e-01 5.017486167444e-02 5.019111309620e-02 5.022852639726e-02 5.031639945737e-02 5.041885717245e-02 5.052621353792e-02 5.000393123865e-02 5.000393134222e-02 7.377877435612e-01 7.400992325851e-01 9.022208378500e-01 9.110899995248e-01 9.257393850548e-01 9.453456097446e-01 9.494421568232e-01 9.494737864621e-01 9.499960687614e-01 9.499960686578e-01
3.456000000000e+05 1.155542793745e+06 2.630269960963e+02 2.631716517149e+02 2.635147866295e+02 2.641468713795e+02 2.652957127181e+02 2.671182225239e+02 2.684949215316e+02 2.695544440163e+02 2.701494611889e+02 2.701499999853e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151636187389e-01 1.152508984057e-01 5.018385641578e-02 5.019672917089e-02 5.022543829853e-02 5.029344144401e-02 5.038013662884e-02 5.049208218318e-02 5.000393075468e-02 5.000393134221e-02 7.374269513452e-01 7.397544339999e-01 9.022724519117e-01 9.111174549851e-01 9.257287410241e-01 9.453097658985e-01 9.494231060621e-01 9.495079178168e-01 9.499960692453e-01 9.499960686578e-01
4.320000000000e+05 1.155542793745e+06 2.620620563013e+02 2.623071808871e+02 2.628296080013e+02 2.636524052450e+02 2.649168389010e+02 2.667260042859e+02 2.681195215047e+02 2.693128057501e+02 2.701486878256e+02 2.701499999503e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146231468480e-01 1.147540064693e-01 5.017168593119e-02 5.018651297813e-02 5.021508397429e-02 5.027554601114e-02 5.035178922121e-02 5.046110878886e-02 5.000392974216e-02 5.000393134216e-02 7.379435268001e-01 7.402300289293e-01 9.022012167434e-01 9.110661246629e-01 9.256903049418e-01 9.452751096811e-01 9.494008912654e-01 9.495388912111e-01 9.499960702578e-01 9.499960686578e-01
5.184000000000e+05 1.155542793745e+06 2.597112541325e+02 2.601178193602e+02 2.609644909771e+02 2.622258539059e+02 2.639778676739e+02 2.661632683094e+02 2.677133884468e+02 2.690588741165e+02 2.701473063288e+02 2.701499998621e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135454770323e-01 1.137120195309e-01 5.014550202468e-02 5.016222918214e-02 5.019311330464e-02 5.025338178262e-02 5.032553110977e-02 5.043250302549e-02 5.000392793475e-02 5.000393134205e-02 7.389584569046e-01 7.412130411122e-01 9.020052665816e-01 9.109154866484e-01 9.255923762181e-01 9.452221130638e-01 9.493723614149e-01 9.495527372866e-01 9.499960720653e-01 9.499960686580e-01
6.048000000000e+05 1.155542793806e+06 2.590681265763e+02 2.594122003812e+02 2.601640839023e+02 2.613655755890e+02 2.631707916909e+02 2.655544825481e+02 2.672719543318e+02 2.687869526129e+02 2.701450915229e+02 2.701499996679e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.132960468571e-01 1.134274436384e-01 5.013657691140e-02 5.015043168968e-02 5.017753696001e-02 5.023310454607e-02 5.030110747128e-02 5.040556303895e-02 5.000392504058e-02 5.000393134179e-02 7.391910265238e-01 7.414786045828e-01 9.019212149039e-01 9.108238346504e-01 9.255061697502e-01 9.451614937968e-01 9.493372363232e-01 9.495433112292e-01 9.499960749594e-01 9.499960686582e-01
6.912000000000e+05 1.155542793806e+06 2.562595123007e+02 2.567820959176e+02 2.578840829324e+02 2.595453433381e+02 2.618754886304e+02 2.647572524918e+02 2.667485344812e+02 2.684840309572e+02 2.701418046349e+02 2.701499992820e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123701839403e-01 1.125252328618e-01 5.011629856797e-02 5.013039930478e-02 5.015720663128e-02 5.021100269474e-02 5.027651458067e-02 5.037924998967e-02 5.000392075335e-02 5.000393134129e-02 7.400520261891e-01 7.423166645666e-01 9.016849899387e-01 9.106304474120e-01 9.253658563935e-01 9.450784586038e-01 9.492913382842e-01 9.495289367652e-01 9.499960792467e-01 9.499960686587e-01
7.776000000000e+05 1.155542793806e+06 2.548004738740e+02 2.553008162095e+02 2.563888462455e+02 2.581012967166e+02 2.606233173562e+02 2.638698452438e+02 2.661483332159e+02 2.681415360178e+02 2.701371956394e+02 2.701499985743e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119710770530e-01 1.121027081631e-01 5.010600704104e-02 5.011796463547e-02 5.014155782495e-02 5.019087122635e-02 5.025284210489e-02 5.035333426372e-02 5.000391475738e-02 5.000393134036e-02 7.404258823121e-01 7.427106266071e-01 9.015341597569e-01 9.104791824207e-01 9.252296370325e-01 9.449827989408e-01 9.492344662913e-01 9.495087175337e-01 9.499960852426e-01 9.499960686596e-01
8.640000000000e+05 1.155542793825e+06 2.528413976236e+02 2.533971844209e+02 2.546028422957e+02 2.564921933450e+02 2.592769132415e+02 2.628994154425e+02 2.654764889111e+02 2.677549071229e+02 2.701310022434e+02 2.701499973570e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.115010681847e-01 1.116276281253e-01 5.009590071938e-02 5.010665861494e-02 5.012789121016e-02 5.017285132579e-02 5.023073944369e-02 5.032803397509e-02 5.000390672906e-02 5.000393133876e-02 7.408740516716e-01 7.431599669037e-01 9.013596208315e-01 9.103142865305e-01 9.250840265456e-01 9.448758675983e-01 9.491669126416e-01 9.494818575779e-01 9.499960932709e-01 9.499960686612e-01
9.504000000000e+05 1.155542793825e+06 2.543480111929e+02 2.546452676944e+02 2.553532172163e+02 2.566276608638e+02 2.588327936111e+02 2.621889040564e+02 2.648470407797e+02 2.673439864172e+02 2.701229513201e+02 2.701499953703e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.118563618417e-01 1.119312775810e-01 5.009989805010e-02 5.010752511617e-02 5.012394881590e-02 5.016168432179e-02 5.021327962609e-02 5.030483918077e-02 5.000389634200e-02 5.000393133616e-02 7.405342457264e-01 7.428716878934e-01 9.014321398729e-01 9.103279937923e-01 9.250363845802e-01 9.447967483928e-01 9.491009600484e-01 9.494496075807e-01 9.499961036580e-01 9.499960686638e-01
1.036800000000e+06 1.155542793825e+06 2.560419278017e+02 2.562012483535e+02 2.566066859931e+02 2.574153372782e+02 2.590088914626e+02 2.618254486025e+02 2.643515038025e+02 2.669429397850e+02 2.701127683911e+02 2.701499922665e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123076177636e-01 1.123533186138e-01 5.010739001914e-02 5.011286067101e-02 5.012548227352e-02 5.015651471499e-02 5.020129348472e-02 5.028516429428e-02 5.000388328316e-02 5.000393133210e-02 7.401103956081e-01 7.424765878984e-01 9.015558869543e-01 9.104083524945e-01 9.250552470170e-01 9.447561442115e-01 9.490477302421e-01 9.494152313329e-01 9.499961167168e-01 9.499960686679e-01
1.123200000000e+06 1.155542793825e+06 2.573039554596e+02 2.574063999058e+02 2.576735870748e+02 2.582311328946e+02 2.594101989730e+02 2.617167104586e+02 2.640090696584e+02 2.665804055236e+02 2.701001954215e+02 2.701499875937e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.126872266371e-01 1.127199156265e-01 5.011472885297e-02 5.011898377363e-02 5.012912428115e-02 5.015503209135e-02 5.019377080001e-02 5.026944702370e-02 5.000386727960e-02 5.000393132597e-02 7.397569884444e-01 7.421358848844e-01 9.016635279309e-01 9.104926702957e-01 9.250983683839e-01 9.447439877305e-01 9.490104363049e-01 9.493821845988e-01 9.499961327204e-01 9.499960686740e-01
1.209600000000e+06 1.155542793825e+06 2.575487726157e+02 2.576856179677e+02 2.580030455657e+02 2.585769985695e+02 2.596583892543e+02 2.616894678445e+02 2.637745412013e+02 2.662668057949e+02 2.700850117225e+02 2.701499807792e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.127658484472e-01 1.128105603690e-01 5.011720508623e-02 5.012178762920e-02 5.013148552898e-02 5.015466506075e-02 5.018893608431e-02 5.025718753725e-02 5.000384812800e-02 5.000393131705e-02 7.396839311557e-01 7.420517670200e-01 9.016971496738e-01 9.105287173342e-01 9.251251232540e-01 9.447409417384e-01 9.489846999305e-01 9.493523612244e-01 9.499961518720e-01 9.499960686830e-01
1.296000000000e+06 1.155542793825e+06 2.567097039678e+02 2.569406412326e+02 2.574401513301e+02 2.582394137397e+02 2.595173919274e+02 2.615771140525e+02 2.635709940269e+02 2.659928403422e+02 2.700670504469e+02 2.701499711136e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.125033386252e-01 1.125736660160e-01 5.011303749568e-02 5.011904937819e-02 5.013013351549e-02 5.015316965638e-02 5.018493219708e-02 5.024735727862e-02 5.000382571656e-02 5.000393130439e-02 7.399279930587e-01 7.422716670453e-01 9.016398099804e-01 9.104935313920e-01 9.251099161841e-01 9.447283783580e-01 9.489622546798e-01 9.493255163478e-01 9.499961742834e-01 9.499960686956e-01
1.382400000000e+06 1.155542793825e+06 2.555226262382e+02 2.558262479359e+02 2.564797955536e+02 2.575035899942e+02 2.590535964506e+02 2.613169910022e+02 2.633380942685e+02 2.657389982679e+02 2.700462053085e+02 2.701499577358e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.121627518589e-01 1.122467032559e-01 5.010658002146e-02 5.011349212155e-02 5.012587768547e-02 5.014981671054e-02 5.018055500514e-02 5.023889822225e-02 5.000380003198e-02 5.000393128686e-02 7.402458368077e-01 7.425759900147e-01 9.015432201246e-01 9.104174228931e-01 9.250600415344e-01 9.446992890972e-01 9.489364659267e-01 9.493000770775e-01 9.499961999680e-01 9.499960687131e-01
1.468800000000e+06 1.155542793825e+06 2.568758485698e+02 2.570018950147e+02 2.573203547348e+02 2.579411122267e+02 2.591194379353e+02 2.611683381396e+02 2.631292352886e+02 2.655024420341e+02 2.700224294048e+02 2.701499396211e+02 2.701499999998e+02 2.701500000000e+02 2.701500000000e+02 1.125537921254e-01 1.125925581429e-01 5.011218897446e-02 5.011673136438e-02 5.012646465395e-02 5.014796612766e-02 5.017680295556e-02 5.023152109382e-02 5.000377115424e-02 5.000393126313e-02 7.398810485454e-01 7.422541200722e-01 9.016276731216e-01 9.104625764332e-01 9.250671071842e-01 9.446826675446e-01 9.489132559281e-01 9.492759421359e-01 9.499962288458e-01 9.499960687369e-01
1.555200000000e+06 1.155542793826e+06 2.565329945909e+02 2.567252242423e+02 2.571514256819e+02 2.578628152297e+02 2.590593477688e+02 2.610398895722e+02 2.629433880565e+02 2.652827458509e+02 2.699957298072e+02 2.701499155700e+02 2.701499999997e+02 2.701500000000e+02 2.701500000000e+02 1.124504635318e-01 1.125080210659e-01 5.011101415054e-02 5.011613799746e-02 5.012592873826e-02 5.014640375001e-02 5.017359362085e-02 5.022506742610e-02 5.000373924442e-02 5.000393123163e-02 7.399772191265e-01 7.423326604803e-01 9.016105998829e-01 9.104544737608e-01 9.250606585227e-01 9.446683084387e-01 9.488925467250e-01 9.492532013565e-01 9.499962607556e-01 9.499960687684e-01
1.641600000000e+06 1.155542793826e+06 2.574710833297e+02 2.575695282688e+02 2.578164110861e+02 2.583000752313e+02 2.592478365601e+02 2.610067851110e+02 2.628029155516e+02 2.650843889151e+02 2.699661611069e+02 2.701498842017e+02 2.701499999995e+02 2.701500000000e+02 2.701500000000e+02 1.127407108839e-01 1.127725942503e-01 5.011578920100e-02 5.011953220670e-02 5.012762536503e-02 5.014600645646e-02 5.017124447953e-02 5.021954289424e-02 5.000370453024e-02 5.000393119054e-02 7.397072875280e-01 7.420869976541e-01 9.016780826070e-01 9.104998422683e-01 9.250809004210e-01 9.446646084025e-01 9.488768632446e-01 9.492324294284e-01 9.499962954698e-01 9.499960688095e-01
1.728000000000e+06 1.155542793826e+06 2.579078795828e+02 2.580015188790e+02 2.582257351259e+02 2.586476145111e+02 2.594675361745e+02 2.610373569304e+02 2.627097231302e+02 2.649112693148e+02 2.699338196844e+02 2.701498439491e+02 2.701499999992e+02 2.701500000000e+02 2.701500000000e+02 1.128843859977e-01 1.129159462278e-01 5.011894104945e-02 5.012237660705e-02 5.012966214367e-02 5.014637327833e-02 5.016972095131e-02 5.021493887154e-02 5.000366729182e-02 5.000393113781e-02 7.395738039091e-01 7.419539748686e-01 9.017199688386e-01 9.105360972557e-01 9.251045438079e-01 9.446680253592e-01 9.488664457266e-01 9.492141330095e-01 9.499963327082e-01 9.499960688622e-01
1.814400000000e+06 1.155542793826e+06 2.594525528482e+02 2.594335186263e+02 2.594340504711e+02 2.595513177377e+02 2.600052663673e+02 2.612125827220e+02 2.626913856738e+02 2.647716660519e+02 2.698988401647e+02 2.701497930572e+02 2.701499999988e+02 2.701500000000e+02 2.701500000000e+02 1.134431578506e-01 1.134357373452e-01 5.012934747648e-02 5.013045625743e-02 5.013493558790e-02 5.014851209989e-02 5.016942436958e-02 5.021136491482e-02 5.000362784994e-02 5.000393107115e-02 7.390539393331e-01 7.414708787375e-01 9.018449425172e-01 9.106310783324e-01 9.251626132675e-01 9.446876143891e-01 9.488643947670e-01 9.491992752902e-01 9.499963721501e-01 9.499960689289e-01
1.900800000000e+06 1.155542793826e+06 2.616849586098e+02 2.615370148587e+02 2.612706400352e+02 2.609967526041e+02 2.609385858009e+02 2.616032142503e+02 2.627866510459e+02 2.646796126632e+02 2.698613955109e+02 2.701497295851e+02 2.701499999982e+02 2.701500000000e+02 2.701500000000e+02 1.144295846615e-01 1.143560751975e-01 5.014923470464e-02 5.014588648273e-02 5.014519479008e-02 5.015351444333e-02 5.017097660684e-02 5.020907279363e-02 5.000358655840e-02 5.000393098801e-02 7.381272390008e-01 7.406076320602e-01 9.020374802958e-01 9.107845240891e-01 9.252639063891e-01 9.447312970132e-01 9.488750458166e-01 9.491894312744e-01 9.499964134416e-01 9.499960690120e-01
1.987200000000e+06 1.155542793826e+06 2.628397763412e+02 2.627020319148e+02 2.624313880512e+02 2.620875208102e+02 2.618176460652e+02 2.620921598646e+02 2.629782808045e+02 2.646418583285e+02 2.698216995218e+02 2.701496514112e+02 2.701499999973e+02 2.701500000000e+02 2.701500000000e+02 1.150532252755e-01 1.149737879009e-01 5.016532868124e-02 5.016020806302e-02 5.015640737920e-02 5.016027502086e-02 5.017418721489e-02 5.020814707245e-02 5.000354379893e-02 5.000393088563e-02 7.375329004595e-01 7.400202328883e-01 9.021595293523e-01 9.109007661320e-01 9.253595641349e-01 9.447859460286e-01 9.488964385464e-01 9.491853836355e-01 9.499964562011e-01 9.499960691144e-01
2.073600000000e+06 1.155542793826e+06 2.651565215693e+02 2.648917714642e+02 2.643724505585e+02 2.636837415482e+02 2.629713060012e+02 2.627310575622e+02 2.632742429920e+02 2.646642863412e+02 2.697800102707e+02 2.701495562409e+02 2.701499999961e+02 2.701500000000e+02 2.701500000000e+02 1.166621197036e-01 1.164467906886e-01 5.020177272303e-02 5.018712870034e-02 5.017406823381e-02 5.017006732102e-02 5.017939107855e-02 5.020869600401e-02 5.000349997700e-02 5.000393076098e-02 7.359670872483e-01 7.385913125582e-01 9.023601839868e-01 9.110693961182e-01 9.254846748652e-01 9.448571637544e-01 9.489293780450e-01 9.491877888464e-01 9.499965000230e-01 9.499960692390e-01
2.160000000000e+06 1.155542793826e+06 2.632890330389e+02 2.633265097551e+02 2.633617524084e+02 2.633268421655e+02 2.631805406047e+02 2.631355943704e+02 2.635542556834e+02 2.647268109823e+02 2.697366287372e+02 2.701494416187e+02 2.701499999944e+02 2.701500000000e+02 2.701500000000e+02 1.153230390157e-01 1.153463261570e-01 5.018099012424e-02 5.018034879376e-02 5.017771004121e-02 5.017691487965e-02 5.018461051392e-02 5.021024176239e-02 5.000345551288e-02 5.000393061088e-02 7.372735527659e-01 7.396625717483e-01 9.022566105102e-01 9.110320148958e-01 9.255072187048e-01 9.449020444811e-01 9.489604048738e-01 9.491944830770e-01 9.499965444871e-01 9.499960693891e-01
2.246400000000e+06 1.155542793826e+06 2.661041232255e+02 2.658480709269e+02 2.653594362511e+02 2.647267285239e+02 2.640505585284e+02 2.636467260187e+02 2.638647114361e+02 2.648233183807e+02 2.696918927242e+02 2.701493049435e+02 2.701499999921e+02 2.701500000000e+02 2.701500000000e+02 1.175231792955e-01 1.172751409341e-01 5.022727884827e-02 5.021023970869e-02 5.019465205633e-02 5.018640182316e-02 5.019076597103e-02 5.021267327423e-02 5.000341082902e-02 5.000393043191e-02 7.351113362674e-01 7.377714124873e-01 9.024578114845e-01 9.111766713271e-01 9.256000645208e-01 9.449583791462e-01 9.489946117883e-01 9.492047828195e-01 9.499965891710e-01 9.499960695681e-01
2.332800000000e+06 1.155542793826e+06 2.615796764701e+02 2.618604053674e+02 2.623645342546e+02 2.629331965308e+02 2.634076000768e+02 2.637108985935e+02 2.640513433614e+02 2.649198301994e+02 2.696461624117e+02 2.701491434866e+02 2.701499999890e+02 2.701500000000e+02 2.701500000000e+02 1.143771368807e-01 1.145185088070e-01 5.016430752272e-02 5.017342100941e-02 5.018183937712e-02 5.018766561644e-02 5.019466880436e-02 5.021516198684e-02 5.000336633154e-02 5.000393022051e-02 7.381769034331e-01 7.404538416192e-01 9.021525165808e-01 9.109905206770e-01 9.255316031489e-01 9.449654147582e-01 9.490150595113e-01 9.492150412116e-01 9.499966336685e-01 9.499960697795e-01
2.419200000000e+06 1.155542793826e+06 2.602543159615e+02 2.604974951107e+02 2.610004829928e+02 2.617220861808e+02 2.626111828049e+02 2.634839861896e+02 2.640783163481e+02 2.649834985500e+02 2.695997971243e+02 2.701489544128e+02 2.701499999848e+02 2.701500000000e+02 2.701500000000e+02 1.137695841475e-01 1.138742979017e-01 5.014593106938e-02 5.015510472384e-02 5.016813935563e-02 5.018327222517e-02 5.019524616082e-02 5.021683601408e-02 5.000332238671e-02 5.000392997297e-02 7.387488706079e-01 7.410611170077e-01 9.020090527063e-01 9.108618387657e-01 9.254457402605e-01 9.449404968195e-01 9.490180066946e-01 9.492217846239e-01 9.499966776133e-01 9.499960700270e-01
2.505600000000e+06 1.155542793826e+06 2.618716660270e+02 2.618825538059e+02 2.619486955533e+02 2.621504097586e+02 2.626079000161e+02 2.633784008499e+02 2.640614017650e+02 2.650151382027e+02 2.695531314653e+02 2.701487348035e+02 2.701499999792e+02 2.701500000000e+02 2.701500000000e+02 1.145242825528e-01 1.145298728255e-01 5.015823004445e-02 5.016112058837e-02 5.016808717594e-02 5.018129758638e-02 5.019488370315e-02 5.021767766965e-02 5.000327930133e-02 5.000392968551e-02 7.380374436813e-01 7.404430646139e-01 9.021088318573e-01 9.109074597172e-01 9.254453846913e-01 9.449288661910e-01 9.490161587819e-01 9.492251283805e-01 9.499967206987e-01 9.499960703145e-01
2.592000000000e+06 1.155542793826e+06 2.616511060933e+02 2.617234869973e+02 2.618811980118e+02 2.621436523602e+02 2.625900514004e+02 2.633291666460e+02 2.640402431856e+02 2.650255154117e+02 2.695064579853e+02 2.701484816805e+02 2.701499999720e+02 2.701500000000e+02 2.701500000000e+02 1.144126468757e-01 1.144489477993e-01 5.015728596778e-02 5.016102203671e-02 5.016780404227e-02 5.018039135451e-02 5.019443219955e-02 5.021795514585e-02 5.000323731284e-02 5.000392935422e-02 7.381432831995e-01 7.405197588444e-01 9.021017332151e-01 9.109067406028e-01 9.254434512717e-01 9.449234357160e-01 9.490138460488e-01 9.492262239867e-01 9.499967626872e-01 9.499960706458e-01
2.678400000000e+06 1.155542796404e+06 2.617901181165e+02 2.618457991410e+02 2.619743635064e+02 2.622022456098e+02 2.626084200108e+02 2.633127612927e+02 2.640254946331e+02 2.650242178166e+02 2.694600187552e+02 2.701481920306e+02 2.701499999626e+02 2.701500000000e+02 2.701500000000e+02 1.144826522184e-01 1.145110317270e-01 5.015859205718e-02 5.016188063045e-02 5.016809543905e-02 5.018009140658e-02 5.019411871983e-02 5.021792041065e-02 5.000319658948e-02 5.000392897520e-02 7.380769383918e-01 7.404609312137e-01 9.021115308873e-01 9.109129752387e-01 9.254454410162e-01 9.449216252572e-01 9.490122332045e-01 9.492260870186e-01 9.499968034105e-01 9.499960710248e-01
2.764800000000e+06 1.155542796405e+06 2.632347864093e+02 2.631645416394e+02 2.630487895311e+02 2.629568689601e+02 2.630134784313e+02 2.634421668061e+02 2.640599647531e+02 2.650258852807e+02 2.694140061423e+02 2.701478628290e+02 2.701499999505e+02 2.701500000000e+02 2.701500000000e+02 1.152895508185e-01 1.152465669946e-01 5.017539924418e-02 5.017382247487e-02 5.017479014298e-02 5.018248498117e-02 5.019485297209e-02 5.021796504888e-02 5.000315723888e-02 5.000392854451e-02 7.373058148619e-01 7.397585997823e-01 9.022240839577e-01 9.109930225021e-01 9.254892238325e-01 9.449358928212e-01 9.490160017508e-01 9.492262630269e-01 9.499968427611e-01 9.499960714555e-01
