"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.155981907989e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 1.469256633542e-01 1.469256633542e-01 1.469256633542e-01 1.469256633542e-01 1.469256486071e-01 1.469255991940e-01 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 8.029062805363e-01 8.093244597115e-01 8.211488902131e-01 8.430490027949e-01 8.530743513929e-01 8.530744008060e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 1.155981907993e+06 2.607518710914e+02 2.614683761099e+02 2.630415625530e+02 2.653754171435e+02 2.680513541558e+02 2.697557090055e+02 2.700892413530e+02 2.701459552944e+02 2.701499999692e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.139869112856e-01 1.143224163381e-01 1.288828182707e-01 1.320724162513e-01 1.379601439349e-01 1.446650307190e-01 1.465509228794e-01 1.469003245269e-01 5.000393146038e-02 5.000393134223e-02 7.385449495220e-01 7.406394414989e-01 8.218581330668e-01 8.250098363077e-01 8.306873561691e-01 8.454671244383e-01 8.534490771206e-01 8.530996754731e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 1.155981908003e+06 2.608706675007e+02 2.613325021769e+02 2.623808518817e+02 2.640878299902e+02 2.665238133188e+02 2.689336930153e+02 2.698193613970e+02 2.701043387159e+02 2.701499952788e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140406241785e-01 1.142566006228e-01 1.281629055090e-01 1.301694252944e-01 1.341863746350e-01 1.409556157254e-01 1.450043171636e-01 1.466430075018e-01 5.000393145424e-02 5.000393134223e-02 7.384944383783e-01 7.407015840858e-01 8.225861465551e-01 8.269614187896e-01 8.346380928746e-01 8.494153586854e-01 8.549956828364e-01 8.533569924982e-01 9.499960685458e-01 9.499960686578e-01
2.592000000000e+05 1.155981908003e+06 2.623744474445e+02 2.625977347038e+02 2.631489076089e+02 2.641755491862e+02 2.659396666607e+02 2.682495286099e+02 2.694650993629e+02 2.700199797928e+02 2.701499707434e+02 2.701499999995e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147906461548e-01 1.149146124031e-01 1.290060410341e-01 1.302867432330e-01 1.330520147701e-01 1.385663995230e-01 1.432217363508e-01 1.461362122202e-01 5.000393142210e-02 5.000393134223e-02 7.377840060356e-01 7.400768080091e-01 8.217332114234e-01 8.268416875568e-01 8.358144546080e-01 8.519417011307e-01 8.567782636492e-01 8.538637877798e-01 9.499960685779e-01 9.499960686578e-01
3.456000000000e+05 1.155981908003e+06 2.630325904251e+02 2.632042820453e+02 2.636167864642e+02 2.643761298156e+02 2.657355559491e+02 2.677735511022e+02 2.691104760025e+02 2.698989594117e+02 2.701498939152e+02 2.701499999974e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151669615033e-01 1.152708323493e-01 1.295656489844e-01 1.305611589403e-01 1.326856082378e-01 1.371637601990e-01 1.416627876624e-01 1.454416600415e-01 5.000393132145e-02 5.000393134222e-02 7.374237396464e-01 7.397352589860e-01 8.211647469024e-01 8.265613184601e-01 8.361931367738e-01 8.534171523365e-01 8.583372123376e-01 8.545583399585e-01 9.499960686785e-01 9.499960686578e-01
4.320000000000e+05 1.155981908004e+06 2.620683314947e+02 2.623438190693e+02 2.629434278592e+02 2.638904583112e+02 2.653418599477e+02 2.673616473241e+02 2.687734147730e+02 2.697511776850e+02 2.701497106353e+02 2.701499999903e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146264459762e-01 1.147739232991e-01 1.287717663882e-01 1.299111910162e-01 1.320173118642e-01 1.360834840252e-01 1.403491364667e-01 1.446410819816e-01 5.000393108138e-02 5.000393134221e-02 7.379403897325e-01 7.402110540417e-01 8.219706388869e-01 8.272246835170e-01 8.368820960426e-01 8.545489821623e-01 8.596508635333e-01 8.553589180184e-01 9.499960689186e-01 9.499960686578e-01
5.184000000000e+05 1.155981908004e+06 2.597191283485e+02 2.601638204565e+02 2.611086292825e+02 2.625153774857e+02 2.644579048794e+02 2.668352443548e+02 2.684142821287e+02 2.695798521381e+02 2.701493430436e+02 2.701499999709e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135486348733e-01 1.137313242410e-01 1.269375287018e-01 1.283043682360e-01 1.306755764009e-01 1.348501841848e-01 1.390969747427e-01 1.437718748371e-01 5.000393059997e-02 5.000393134219e-02 7.389555081242e-01 7.411949881995e-01 8.238181653274e-01 8.288538404306e-01 8.382581382146e-01 8.558357217802e-01 8.609030252573e-01 8.562281251629e-01 9.499960694000e-01 9.499960686578e-01
6.048000000000e+05 1.155981908004e+06 2.590752892087e+02 2.594540145954e+02 2.602969799918e+02 2.616456600451e+02 2.636589854862e+02 2.662583863112e+02 2.680225936707e+02 2.693847009967e+02 2.701486894738e+02 2.701499999249e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.132987358554e-01 1.134437283152e-01 1.262470823518e-01 1.274314825635e-01 1.296180157223e-01 1.336542358188e-01 1.378746794538e-01 1.428503147655e-01 5.000392974432e-02 5.000393134213e-02 7.391885225848e-01 7.414634343165e-01 8.245085612590e-01 8.297322424895e-01 8.393354721590e-01 8.570773322984e-01 8.621253205462e-01 8.571496852345e-01 9.499960702557e-01 9.499960686579e-01
6.912000000000e+05 1.155981908004e+06 2.562680497927e+02 2.568319829389e+02 2.580437422491e+02 2.598710931879e+02 2.624211904963e+02 2.655223852325e+02 2.675642813328e+02 2.691598962497e+02 2.701476249490e+02 2.701499998268e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123726621678e-01 1.125404006938e-01 1.246147335020e-01 1.259088826271e-01 1.282050623584e-01 1.323177425339e-01 1.366007279914e-01 1.418682818146e-01 5.000392835145e-02 5.000393134200e-02 7.400497155065e-01 7.423025707420e-01 8.261320456286e-01 8.312537192937e-01 8.407641208235e-01 8.584568019547e-01 8.633992720086e-01 8.581317181854e-01 9.499960716485e-01 9.499960686580e-01
7.776000000000e+05 1.155981908004e+06 2.548087311552e+02 2.553490470190e+02 2.565451460107e+02 2.584303465952e+02 2.611933826015e+02 2.646890600941e+02 2.670336865524e+02 2.688988554660e+02 2.701460012336e+02 2.701499996349e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119732078700e-01 1.121156737230e-01 1.237082289175e-01 1.248694674177e-01 1.270134019619e-01 1.310073449431e-01 1.352973489473e-01 1.408208984697e-01 5.000392622882e-02 5.000393134175e-02 7.404238742686e-01 7.426984825370e-01 8.270309469468e-01 8.322857781053e-01 8.419592031868e-01 8.598001134886e-01 8.647026510527e-01 8.591791015303e-01 9.499960737712e-01 9.499960686583e-01
8.640000000000e+05 1.155981908004e+06 2.528498755697e+02 2.534467169592e+02 2.547645800566e+02 2.568334234126e+02 2.598721861401e+02 2.637685465870e+02 2.664310424968e+02 2.685961525725e+02 2.701436460016e+02 2.701499992845e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.115029614782e-01 1.116391537710e-01 1.227711704824e-01 1.238734002117e-01 1.259097309145e-01 1.297555154839e-01 1.339967802087e-01 1.397137559211e-01 5.000392315397e-02 5.000393134129e-02 7.408722197810e-01 7.431489358166e-01 8.279621710815e-01 8.332720650954e-01 8.430583518062e-01 8.610739429353e-01 8.660032197913e-01 8.602862440789e-01 9.499960768460e-01 9.499960686587e-01
9.504000000000e+05 1.155981908004e+06 2.543544756340e+02 2.546829889598e+02 2.554762967579e+02 2.569069206124e+02 2.593688219279e+02 2.630466128796e+02 2.658380184327e+02 2.682602056157e+02 2.701403625446e+02 2.701499986796e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.118579730766e-01 1.119409066591e-01 1.231296118491e-01 1.239161736901e-01 1.255291611488e-01 1.288885743253e-01 1.328674885991e-01 1.385997829049e-01 5.000391887532e-02 5.000393134050e-02 7.405327199568e-01 7.428626146382e-01 8.276054040034e-01 8.332297228511e-01 8.434358302676e-01 8.619502943132e-01 8.671325114009e-01 8.614002170951e-01 9.499960811247e-01 9.499960686595e-01
1.036800000000e+06 1.155981908004e+06 2.560470037549e+02 2.562308580317e+02 2.567018858896e+02 2.576387535046e+02 2.594670916390e+02 2.626264513806e+02 2.653369059224e+02 2.679128508201e+02 2.701359327249e+02 2.701499976837e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123090644736e-01 1.123618792650e-01 1.237975258917e-01 1.243575847520e-01 1.256019034735e-01 1.284230797238e-01 1.320089434838e-01 1.375554280027e-01 5.000391311762e-02 5.000393133919e-02 7.401090451711e-01 7.424686151747e-01 8.269423827689e-01 8.327927761188e-01 8.433637330957e-01 8.624187904972e-01 8.679910565162e-01 8.624445719973e-01 9.499960868824e-01 9.499960686608e-01
1.123200000000e+06 1.155981908004e+06 2.573082443117e+02 2.574314179034e+02 2.577528014626e+02 2.584177766411e+02 2.598039350995e+02 2.624470360339e+02 2.649589549441e+02 2.675780982788e+02 2.701301250693e+02 2.701499961084e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.126885891635e-01 1.127279443736e-01 1.244290312940e-01 1.248610368579e-01 1.258569464349e-01 1.282321901860e-01 1.314109297948e-01 1.366369317119e-01 5.000390559467e-02 5.000393133713e-02 7.397557221591e-01 7.421284337527e-01 8.263162216617e-01 8.322941330694e-01 8.431107505712e-01 8.626104898406e-01 8.685890702052e-01 8.633630682881e-01 9.499960944053e-01 9.499960686629e-01
1.209600000000e+06 1.155981908004e+06 2.575530672534e+02 2.577106799772e+02 2.580819261529e+02 2.587551806591e+02 2.600208845938e+02 2.623635504841e+02 2.646798225091e+02 2.672706976902e+02 2.701227074410e+02 2.701499937013e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.127672432071e-01 1.128188096161e-01 1.246394809927e-01 1.250909211569e-01 1.260260683365e-01 1.281448922374e-01 1.309935829936e-01 1.358591184452e-01 5.000389602821e-02 5.000393133398e-02 7.396826352632e-01 7.420441125331e-01 8.261074972209e-01 8.320662340003e-01 8.429428132932e-01 8.626980761344e-01 8.690064170064e-01 8.641408815548e-01 9.499961039718e-01 9.499960686660e-01
1.296000000000e+06 1.155981908005e+06 2.567146134673e+02 2.569693046682e+02 2.575309895979e+02 2.584343592854e+02 2.598858756820e+02 2.622264060887e+02 2.644419682390e+02 2.669912464601e+02 2.701134612535e+02 2.701499901331e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.125048191356e-01 1.125824938962e-01 1.242907543413e-01 1.248721608363e-01 1.259203643062e-01 1.280035281199e-01 1.306529004998e-01 1.351999286999e-01 5.000388416893e-02 5.000393132930e-02 7.399266151579e-01 7.422634676253e-01 8.264533342261e-01 8.322831088711e-01 8.430477944109e-01 8.628397978782e-01 8.693470995002e-01 8.648000713001e-01 9.499961158311e-01 9.499960686707e-01
