"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.155953904356e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.325264989578e-01 1.325264989578e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 7.649121350618e-01 7.669691505229e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 1.155953904357e+06 2.607464845107e+02 2.614370054515e+02 2.629803380837e+02 2.652911602213e+02 2.679787111709e+02 2.697319641882e+02 2.700844760398e+02 2.701455525969e+02 2.701499999650e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.184526450647e-01 1.188783606918e-01 8.041410039475e-02 8.370883402467e-02 8.984312960775e-02 9.701519437185e-02 9.910652741824e-02 9.950324463398e-02 5.000393146038e-02 5.000393134223e-02 7.793952729653e-01 7.810364836649e-01 8.838721039420e-01 8.853022647480e-01 8.876443950206e-01 8.959607579424e-01 9.008934725818e-01 9.004967553660e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 1.155953904366e+06 2.608668677138e+02 2.613104622174e+02 2.623357782082e+02 2.640160307270e+02 2.664367708009e+02 2.688788714076e+02 2.697991362133e+02 2.701007338365e+02 2.701499947603e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.185244286584e-01 1.187977384081e-01 7.967806549110e-02 8.174538937999e-02 8.589798957782e-02 9.300824779253e-02 9.738969855430e-02 9.921100252002e-02 5.000393145356e-02 5.000393134223e-02 7.793257697830e-01 7.811148088064e-01 8.846020046526e-01 8.872918641080e-01 8.917520083048e-01 9.002172126413e-01 9.026103014457e-01 9.007889974800e-01 9.499960685464e-01 9.499960686578e-01
2.592000000000e+05 1.155953904366e+06 2.623723496452e+02 2.625857412878e+02 2.631231811070e+02 2.641280772287e+02 2.658664568028e+02 2.681813391858e+02 2.694293741951e+02 2.700107984029e+02 2.701499676938e+02 2.701499999994e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.195148552554e-01 1.196710342993e-01 8.058613714428e-02 8.190211271166e-02 8.474776792862e-02 9.048475219282e-02 9.544728497385e-02 9.864233011395e-02 5.000393141810e-02 5.000393134223e-02 7.783610126998e-01 7.802624297466e-01 8.837007725314e-01 8.871341075761e-01 8.929356980559e-01 9.028774792490e-01 9.045527150261e-01 9.013576698860e-01 9.499960685819e-01 9.499960686578e-01
3.456000000000e+05 1.155953904366e+06 2.630310297131e+02 2.631953148164e+02 2.635975333133e+02 2.643401870498e+02 2.656753658480e+02 2.677039327082e+02 2.690638572848e+02 2.698829318139e+02 2.701498833554e+02 2.701499999971e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.200116889894e-01 1.201427376277e-01 8.118307959884e-02 8.220641578968e-02 8.439026376544e-02 8.902723902918e-02 9.377610342295e-02 9.787196521987e-02 5.000393130762e-02 5.000393134222e-02 7.778728082806e-01 7.797983242321e-01 8.831042419868e-01 8.868272477817e-01 8.933020625374e-01 9.044047303748e-01 9.062238965770e-01 9.021280347801e-01 9.499960686924e-01 9.499960686578e-01
4.320000000000e+05 1.155953904367e+06 2.620661467717e+02 2.623310044566e+02 2.629169334584e+02 2.638472699807e+02 2.652787493000e+02 2.672893506826e+02 2.687187665983e+02 2.697279174888e+02 2.701496830295e+02 2.701499999893e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.192981902495e-01 1.194850974063e-01 8.033882164727e-02 8.151436474762e-02 8.368760404396e-02 8.789968066347e-02 9.237999704122e-02 9.699281306677e-02 5.000393104522e-02 5.000393134221e-02 7.785730149033e-01 7.804446548466e-01 8.839469897547e-01 8.875240516337e-01 8.940198306014e-01 9.055807224529e-01 9.076200029588e-01 9.030071869332e-01 9.499960689548e-01 9.499960686578e-01
5.184000000000e+05 1.155953904367e+06 2.597156090650e+02 2.601431307966e+02 2.610663940932e+02 2.624508285741e+02 2.643743501576e+02 2.667503293405e+02 2.683496914343e+02 2.695488372578e+02 2.701492827730e+02 2.701499999681e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.178756646691e-01 1.181071148148e-01 7.839444318976e-02 7.980485522826e-02 8.225639030012e-02 8.659052550786e-02 9.104616049538e-02 9.604412648745e-02 5.000393052105e-02 5.000393134218e-02 7.799520779645e-01 7.817828981712e-01 8.858619156889e-01 8.892277906814e-01 8.954714667157e-01 9.069392037458e-01 9.089538395046e-01 9.039558735126e-01 9.499960694790e-01 9.499960686578e-01
6.048000000000e+05 1.155953904367e+06 2.590719844260e+02 2.594347656377e+02 2.602565785167e+02 2.615794351061e+02 2.635665975343e+02 2.661606268464e+02 2.679464445723e+02 2.693451239040e+02 2.701485734569e+02 2.701499999178e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.175461465357e-01 1.177291992283e-01 7.767067641887e-02 7.888932214781e-02 8.114288891020e-02 8.532462230592e-02 8.974396097288e-02 9.504219105663e-02 5.000392959247e-02 5.000393134212e-02 7.802687793172e-01 7.821465254430e-01 8.865643648672e-01 8.901287446656e-01 8.965900616543e-01 9.082447604742e-01 9.102560390271e-01 9.049578089434e-01 9.499960704075e-01 9.499960686579e-01
6.912000000000e+05 1.155953904367e+06 2.562632693990e+02 2.568040089005e+02 2.579858771297e+02 2.597809851910e+02 2.623030467384e+02 2.654033443143e+02 2.674724013196e+02 2.691102014400e+02 2.701474213251e+02 2.701499998109e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.163239919989e-01 1.165359219492e-01 7.594280943262e-02 7.727479841020e-02 7.964234028599e-02 8.390289338628e-02 8.838303226044e-02 9.397613973617e-02 5.000392808513e-02 5.000393134198e-02 7.814395603661e-01 7.832892563105e-01 8.882156752822e-01 8.916951809762e-01 8.980802270723e-01 9.097001492442e-01 9.116169677396e-01 9.060238602638e-01 9.499960719149e-01 9.499960686580e-01
7.776000000000e+05 1.155953904367e+06 2.548038418928e+02 2.553205565498e+02 2.564850052644e+02 2.583324234481e+02 2.610584068302e+02 2.645479752191e+02 2.669229675236e+02 2.688369772180e+02 2.701456679508e+02 2.701499996021e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.157970754672e-01 1.159766112850e-01 7.498952019312e-02 7.618206202950e-02 7.838697337828e-02 8.251465998588e-02 8.699220435072e-02 9.284051914322e-02 5.000392579341e-02 5.000393134171e-02 7.819462108055e-01 7.838254678426e-01 8.891101578519e-01 8.927374354715e-01 8.993095425552e-01 9.111083893210e-01 9.130077956493e-01 9.071594808568e-01 9.499960742066e-01 9.499960686583e-01
