"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.155502023716e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 1.155502023725e+06 2.607908278006e+02 2.616949458697e+02 2.632659249244e+02 2.655081399542e+02 2.680898239403e+02 2.697558913246e+02 2.700883715205e+02 2.701458226385e+02 2.701499999672e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055752707385e-01 1.057465166531e-01 8.076152946380e-02 8.408776741162e-02 9.019051240988e-02 9.714743388052e-02 9.913150196270e-02 9.950502392538e-02 5.000393146038e-02 5.000393134223e-02 5.540782162470e-01 5.570680754701e-01 8.835258246473e-01 8.849152260599e-01 8.872797845027e-01 8.958197380327e-01 9.008684980373e-01 9.004949760746e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 1.155502023736e+06 2.608973614200e+02 2.614877065117e+02 2.625445709807e+02 2.642007338924e+02 2.665678568112e+02 2.689320281025e+02 2.698150133032e+02 2.701030553484e+02 2.701499950140e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055945189497e-01 1.057056199425e-01 7.990958857918e-02 8.200520842673e-02 8.618187941946e-02 9.322410538056e-02 9.747977980745e-02 9.922599198074e-02 5.000393145389e-02 5.000393134223e-02 5.540616947318e-01 5.571032301302e-01 8.843729689579e-01 8.870302265912e-01 8.914587657977e-01 8.999888359214e-01 9.025202201926e-01 9.007740080193e-01 9.499960685461e-01 9.499960686578e-01
2.592000000000e+05 1.155502023736e+06 2.623892613129e+02 2.626837109483e+02 2.632483285107e+02 2.642551876944e+02 2.659781684858e+02 2.682463169088e+02 2.694566725565e+02 2.700165668149e+02 2.701499691606e+02 2.701499999994e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058914927607e-01 1.059570111659e-01 8.073971660959e-02 8.208324886102e-02 8.496291762055e-02 9.069831843013e-02 9.558129174744e-02 9.867811670318e-02 5.000393142002e-02 5.000393134223e-02 5.538054082013e-01 5.568860111657e-01 8.835475976239e-01 8.869515363197e-01 8.927148519427e-01 9.026530809379e-01 9.044187082526e-01 9.013218832968e-01 9.499960685800e-01 9.499960686578e-01
3.456000000000e+05 1.155502023736e+06 2.630435959967e+02 2.632681954262e+02 2.636902857956e+02 2.644365651067e+02 2.657676840854e+02 2.677698298928e+02 2.690988402844e+02 2.698927877487e+02 2.701498883580e+02 2.701499999972e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060406981862e-01 1.060950794753e-01 8.130468441496e-02 8.234810491672e-02 8.456135738001e-02 8.921756828441e-02 9.392683982029e-02 9.792983326912e-02 5.000393131417e-02 5.000393134222e-02 5.536751945022e-01 5.567653609018e-01 8.829823458440e-01 8.866841257173e-01 8.931268243329e-01 9.042057302962e-01 9.060731601797e-01 9.020701667309e-01 9.499960686858e-01 9.499960686578e-01
4.320000000000e+05 1.155502023737e+06 2.620832856915e+02 2.624309154125e+02 2.630331721160e+02 2.639537695672e+02 2.653711330989e+02 2.673563942236e+02 2.687590001051e+02 2.697419238537e+02 2.701496959215e+02 2.701499999898e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058260280540e-01 1.059006073123e-01 8.047733452842e-02 8.165946440104e-02 8.384677188984e-02 8.807431889161e-02 9.253480159269e-02 9.706993886482e-02 5.000393106211e-02 5.000393134221e-02 5.538621932064e-01 5.569350033296e-01 8.838091608945e-01 8.873782725774e-01 8.938575171073e-01 9.053989245603e-01 9.074651984073e-01 9.029300611352e-01 9.499960689379e-01 9.499960686578e-01
5.184000000000e+05 1.155502023737e+06 2.597421067119e+02 2.602976435468e+02 2.612396145572e+02 2.625979117936e+02 2.644882476778e+02 2.668256007019e+02 2.683957925342e+02 2.695670561703e+02 2.701493105263e+02 2.701499999694e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053974838795e-01 1.054891168708e-01 7.855817152013e-02 7.996976622193e-02 8.242499498275e-02 8.676388583180e-02 9.120479304444e-02 9.613759524683e-02 5.000393055739e-02 5.000393134219e-02 5.542307092654e-01 5.572885982200e-01 8.857021883003e-01 8.890646099840e-01 8.953012301859e-01 9.067597727465e-01 9.087952069556e-01 9.038624047532e-01 9.499960694426e-01 9.499960686578e-01
6.048000000000e+05 1.155502023738e+06 2.590962909910e+02 2.595761650954e+02 2.604221493649e+02 2.617292603583e+02 2.636896094046e+02 2.662443314098e+02 2.679990038241e+02 2.693677237510e+02 2.701486261255e+02 2.701499999211e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.052974659871e-01 1.053711449831e-01 7.781335811298e-02 7.903970533402e-02 8.130379156473e-02 8.549501988660e-02 8.990554543369e-02 9.514960167424e-02 5.000392966140e-02 5.000393134212e-02 5.543166933781e-01 5.573894621676e-01 8.864263648543e-01 8.899813529505e-01 8.964290581076e-01 9.080695264326e-01 9.100944545663e-01 9.048503983258e-01 9.499960703386e-01 9.499960686579e-01
6.912000000000e+05 1.155502023738e+06 2.562974810732e+02 2.570032069644e+02 2.582110100857e+02 2.599740853186e+02 2.624528770160e+02 2.655009636618e+02 2.675333693319e+02 2.691376641692e+02 2.701475124159e+02 2.701499998182e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049290524753e-01 1.050133496684e-01 7.609734727255e-02 7.743310187014e-02 7.980713004018e-02 8.407499424299e-02 8.854898595957e-02 9.409622874229e-02 5.000392820427e-02 5.000393134199e-02 5.546405251153e-01 5.576996749422e-01 8.880695350803e-01 8.915429460951e-01 8.979176303586e-01 9.095246430822e-01 9.114510140404e-01 9.059037712577e-01 9.499960717957e-01 9.499960686580e-01
7.776000000000e+05 1.155502023738e+06 2.548381280428e+02 2.555200102950e+02 2.567166481820e+02 2.585391771499e+02 2.612254129198e+02 2.646597439620e+02 2.669936674252e+02 2.688699714868e+02 2.701458147593e+02 2.701499996171e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.047696447010e-01 1.048417947115e-01 7.512855375054e-02 7.632860277516e-02 7.854462225495e-02 8.268482176631e-02 8.716135142112e-02 9.297223735155e-02 5.000392598519e-02 5.000393134173e-02 5.547886807319e-01 5.578548864062e-01 8.889804574442e-01 8.925985572984e-01 8.991561098430e-01 9.109365259237e-01 9.128386485789e-01 9.070277626485e-01 9.499960740148e-01 9.499960686583e-01
