"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.156096816695e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.740356471230e-01 6.740356471230e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 2.509114738464e-01 2.518141412853e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 1.156096816691e+06 2.608451259062e+02 2.619975418807e+02 2.636005099326e+02 2.657855137348e+02 2.682431412745e+02 2.697906192390e+02 2.700941595938e+02 2.701462309132e+02 2.701499999705e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.349832987422e-01 6.376088352030e-01 8.118695636021e-02 8.459474711617e-02 9.068778889530e-02 9.734170680533e-02 9.916869251438e-02 9.950771445383e-02 5.000393146038e-02 5.000393134223e-02 2.945739307628e-01 2.923851477390e-01 8.831003572625e-01 8.843960066463e-01 8.867571515081e-01 8.956125106413e-01 9.008313074856e-01 9.004922855462e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 1.156096816691e+06 2.609281418899e+02 2.616691825388e+02 2.627574319789e+02 2.644023924087e+02 2.667226864946e+02 2.689991427329e+02 2.698356671345e+02 2.701061348065e+02 2.701499953562e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.351635525493e-01 6.368324924838e-01 8.015231422729e-02 8.229761563128e-02 8.652757622213e-02 9.350214914299e-02 9.759786556648e-02 9.924590001981e-02 5.000393145434e-02 5.000393134223e-02 2.943600001820e-01 2.932934024633e-01 8.841322957729e-01 8.867351416878e-01 8.911011313015e-01 8.996944941424e-01 9.024021344335e-01 9.007540999802e-01 9.499960685457e-01 9.499960686578e-01
2.592000000000e+05 1.156096816691e+06 2.623994716233e+02 2.627626405450e+02 2.633580294090e+02 2.643780499726e+02 2.660974048954e+02 2.683219751313e+02 2.694898743480e+02 2.700238107000e+02 2.701499710821e+02 2.701499999995e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.385927159135e-01 6.395157564923e-01 8.087660067774e-02 8.226181885655e-02 8.519780677368e-02 9.095204076789e-02 9.574616015484e-02 9.872318785964e-02 5.000393142254e-02 5.000393134223e-02 2.903384080004e-01 2.901711297024e-01 8.834108970643e-01 8.867713012380e-01 8.924734391802e-01 9.023862989594e-01 9.042538398452e-01 9.012768121404e-01 9.499960685775e-01 9.499960686578e-01
3.456000000000e+05 1.156096816691e+06 2.630526226101e+02 2.633302184925e+02 2.637714547578e+02 2.645263661514e+02 2.658609492678e+02 2.678424283553e+02 2.691393762465e+02 2.699046735955e+02 2.701498947609e+02 2.701499999974e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.402776130498e-01 6.410288972923e-01 8.141248461595e-02 8.248211910443e-02 8.473728058137e-02 8.943107119549e-02 9.410379988866e-02 9.799994676718e-02 5.000393132256e-02 5.000393134222e-02 2.883909629689e-01 2.884293489287e-01 8.828741831549e-01 8.865486154732e-01 8.929464554368e-01 9.039823394267e-01 9.058962001113e-01 9.020000532328e-01 9.499960686774e-01 9.499960686578e-01
4.320000000000e+05 1.156096816693e+06 2.621043535796e+02 2.625423676299e+02 2.631525119691e+02 2.640621803596e+02 2.654660993191e+02 2.674284157254e+02 2.688041073547e+02 2.697582927808e+02 2.701497120972e+02 2.701499999904e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.378665943990e-01 6.389519138606e-01 8.062188912392e-02 8.180961179238e-02 8.401317716138e-02 8.826510762124e-02 9.271073870408e-02 9.716063856106e-02 5.000393108329e-02 5.000393134221e-02 2.911829885343e-01 2.908234320343e-01 8.836651330833e-01 8.872272409625e-01 8.936876466368e-01 9.052001670730e-01 9.072892612959e-01 9.028393614389e-01 9.499960689167e-01 9.499960686578e-01
5.184000000000e+05 1.156096816693e+06 2.597779171783e+02 2.604789935029e+02 2.614252011135e+02 2.627543242558e+02 2.646086491168e+02 2.669061346990e+02 2.684464722835e+02 2.695878378495e+02 2.701493447455e+02 2.701499999711e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.327746078140e-01 6.342033998290e-01 7.873734944671e-02 8.014872033073e-02 8.260664491425e-02 8.695259871211e-02 9.138168639552e-02 9.624502788449e-02 5.000393060220e-02 5.000393134219e-02 2.972199206265e-01 2.964041809846e-01 8.855270510902e-01 8.888872349869e-01 8.951175808890e-01 9.065642862197e-01 9.086183136045e-01 9.037549721155e-01 9.499960693978e-01 9.499960686578e-01
6.048000000000e+05 1.156096816693e+06 2.591225469159e+02 2.597221850106e+02 2.605851483226e+02 2.618796616432e+02 2.638158466282e+02 2.663325245056e+02 2.680558085731e+02 2.693929926801e+02 2.701486900562e+02 2.701499999252e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.315091482078e-01 6.326644567738e-01 7.795640125296e-02 7.919348457525e-02 8.147199720141e-02 8.567771666228e-02 9.008280015822e-02 9.527076720904e-02 5.000392974508e-02 5.000393134213e-02 2.987590184644e-01 2.982543709329e-01 8.862877752438e-01 8.898303837520e-01 8.962605103190e-01 9.078814652930e-01 9.099171998418e-01 9.047292327910e-01 9.499960702549e-01 9.499960686579e-01
6.912000000000e+05 1.156096816693e+06 2.563403459574e+02 2.572229763944e+02 2.584395976880e+02 2.601703379320e+02 2.626061304530e+02 2.656026176602e+02 2.675982748590e+02 2.691678372213e+02 2.701476214161e+02 2.701499998272e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.267592114407e-01 6.281690892434e-01 7.625766068703e-02 7.759737658610e-02 7.997907631433e-02 8.425751391044e-02 8.872845482534e-02 9.422950395684e-02 5.000392834683e-02 5.000393134200e-02 3.047327221021e-01 3.038229369775e-01 8.879176018924e-01 8.913846449744e-01 8.977476835044e-01 9.093383027860e-01 9.112715451747e-01 9.057704960432e-01 9.499960716532e-01 9.499960686580e-01
7.776000000000e+05 1.156096816694e+06 2.548752123999e+02 2.557213358838e+02 2.569376047099e+02 2.587396737997e+02 2.613909573499e+02 2.647737676155e+02 2.670676301566e+02 2.689056135537e+02 2.701459881134e+02 2.701499996353e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.245854281181e-01 6.258169222365e-01 7.526378513469e-02 7.647353338382e-02 7.870398902047e-02 8.286168729021e-02 8.734124399363e-02 9.311613367199e-02 5.000392621167e-02 5.000393134175e-02 3.076022765460e-01 3.068647395238e-01 8.888540545957e-01 8.924609271751e-01 8.990007203549e-01 9.107576610820e-01 9.126587560064e-01 9.068838663280e-01 9.499960737883e-01 9.499960686583e-01
