"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.155930011131e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.489474200184e-01 2.489474200184e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 6.255333506651e-01 6.272993255072e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 1.155930011134e+06 2.607623049733e+02 2.615267172156e+02 2.630880617294e+02 2.653819563220e+02 2.680299401119e+02 2.697437849494e+02 2.700864589410e+02 2.701456929275e+02 2.701499999661e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.122159780839e-01 2.136481029908e-01 8.054352226023e-02 8.386559273233e-02 9.000197909483e-02 9.708036227134e-02 9.911923455523e-02 9.950416923826e-02 5.000393146038e-02 5.000393134223e-02 6.651102933835e-01 6.653304303215e-01 8.837432373447e-01 8.851422639199e-01 8.874777184246e-01 8.958912668761e-01 9.008807654448e-01 9.004958307617e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 1.155930011143e+06 2.608762592650e+02 2.613655857227e+02 2.624050451280e+02 2.640818476999e+02 2.664877146873e+02 2.689012564882e+02 2.698060801942e+02 2.701017734790e+02 2.701499948761e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.124225917551e-01 2.133369290757e-01 7.975417157242e-02 8.183712044439e-02 8.600738674218e-02 9.309868746210e-02 9.742902265506e-02 9.921771327238e-02 5.000393145371e-02 5.000393134223e-02 6.648874419739e-01 6.656655211277e-01 8.845267738632e-01 8.871995520011e-01 8.916390560169e-01 9.001215421422e-01 9.025709773449e-01 9.007822867276e-01 9.499960685463e-01 9.499960686578e-01
2.592000000000e+05 1.155930011143e+06 2.623760123129e+02 2.626108585307e+02 2.631597596236e+02 2.641687321216e+02 2.659058060669e+02 2.682064360812e+02 2.694404647117e+02 2.700132312208e+02 2.701499683422e+02 2.701499999994e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.153790907632e-01 2.158869869136e-01 8.063074615142e-02 8.195965543343e-02 8.482302105484e-02 9.056677337490e-02 9.550156135277e-02 9.865741180844e-02 5.000393141895e-02 5.000393134223e-02 6.617043426748e-01 6.629221866563e-01 8.836563026790e-01 8.870761366796e-01 8.928584831249e-01 9.027913155510e-01 9.044984386472e-01 9.013425881916e-01 9.499960685810e-01 9.499960686578e-01
3.456000000000e+05 1.155930011143e+06 2.630340850315e+02 2.632149685955e+02 2.636247217032e+02 2.643700943929e+02 2.657062777731e+02 2.677279971664e+02 2.690773547490e+02 2.698869115151e+02 2.701498855117e+02 2.701499999972e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.168377086057e-01 2.172587855222e-01 8.121855304968e-02 8.225014999804e-02 8.444722133349e-02 8.909636797012e-02 9.383404700227e-02 9.789530213608e-02 5.000393131044e-02 5.000393134222e-02 6.601365913072e-01 6.614482443363e-01 8.830686963304e-01 8.867830874386e-01 8.932437449282e-01 9.043324679985e-01 9.061659529977e-01 9.021046978639e-01 9.499960686896e-01 9.499960686578e-01
4.320000000000e+05 1.155930011144e+06 2.620723740361e+02 2.623649220973e+02 2.629560652367e+02 2.638829360270e+02 2.653100899377e+02 2.673131879602e+02 2.687337522684e+02 2.697333854284e+02 2.701496884685e+02 2.701499999895e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.147418783324e-01 2.153554372615e-01 8.038520411890e-02 8.156269682285e-02 8.374130572803e-02 8.796145094161e-02 9.243742574227e-02 9.702286948240e-02 5.000393105234e-02 5.000393134221e-02 6.623896625689e-01 6.634935872382e-01 8.839008558447e-01 8.874755122473e-01 8.939650861343e-01 9.055164346275e-01 9.075625742577e-01 9.029771305176e-01 9.499960689477e-01 9.499960686578e-01
5.184000000000e+05 1.155930011144e+06 2.597257930084e+02 2.601971873804e+02 2.611262591718e+02 2.625015148510e+02 2.644136394307e+02 2.667768323987e+02 2.683664684934e+02 2.695557612323e+02 2.701492942638e+02 2.701499999687e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.104362544360e-01 2.112242575602e-01 7.845065211074e-02 7.986132333277e-02 8.231420220756e-02 8.665123819229e-02 9.110364189447e-02 9.607957047542e-02 5.000393053609e-02 5.000393134219e-02 6.670330590623e-01 6.679441791427e-01 8.858071136438e-01 8.891719447703e-01 8.954131197133e-01 9.068763817764e-01 9.088963581055e-01 9.039204295246e-01 9.499960694639e-01 9.499960686578e-01
6.048000000000e+05 1.155930011145e+06 2.590797865551e+02 2.594789337067e+02 2.603095555771e+02 2.616283405504e+02 2.636077480062e+02 2.661895459535e+02 2.679651825709e+02 2.693535190442e+02 2.701485948989e+02 2.701499999192e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.094091914701e-01 2.100368475173e-01 7.771604754671e-02 7.893810707959e-02 8.119639034341e-02 8.538316799698e-02 8.980130440343e-02 9.508198619516e-02 5.000392962053e-02 5.000393134212e-02 6.681458881929e-01 6.692285220808e-01 8.865205083713e-01 8.900809564884e-01 8.965365513739e-01 9.081845714051e-01 9.101986955966e-01 9.049180138048e-01 9.499960703795e-01 9.499960686579e-01
6.912000000000e+05 1.155930011145e+06 2.562753444710e+02 2.568690926638e+02 2.580592218052e+02 2.598441705114e+02 2.623526486800e+02 2.654365042031e+02 2.674937210422e+02 2.691201935230e+02 2.701474578396e+02 2.701499998139e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.055333798368e-01 2.062852036741e-01 7.599279730125e-02 7.732624101244e-02 7.969653843142e-02 8.396101076465e-02 8.844077897499e-02 9.401970041835e-02 5.000392813289e-02 5.000393134198e-02 6.723790519130e-01 6.733148483277e-01 8.881684380174e-01 8.916457439779e-01 8.980267802828e-01 9.096409035573e-01 9.115592210250e-01 9.059802995816e-01 9.499960718671e-01 9.499960686580e-01
7.776000000000e+05 1.155930011145e+06 2.548146343842e+02 2.553809822322e+02 2.565564619744e+02 2.583972596016e+02 2.611120170285e+02 2.645850767099e+02 2.669471783904e+02 2.688487416478e+02 2.701457259526e+02 2.701499996083e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.038135406506e-01 2.044597985575e-01 7.503211548995e-02 7.622770351171e-02 7.843724411567e-02 8.257079923761e-02 8.704982362318e-02 9.288732216207e-02 5.000392586918e-02 5.000393134171e-02 6.742834740424e-01 6.753272939453e-01 8.890704493572e-01 8.926942107036e-01 8.992606468330e-01 9.110517129905e-01 9.129501763768e-01 9.071126778379e-01 9.499960741308e-01 9.499960686583e-01
8.640000000000e+05 1.155930011145e+06 2.528561955235e+02 2.534804410335e+02 2.547740905550e+02 2.567928598366e+02 2.597766734078e+02 2.636451482444e+02 2.663262782084e+02 2.685334939934e+02 2.701432164353e+02 2.701499992332e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.017542614129e-01 2.023831790060e-01 7.404115357362e-02 7.517490492855e-02 7.727130045121e-02 8.124529782375e-02 8.566439294664e-02 9.169170037531e-02 5.000392259367e-02 5.000393134122e-02 6.765969121322e-01 6.776471998542e-01 8.899880130888e-01 8.936841934287e-01 9.003870492739e-01 9.123831611037e-01 9.143356070534e-01 9.083082996247e-01 9.499960774063e-01 9.499960686588e-01
