"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.155842965480e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.441027266717e-01 1.441027266717e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 6.933116396911e-01 6.959033414532e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 1.155842965482e+06 2.607576143916e+02 2.615014710070e+02 2.630537789182e+02 2.653475032947e+02 2.680078683585e+02 2.697382982565e+02 2.700855109734e+02 2.701456245039e+02 2.701499999656e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.336786137925e-01 1.340199746788e-01 8.050212360885e-02 8.380580864844e-02 8.993326768382e-02 9.705007479039e-02 9.911315820459e-02 9.950371840388e-02 5.000393146038e-02 5.000393134223e-02 7.039653496476e-01 7.062228808708e-01 8.837844749869e-01 8.852033032140e-01 8.875498260898e-01 8.959235645244e-01 9.008868417954e-01 9.004962815961e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 1.155842965491e+06 2.608743648469e+02 2.613540189592e+02 2.623884994448e+02 2.640630231240e+02 2.664704435831e+02 2.688926629336e+02 2.698032762698e+02 2.701013409647e+02 2.701499948268e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.337302563591e-01 1.339499085582e-01 7.973592963641e-02 8.181078884976e-02 8.597016764450e-02 9.306388922190e-02 9.741313014071e-02 9.921492106175e-02 5.000393145365e-02 5.000393134223e-02 7.039153711937e-01 7.062907561148e-01 8.845448112313e-01 8.872260573295e-01 8.916774915862e-01 9.001583555089e-01 9.025868698593e-01 9.007850789383e-01 9.499960685464e-01 9.499960686578e-01
2.592000000000e+05 1.155842965491e+06 2.623763438335e+02 2.626091281733e+02 2.631540614922e+02 2.641598207983e+02 2.658947168955e+02 2.681979862915e+02 2.694364195835e+02 2.700122950597e+02 2.701499680766e+02 2.701499999994e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.344629796818e-01 1.345894580887e-01 8.062378196691e-02 8.194701113660e-02 8.480175576156e-02 9.053909291405e-02 9.548173841734e-02 9.865160635522e-02 5.000393141860e-02 5.000393134223e-02 7.032041433191e-01 7.056694806132e-01 8.836632463666e-01 8.870888773695e-01 8.928803061596e-01 9.028203964919e-01 9.045182615827e-01 9.013483936448e-01 9.499960685814e-01 9.499960686578e-01
3.456000000000e+05 1.155842965491e+06 2.630340234071e+02 2.632127815499e+02 2.636203898274e+02 2.643641196587e+02 2.656985301396e+02 2.677206710487e+02 2.690728164197e+02 2.698854732904e+02 2.701498846568e+02 2.701499999971e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.348307555412e-01 1.349365722556e-01 8.121289161199e-02 8.224139630267e-02 8.443291461355e-02 8.907527709233e-02 9.381453432185e-02 9.788686380766e-02 5.000393130932e-02 5.000393134222e-02 7.028451029104e-01 7.053303714693e-01 8.830743700554e-01 8.867919276696e-01 8.932583951303e-01 9.043545167994e-01 9.061854656782e-01 9.021131361923e-01 9.499960686907e-01 9.499960686578e-01
4.320000000000e+05 1.155842965493e+06 2.620704211069e+02 2.623557364088e+02 2.629462689551e+02 2.638740916200e+02 2.653020197168e+02 2.673063275596e+02 2.687290199322e+02 2.697315119762e+02 2.701496863737e+02 2.701499999894e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.343024885958e-01 1.344519683186e-01 8.037356923986e-02 8.155068718570e-02 8.372744877588e-02 8.794363718568e-02 9.241926083176e-02 9.701256382414e-02 5.000393104960e-02 5.000393134221e-02 7.033603442524e-01 7.058034007436e-01 8.839124302847e-01 8.874875752617e-01 8.939792139829e-01 9.055349760878e-01 9.075807391682e-01 9.029874361759e-01 9.499960689504e-01 9.499960686578e-01
5.184000000000e+05 1.155842965493e+06 2.597223322574e+02 2.601818736953e+02 2.611106619036e+02 2.624883193184e+02 2.644032870674e+02 2.667694295152e+02 2.683614208522e+02 2.695534977654e+02 2.701492899540e+02 2.701499999684e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.332488111577e-01 1.334336172911e-01 7.843596952270e-02 7.984658624342e-02 8.229893393551e-02 8.663424423580e-02 9.108631804370e-02 9.606797322136e-02 5.000393053045e-02 5.000393134219e-02 7.043810172659e-01 7.067899830569e-01 8.858214321702e-01 8.891865225623e-01 8.954285318025e-01 9.068939679642e-01 9.089136819563e-01 9.039320267786e-01 9.499960694696e-01 9.499960686578e-01
6.048000000000e+05 1.155842965493e+06 2.590780134105e+02 2.594696863976e+02 2.602984235100e+02 2.616173631944e+02 2.635977785842e+02 2.661818663425e+02 2.679598059094e+02 2.693508927145e+02 2.701485870547e+02 2.701499999186e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.330042088815e-01 1.331509642767e-01 7.770649184672e-02 7.892713144248e-02 8.118339897657e-02 8.536758768109e-02 8.978482066748e-02 9.506952347455e-02 5.000392961027e-02 5.000393134212e-02 7.046176805918e-01 7.070630372685e-01 8.865297471446e-01 8.900917101726e-01 8.965495471686e-01 9.082005909446e-01 9.102151793325e-01 9.049304765255e-01 9.499960703897e-01 9.499960686579e-01
6.912000000000e+05 1.155842965493e+06 2.562719406631e+02 2.568539181109e+02 2.580433922262e+02 2.598302388380e+02 2.623411919140e+02 2.654281612491e+02 2.674879055117e+02 2.691172032803e+02 2.701474447975e+02 2.701499998128e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.320988190233e-01 1.322682665087e-01 7.598197967079e-02 7.731486891853e-02 7.968398900852e-02 8.394635560604e-02 8.842499677810e-02 9.400664854659e-02 5.000392811583e-02 5.000393134198e-02 7.055014637106e-01 7.079207354717e-01 8.881786632430e-01 8.916566755810e-01 8.980391583726e-01 9.096558453261e-01 9.115750032219e-01 9.059933514534e-01 9.499960718842e-01 9.499960686580e-01
7.776000000000e+05 1.155842965493e+06 2.548124070589e+02 2.553700522052e+02 2.565437745918e+02 2.583849288375e+02 2.611008516117e+02 2.645763908983e+02 2.669409493639e+02 2.688453839482e+02 2.701457057175e+02 2.701499996060e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.317080645118e-01 1.318519729885e-01 7.502453359077e-02 7.621900145748e-02 7.842674825360e-02 8.255762594216e-02 8.703496912061e-02 9.287394578781e-02 5.000392584274e-02 5.000393134171e-02 7.058922236951e-01 7.083330252831e-01 8.890775192392e-01 8.927024541765e-01 8.992708579896e-01 9.110650144732e-01 9.129650308794e-01 9.071260542122e-01 9.499960741573e-01 9.499960686583e-01
8.640000000000e+05 1.155842965493e+06 2.528538474616e+02 2.534693248384e+02 2.547615605408e+02 2.567808337016e+02 2.597656833508e+02 2.636362876948e+02 2.663197082236e+02 2.685297762762e+02 2.701431867016e+02 2.701499992290e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.312482077829e-01 1.313856630362e-01 7.403467481520e-02 7.516757044583e-02 7.726239189197e-02 8.123368666985e-02 8.565068642713e-02 9.167828716645e-02 5.000392255490e-02 5.000393134122e-02 7.063673026708e-01 7.088080707535e-01 8.899939697694e-01 8.936910380141e-01 9.003955921929e-01 9.123947592890e-01 9.143493135729e-01 9.083217128336e-01 9.499960774451e-01 9.499960686588e-01
9.504000000000e+05 1.155842965493e+06 2.543567047822e+02 2.546963137092e+02 2.554750908191e+02 2.568683548887e+02 2.592752599161e+02 2.629105223975e+02 2.657131514109e+02 2.681802111253e+02 2.701396786218e+02 2.701499985790e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.315950060017e-01 1.316788855292e-01 7.441393096293e-02 7.522112285179e-02 7.687505714323e-02 8.033124644813e-02 8.445965499476e-02 9.048080189943e-02 5.000391798528e-02 5.000393134037e-02 7.060071826300e-01 7.085073053792e-01 8.896443650672e-01 8.936410463745e-01 9.007660592805e-01 9.132924495475e-01 9.155403450052e-01 9.095191981006e-01 9.499960820147e-01 9.499960686596e-01
1.036800000000e+06 1.155842965493e+06 2.560482948690e+02 2.562387885435e+02 2.567017566626e+02 2.576130055949e+02 2.593937785959e+02 2.625003529752e+02 2.652075373279e+02 2.678208520388e+02 2.701349497512e+02 2.701499975101e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.320358896087e-01 1.320894162551e-01 7.511953242711e-02 7.569386619039e-02 7.696687457426e-02 7.986002469122e-02 8.356641589972e-02 8.936690215550e-02 5.000391184229e-02 5.000393133896e-02 7.055638256590e-01 7.080968804966e-01 8.889888808395e-01 8.931980540969e-01 9.006784130607e-01 9.137581081195e-01 9.164335841003e-01 9.106330978445e-01 9.499960881577e-01 9.499960686610e-01
1.123200000000e+06 1.155842965493e+06 2.573091311717e+02 2.574368944498e+02 2.577530147836e+02 2.583996292818e+02 2.597470626736e+02 2.623360634485e+02 2.648326369834e+02 2.674773708360e+02 2.701287549980e+02 2.701499958210e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.324068960648e-01 1.324468219950e-01 7.578634150039e-02 7.622937701711e-02 7.724732145826e-02 7.967837748856e-02 8.295405662798e-02 8.839642505956e-02 5.000390382416e-02 5.000393133675e-02 7.051984546980e-01 7.077459932778e-01 8.883633206400e-01 8.926926253679e-01 9.004100418174e-01 9.139370149989e-01 9.170459433720e-01 9.116035749404e-01 9.499960961758e-01 9.499960686632e-01
1.209600000000e+06 1.155842965493e+06 2.575541612759e+02 2.577171072236e+02 2.580817406793e+02 2.587374780436e+02 2.599704270581e+02 2.622642533216e+02 2.645594552205e+02 2.671646178659e+02 2.701208501193e+02 2.701499932425e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.324838741839e-01 1.325360187022e-01 7.600821393579e-02 7.647193076439e-02 7.743007248283e-02 7.960019448559e-02 8.253172338118e-02 8.758179958284e-02 5.000389364017e-02 5.000393133337e-02 7.051232191165e-01 7.076590306976e-01 8.881538631278e-01 8.924624517903e-01 9.002346278899e-01 9.140139139128e-01 9.174682766188e-01 9.124182004172e-01 9.499961063598e-01 9.499960686666e-01
1.296000000000e+06 1.155842965494e+06 2.567163184769e+02 2.569790110089e+02 2.575298843266e+02 2.584110089795e+02 2.598308218335e+02 2.621301707812e+02 2.643255628543e+02 2.668819012851e+02 2.701110073129e+02 2.701499894232e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.322274371467e-01 1.323058107964e-01 7.563952074236e-02 7.623741883353e-02 7.731534446762e-02 7.945613628771e-02 8.218483741558e-02 8.689514681399e-02 5.000388103359e-02 5.000393132837e-02 7.053745406468e-01 7.078839106114e-01 8.885015679902e-01 8.926850064190e-01 9.003447984397e-01 9.141554389322e-01 9.178151625844e-01 9.131048531860e-01 9.499961189664e-01 9.499960686716e-01
1.382400000000e+06 1.155842965494e+06 2.555302284236e+02 2.558702854964e+02 2.565794586039e+02 2.576886550681e+02 2.593794301010e+02 2.618673607926e+02 2.640762569820e+02 2.666177761617e+02 2.700990278492e+02 2.701499839160e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.318944992314e-01 1.319866296933e-01 7.504587908958e-02 7.574368518710e-02 7.695569939214e-02 7.918079928472e-02 8.182902578653e-02 8.629176976138e-02 5.000386580014e-02 5.000393132116e-02 7.057046714464e-01 7.081987416795e-01 8.890576134536e-01 8.931511950452e-01 9.006890863710e-01 9.144253213224e-01 9.181709742135e-01 9.137082302386e-01 9.499961341999e-01 9.499960686788e-01
