"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.155773717148e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.219115697016e-01 2.219115697016e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.716496217565e-01 5.746386692177e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 1.155773717149e+06 2.607771089790e+02 2.616133760048e+02 2.631795906889e+02 2.654458401019e+02 2.680596659932e+02 2.697496896292e+02 2.700873832497e+02 2.701457551718e+02 2.701499999666e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.124428992094e-01 2.127945346387e-01 8.065502701008e-02 8.397743650779e-02 9.009517716740e-02 9.711303353557e-02 9.912516179075e-02 9.950457936954e-02 5.000393146038e-02 5.000393134223e-02 5.816336919567e-01 5.842398121348e-01 8.836320897255e-01 8.850280109925e-01 8.873798882488e-01 8.958564254304e-01 9.008748382093e-01 9.004954206305e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 1.155773717159e+06 2.608871215528e+02 2.614282525956e+02 2.624770687949e+02 2.641428759978e+02 2.665284850386e+02 2.689167442461e+02 2.698105491483e+02 2.701024119614e+02 2.701499949445e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.124872190759e-01 2.127136616147e-01 7.983404162476e-02 8.192301659546e-02 8.609578562964e-02 9.316165232708e-02 9.745439109643e-02 9.922183617932e-02 5.000393145380e-02 5.000393134223e-02 5.815856304669e-01 5.843264287810e-01 8.844477615969e-01 8.871130513324e-01 8.915477394473e-01 9.000549232279e-01 9.025456089036e-01 9.007781638207e-01 9.499960685462e-01 9.499960686578e-01
2.592000000000e+05 1.155773717159e+06 2.623826577902e+02 2.626475360805e+02 2.632048318845e+02 2.642127758179e+02 2.659426173580e+02 2.682266287235e+02 2.694486371019e+02 2.700149062369e+02 2.701499687504e+02 2.701499999994e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.131512358250e-01 2.132824580797e-01 8.068603028225e-02 8.202240879543e-02 8.489394130823e-02 9.063319128311e-02 9.554170224027e-02 9.866780521002e-02 5.000393141949e-02 5.000393134223e-02 5.808748904512e-01 5.837215366076e-01 8.836011664331e-01 8.870128869669e-01 8.927856837872e-01 9.027215270630e-01 9.044582977597e-01 9.013321947900e-01 9.499960685805e-01 9.499960686578e-01
3.456000000000e+05 1.155773717159e+06 2.630388752639e+02 2.632417650505e+02 2.636580164350e+02 2.644038673192e+02 2.657374730302e+02 2.677492065420e+02 2.690882203120e+02 2.698898738013e+02 2.701498869363e+02 2.701499999972e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.134850844140e-01 2.135945284582e-01 8.126218782095e-02 8.229978905355e-02 8.450503829631e-02 8.915765265473e-02 9.388088781403e-02 9.791269883669e-02 5.000393131231e-02 5.000393134222e-02 5.805222561109e-01 5.833929138025e-01 8.830249583510e-01 8.867329472891e-01 8.931845272573e-01 9.042683902689e-01 9.061191121860e-01 9.020873011633e-01 9.499960686877e-01 9.499960686578e-01
4.320000000000e+05 1.155773717160e+06 2.620779919963e+02 2.623986704972e+02 2.629957468610e+02 2.639192619266e+02 2.653412619556e+02 2.673351549161e+02 2.687465516426e+02 2.697377010004e+02 2.701496922083e+02 2.701499999897e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.130058044801e-01 2.131590392507e-01 8.043249453925e-02 8.161219234232e-02 8.379501807522e-02 8.801868845564e-02 9.248669261806e-02 9.704663912012e-02 5.000393105724e-02 5.000393134221e-02 5.810293144601e-01 5.838520361656e-01 8.838537986572e-01 8.874257848140e-01 8.939103118968e-01 9.054568497630e-01 9.075133073819e-01 9.029533608799e-01 9.499960689428e-01 9.499960686578e-01
5.184000000000e+05 1.155773717160e+06 2.597344831087e+02 2.602498446161e+02 2.611858956032e+02 2.625519434622e+02 2.644523300133e+02 2.668018501102e+02 2.683814135362e+02 2.695614889490e+02 2.701493024410e+02 2.701499999690e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.120487112841e-01 2.122379421013e-01 7.850703946319e-02 7.991788064299e-02 8.237149095497e-02 8.670887390350e-02 9.115508484226e-02 9.610896314501e-02 5.000393054680e-02 5.000393134219e-02 5.820660080195e-01 5.848417266129e-01 8.857521026251e-01 8.891159796473e-01 8.953552755132e-01 9.068167269601e-01 9.088449151577e-01 9.038910368550e-01 9.499960694532e-01 9.499960686578e-01
6.048000000000e+05 1.155773717161e+06 2.590884544317e+02 2.595296192631e+02 2.603686503639e+02 2.616811881360e+02 2.636504065896e+02 2.662178436305e+02 2.679825221428e+02 2.693607518464e+02 2.701486106304e+02 2.701499999201e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.118254963464e-01 2.119763125146e-01 7.776697033669e-02 7.899115306131e-02 8.125219572220e-02 8.544078674521e-02 8.985462755625e-02 9.511637051884e-02 5.000392964112e-02 5.000393134212e-02 5.823155796132e-01 5.851306201273e-01 8.864712567915e-01 8.900289656898e-01 8.964807105070e-01 9.081253165087e-01 9.101453724437e-01 9.048836294812e-01 9.499960703589e-01 9.499960686579e-01
6.912000000000e+05 1.155773717161e+06 2.562874488107e+02 2.569409066877e+02 2.581406536244e+02 2.599134819489e+02 2.624056561830e+02 2.654701635386e+02 2.675142158675e+02 2.691291378959e+02 2.701474853872e+02 2.701499998161e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.110029331955e-01 2.111766645960e-01 7.604870079469e-02 7.738306884008e-02 7.975484602845e-02 8.402036304785e-02 8.849657966672e-02 9.405882211445e-02 5.000392816892e-02 5.000393134199e-02 5.832822832881e-01 5.860530600001e-01 8.881155718785e-01 8.915910941962e-01 8.979692480402e-01 9.095803761680e-01 9.115034203333e-01 9.059411778855e-01 9.499960718311e-01 9.499960686580e-01
7.776000000000e+05 1.155773717161e+06 2.548273379443e+02 2.554551815088e+02 2.566423909042e+02 2.584731841984e+02 2.611723491218e+02 2.646243897789e+02 2.669714059347e+02 2.688596800570e+02 2.701457708707e+02 2.701499996127e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.106471239226e-01 2.107950058891e-01 7.508368317120e-02 7.628151227868e-02 7.849419633037e-02 8.263065855954e-02 8.710779904365e-02 9.293100014514e-02 5.000392592786e-02 5.000393134172e-02 5.837357329774e-01 5.865260486862e-01 8.890223441934e-01 8.926432161459e-01 8.992052177539e-01 9.109912545746e-01 9.128922009564e-01 9.070689998549e-01 9.499960740721e-01 9.499960686583e-01
