"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.910858256339e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.910858256355e+05 2.607820916404e+02 2.616439198841e+02 2.632246740875e+02 2.654857374341e+02 2.680653119581e+02 2.697364709825e+02 2.700822354350e+02 2.701451109880e+02 2.701499999536e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140005063354e-01 1.144090603500e-01 8.071047979754e-02 8.404794848805e-02 9.011296488049e-02 9.704000306422e-02 9.909218858323e-02 9.950033581481e-02 5.000393146036e-02 5.000393134223e-02 7.385321688424e-01 7.405575177020e-01 8.835767730144e-01 8.849559393711e-01 8.873612131483e-01 8.959343043492e-01 9.009078114168e-01 9.004996641852e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 6.910858256355e+05 2.608910371246e+02 2.614512292697e+02 2.625127187873e+02 2.641850645795e+02 2.665566834292e+02 2.689085720977e+02 2.697980005948e+02 2.700982446772e+02 2.701499935353e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140499076759e-01 1.143140513467e-01 7.987385632839e-02 8.198287538254e-02 8.615737348444e-02 9.312838864636e-02 9.738330568319e-02 9.919495289099e-02 5.000393145195e-02 5.000393134223e-02 7.384857032692e-01 7.406473437259e-01 8.844083507080e-01 8.870527357128e-01 8.914840945722e-01 9.000901185906e-01 9.026166943168e-01 9.008050471090e-01 9.499960685480e-01 9.499960686578e-01
2.592000000000e+05 6.910858256355e+05 2.623849312603e+02 2.626593095973e+02 2.632207972508e+02 2.642346512283e+02 2.659661926818e+02 2.682271774983e+02 2.694345246495e+02 2.700062187047e+02 2.701499607490e+02 2.701499999992e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147963855987e-01 1.149494483991e-01 8.070569737311e-02 8.205373844868e-02 8.493962869971e-02 9.063500164581e-02 9.547251117085e-02 9.861399584162e-02 5.000393140901e-02 5.000393134223e-02 7.377785305851e-01 7.400435105385e-01 8.835815447741e-01 8.869812968680e-01 8.927387697165e-01 9.027196246599e-01 9.045274888292e-01 9.013860041584e-01 9.499960685910e-01 9.499960686578e-01
3.456000000000e+05 6.910858256355e+05 2.630402629567e+02 2.632492396445e+02 2.636674819151e+02 2.644163306848e+02 2.657534965338e+02 2.677536694756e+02 2.690761729492e+02 2.698772944924e+02 2.701498600906e+02 2.701499999961e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151715502770e-01 1.152984480687e-01 8.127463217170e-02 8.231817558683e-02 8.453486893693e-02 8.917059130319e-02 9.382902686089e-02 9.783899795233e-02 5.000393127715e-02 5.000393134222e-02 7.374193301294e-01 7.397086819605e-01 8.830124810384e-01 8.867143692876e-01 8.931539653066e-01 9.042548601616e-01 9.061709731391e-01 9.021610020477e-01 9.499960687228e-01 9.499960686578e-01
4.320000000000e+05 6.910858256355e+05 2.620797329354e+02 2.624100535744e+02 2.630140265471e+02 2.639416388924e+02 2.653638334339e+02 2.673450253550e+02 2.687384992357e+02 2.697227099977e+02 2.701496241298e+02 2.701499999857e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146324469134e-01 1.148101710364e-01 8.045436675016e-02 8.164281822468e-02 8.383409900447e-02 8.804450583238e-02 9.245574942315e-02 9.696428297457e-02 5.000393096810e-02 5.000393134221e-02 7.379346827398e-01 7.401765010748e-01 8.838320266419e-01 8.873950040848e-01 8.938704457162e-01 9.054299690774e-01 9.075442505769e-01 9.030357170254e-01 9.499960690319e-01 9.499960686578e-01
5.184000000000e+05 6.910858256355e+05 2.597378004654e+02 2.602719261353e+02 2.612254210133e+02 2.626023108395e+02 2.645008592306e+02 2.668266865415e+02 2.683809983278e+02 2.695459980619e+02 2.701491583746e+02 2.701499999577e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135561335038e-01 1.137770734170e-01 7.854462997024e-02 7.997474819008e-02 8.244385545838e-02 8.676640781161e-02 9.115373686347e-02 9.602966272146e-02 5.000393035822e-02 5.000393134217e-02 7.389485051226e-01 7.411521837988e-01 8.857154093885e-01 8.890596748224e-01 8.952821729286e-01 9.067571614066e-01 9.088462631365e-01 9.039703372785e-01 9.499960696418e-01 9.499960686578e-01
6.048000000000e+05 6.910858256354e+05 2.590921382871e+02 2.595520236941e+02 2.604083162074e+02 2.617366457266e+02 2.637128161345e+02 2.662590192187e+02 2.679929021163e+02 2.693469144967e+02 2.701483424136e+02 2.701499998918e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.133050689656e-01 1.134821746223e-01 7.780133739381e-02 7.904718993597e-02 8.133447626245e-02 8.552521873537e-02 8.988676010609e-02 9.505072120995e-02 5.000392929022e-02 5.000393134209e-02 7.391826247453e-01 7.414276065046e-01 8.864379995453e-01 8.899740095192e-01 8.963983281747e-01 9.080384535867e-01 9.101132398939e-01 9.049492787901e-01 9.499960707098e-01 9.499960686579e-01
6.912000000000e+05 6.910858256354e+05 2.562929974836e+02 2.569763746216e+02 2.582070502356e+02 2.600048872182e+02 2.625052206037e+02 2.655390550774e+02 2.675413536261e+02 2.691197177591e+02 2.701470316243e+02 2.701499997530e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123799140729e-01 1.125846747340e-01 7.609460072568e-02 7.745865587909e-02 7.986546662518e-02 8.414298659568e-02 8.857100371883e-02 9.401768519134e-02 5.000392757575e-02 5.000393134190e-02 7.400429540951e-01 7.422614417783e-01 8.880721342694e-01 8.915183415652e-01 8.978600042951e-01 9.094552524394e-01 9.114289962812e-01 9.059823148087e-01 9.499960724242e-01 9.499960686581e-01
7.776000000000e+05 6.910858256354e+05 2.548337320156e+02 2.554942073057e+02 2.567156400660e+02 2.585800010163e+02 2.612995232578e+02 2.647243997625e+02 2.670208908129e+02 2.688581043288e+02 2.701450581904e+02 2.701499994840e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119796677446e-01 1.121549991168e-01 7.512794266567e-02 7.635788408221e-02 7.861557952795e-02 8.278469904139e-02 8.722731249262e-02 9.292477006915e-02 5.000392499739e-02 5.000393134155e-02 7.404177872693e-01 7.426616753421e-01 8.889810272193e-01 8.925707718859e-01 8.990869579888e-01 9.108355482554e-01 9.127726875074e-01 9.070752299308e-01 9.499960750026e-01 9.499960686584e-01
