"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.910858256339e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.910858256355e+05 2.607820916404e+02 2.616439198841e+02 2.632246740875e+02 2.654857374341e+02 2.680653119581e+02 2.697364709826e+02 2.700822354354e+02 2.701451109941e+02 2.701499999696e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140005063354e-01 1.144090603500e-01 8.071047979754e-02 8.404794848806e-02 9.011296488052e-02 9.704000306457e-02 9.909218858599e-02 9.950033585464e-02 5.000393146038e-02 5.000393134223e-02 7.385321688428e-01 7.405575177020e-01 8.835767730144e-01 8.849559393710e-01 8.873612131483e-01 8.959343043489e-01 9.009078114140e-01 9.004996641454e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 6.910858256355e+05 2.608910371248e+02 2.614512292709e+02 2.625127187906e+02 2.641850645869e+02 2.665566834437e+02 2.689085721359e+02 2.697980007279e+02 2.700982455753e+02 2.701499956023e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140499076760e-01 1.143140513473e-01 7.987385633214e-02 8.198287539308e-02 8.615737351624e-02 9.312838880164e-02 9.738330643555e-02 9.919495868038e-02 5.000393145466e-02 5.000393134223e-02 7.384857032695e-01 7.406473437254e-01 8.844083507043e-01 8.870527357021e-01 8.914840945393e-01 9.000901184263e-01 9.026166935644e-01 9.008050413196e-01 9.499960685453e-01 9.499960686578e-01
2.592000000000e+05 6.910858256355e+05 2.623849312613e+02 2.626593096031e+02 2.632207972657e+02 2.642346512612e+02 2.659661927645e+02 2.682271777819e+02 2.694345255977e+02 2.700062241762e+02 2.701499730209e+02 2.701499999997e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147963855992e-01 1.149494484024e-01 8.070569739146e-02 8.205373849599e-02 8.493962886024e-02 9.063500258150e-02 9.547251581054e-02 9.861402967297e-02 5.000393142508e-02 5.000393134223e-02 7.377785305850e-01 7.400435105354e-01 8.835815447558e-01 8.869812968202e-01 8.927387695517e-01 9.027196236766e-01 9.045274841895e-01 9.013859703270e-01 9.499960685749e-01 9.499960686578e-01
3.456000000000e+05 6.910858256355e+05 2.630402629624e+02 2.632492396778e+02 2.636674820015e+02 2.644163308671e+02 2.657534969421e+02 2.677536707313e+02 2.690761768052e+02 2.698773139964e+02 2.701499029105e+02 2.701499999983e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151715502804e-01 1.152984480892e-01 8.127463228536e-02 8.231817585604e-02 8.453486969818e-02 8.917059494590e-02 9.382904344575e-02 9.783911194935e-02 5.000393133324e-02 5.000393134222e-02 7.374193301265e-01 7.397086819408e-01 8.830124809245e-01 8.867143690156e-01 8.931539645266e-01 9.042548563522e-01 9.061709565542e-01 9.021608880506e-01 9.499960686668e-01 9.499960686578e-01
4.320000000000e+05 6.910858256355e+05 2.620797329545e+02 2.624100536862e+02 2.630140268398e+02 2.639416395163e+02 2.653638348178e+02 2.673450293904e+02 2.687385107900e+02 2.697227622366e+02 2.701497367722e+02 2.701499999937e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146324469235e-01 1.148101710979e-01 8.045436710081e-02 8.164281907997e-02 8.383410140550e-02 8.804451640002e-02 9.245579387378e-02 9.696456919179e-02 5.000393111563e-02 5.000393134222e-02 7.379346827306e-01 7.401765010161e-01 8.838320262928e-01 8.873950032251e-01 8.938704432667e-01 9.054299580740e-01 9.075442061262e-01 9.030354308082e-01 9.499960688844e-01 9.499960686578e-01
5.184000000000e+05 6.910858256355e+05 2.597378005189e+02 2.602719264479e+02 2.612254218327e+02 2.626023125825e+02 2.645008630339e+02 2.668266971000e+02 2.683810267247e+02 2.695461143759e+02 2.701494053919e+02 2.701499999812e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135561335253e-01 1.137770735500e-01 7.854463075137e-02 7.997475016460e-02 8.244386115203e-02 8.676643233778e-02 9.115383481200e-02 9.603025668476e-02 5.000393068165e-02 5.000393134220e-02 7.389485051030e-01 7.411521836743e-01 8.857154086258e-01 8.890596728669e-01 8.952821671754e-01 9.067571360110e-01 9.088461651880e-01 9.039697433152e-01 9.499960693183e-01 9.499960686578e-01
6.048000000000e+05 6.910858256354e+05 2.590921384173e+02 2.595520244538e+02 2.604083181846e+02 2.617366498826e+02 2.637128250483e+02 2.662590429943e+02 2.679929626842e+02 2.693471418492e+02 2.701488189872e+02 2.701499999515e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.133050690145e-01 1.134821749218e-01 7.780133911067e-02 7.904719414968e-02 8.133448806890e-02 8.552526769236e-02 8.988694733128e-02 9.505179799807e-02 5.000392991393e-02 5.000393134216e-02 7.391826247002e-01 7.414276062256e-01 8.864379978839e-01 8.899740053859e-01 8.963983163497e-01 9.080384032087e-01 9.101130526687e-01 9.049482020019e-01 9.499960700861e-01 9.499960686578e-01
6.912000000000e+05 6.910858256354e+05 2.562929977577e+02 2.569763762243e+02 2.582070544306e+02 2.600048960527e+02 2.625052393108e+02 2.655391030465e+02 2.675414699014e+02 2.691201214211e+02 2.701478679278e+02 2.701499998883e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123799141527e-01 1.125846752285e-01 7.609460363477e-02 7.745866322047e-02 7.986548754624e-02 8.414307252029e-02 8.857132326247e-02 9.401944783548e-02 5.000392866943e-02 5.000393134208e-02 7.400429540212e-01 7.422614413193e-01 8.880721315159e-01 8.915183344963e-01 8.978599836232e-01 9.094551647288e-01 9.114286767375e-01 9.059805521645e-01 9.499960713306e-01 9.499960686579e-01
7.776000000000e+05 6.910858256354e+05 2.548337325499e+02 2.554942104279e+02 2.567156482187e+02 2.585800180792e+02 2.612995589248e+02 2.647244883338e+02 2.670210964476e+02 2.688587704163e+02 2.701464231513e+02 2.701499997649e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119796678828e-01 1.121549999676e-01 7.512794760737e-02 7.635789634492e-02 7.861561382772e-02 8.278483659944e-02 8.722781152276e-02 9.292743345892e-02 5.000392678040e-02 5.000393134192e-02 7.404177871395e-01 7.426616745465e-01 8.889810226052e-01 8.925707602483e-01 8.990869245486e-01 9.108354091304e-01 9.127721884772e-01 9.070725665411e-01 9.499960732196e-01 9.499960686581e-01
