"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.123733171572e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 1.123733171574e+06 2.607820916404e+02 2.616439198841e+02 2.632246740875e+02 2.654857374342e+02 2.680653119582e+02 2.697364709831e+02 2.700822354389e+02 2.701451110427e+02 2.701499999595e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140005063354e-01 1.144090603500e-01 8.071047979755e-02 8.404794848812e-02 9.011296488083e-02 9.704000306756e-02 9.909218860843e-02 9.950033617506e-02 5.000393146037e-02 5.000393134223e-02 7.385321688424e-01 7.405575177020e-01 8.835767730144e-01 8.849559393710e-01 8.873612131479e-01 8.959343043457e-01 9.009078113916e-01 9.004996638249e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 1.123733171574e+06 2.608910371255e+02 2.614512292746e+02 2.625127187999e+02 2.641850646063e+02 2.665566834915e+02 2.689085723157e+02 2.697980014031e+02 2.700982501505e+02 2.701499943491e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140499076763e-01 1.143140513491e-01 7.987385634252e-02 8.198287542070e-02 8.615737362095e-02 9.312838953250e-02 9.738331025161e-02 9.919498817137e-02 5.000393145302e-02 5.000393134223e-02 7.384857032688e-01 7.406473437237e-01 8.844083506940e-01 8.870527356743e-01 8.914840944311e-01 9.000901176531e-01 9.026166897484e-01 9.008050118286e-01 9.499960685470e-01 9.499960686578e-01
2.592000000000e+05 1.123733171574e+06 2.623849312669e+02 2.626593096358e+02 2.632207973514e+02 2.642346514452e+02 2.659661931829e+02 2.682271791252e+02 2.694345300318e+02 2.700062494256e+02 2.701499656741e+02 2.701499999993e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147963856023e-01 1.149494484209e-01 8.070569749723e-02 8.205373875995e-02 8.493962967295e-02 9.063500701328e-02 9.547253750754e-02 9.861418579605e-02 5.000393141546e-02 5.000393134223e-02 7.377785305816e-01 7.400435105176e-01 8.835815446503e-01 8.869812965541e-01 8.927387687170e-01 9.027196190194e-01 9.045274624925e-01 9.013858142039e-01 9.499960685845e-01 9.499960686578e-01
3.456000000000e+05 1.123733171574e+06 2.630402629870e+02 2.632492398217e+02 2.636674823782e+02 2.644163316740e+02 2.657534987603e+02 2.677536762625e+02 2.690761935700e+02 2.698773970661e+02 2.701498775934e+02 2.701499999966e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151715502951e-01 1.152984481778e-01 8.127463278096e-02 8.231817704764e-02 8.453487308838e-02 8.917061099081e-02 9.382911555332e-02 9.783959748625e-02 5.000393130009e-02 5.000393134222e-02 7.374193301119e-01 7.397086818555e-01 8.830124804276e-01 8.867143678116e-01 8.931539610531e-01 9.042548395734e-01 9.061708844467e-01 9.021604025138e-01 9.499960686999e-01 9.499960686578e-01
4.320000000000e+05 1.123733171574e+06 2.620797330359e+02 2.624100541617e+02 2.630140280804e+02 2.639416421466e+02 2.653638406127e+02 2.673450460916e+02 2.687385579128e+02 2.697229699481e+02 2.701496710222e+02 2.701499999877e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146324469664e-01 1.148101713592e-01 8.045436858707e-02 8.164282268602e-02 8.383411145939e-02 8.804456013647e-02 9.245597516239e-02 9.696570730530e-02 5.000393102953e-02 5.000393134221e-02 7.379346826894e-01 7.401765007669e-01 8.838320248133e-01 8.873949996005e-01 8.938704330097e-01 9.054299125337e-01 9.075440248376e-01 9.030342926947e-01 9.499960689705e-01 9.499960686578e-01
5.184000000000e+05 1.123733171574e+06 2.597378007362e+02 2.602719277176e+02 2.612254251453e+02 2.626023195686e+02 2.645008781334e+02 2.668267384701e+02 2.683811361817e+02 2.695465501189e+02 2.701492631110e+02 2.701499999636e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135561336127e-01 1.137770740905e-01 7.854463390909e-02 7.997475807880e-02 8.244388375640e-02 8.676652843666e-02 9.115421236626e-02 9.603248206708e-02 5.000393049539e-02 5.000393134218e-02 7.389485050210e-01 7.411521831684e-01 8.857154055429e-01 8.890596650290e-01 8.952821443345e-01 9.067570365051e-01 9.088457876337e-01 9.039675179329e-01 9.499960695046e-01 9.499960686578e-01
6.048000000000e+05 1.123733171574e+06 2.590921389100e+02 2.595520273332e+02 2.604083257061e+02 2.617366657234e+02 2.637128588384e+02 2.662591317685e+02 2.679931847927e+02 2.693479506836e+02 2.701485482342e+02 2.701499999070e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.133050691999e-01 1.134821760571e-01 7.780134564170e-02 7.904721021066e-02 8.133453282454e-02 8.552545049178e-02 8.988763393113e-02 9.505562953534e-02 5.000392955963e-02 5.000393134210e-02 7.391826245271e-01 7.414276051675e-01 8.864379915627e-01 8.899739896305e-01 8.963982715235e-01 9.080382151032e-01 9.101123660689e-01 9.049443704647e-01 9.499960704404e-01 9.499960686579e-01
6.912000000000e+05 1.123733171574e+06 2.562929987650e+02 2.569763821109e+02 2.582070697998e+02 2.600049282675e+02 2.625053070587e+02 2.655392744209e+02 2.675418778793e+02 2.691214947467e+02 2.701473994961e+02 2.701499997877e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123799144458e-01 1.125846770449e-01 7.609461429287e-02 7.745868999086e-02 7.986556331222e-02 8.414337950059e-02 8.857244452627e-02 9.402544649780e-02 5.000392805690e-02 5.000393134195e-02 7.400429537475e-01 7.422614396323e-01 8.880721214266e-01 8.915183087181e-01 8.978599087592e-01 9.094548513676e-01 9.114275554737e-01 9.059745535022e-01 9.499960719431e-01 9.499960686581e-01
7.776000000000e+05 1.123733171574e+06 2.548337344147e+02 2.554942213295e+02 2.567156767247e+02 2.585800777828e+02 2.612996832224e+02 2.647247927667e+02 2.670217904927e+02 2.688609510211e+02 2.701456696544e+02 2.701499995564e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119796683651e-01 1.121550029382e-01 7.512796488602e-02 7.635793925282e-02 7.861573336189e-02 8.278530942267e-02 8.722949599089e-02 9.293615678658e-02 5.000392579615e-02 5.000393134165e-02 7.404177866847e-01 7.426616717677e-01 8.889810064705e-01 8.925707195265e-01 8.990868080097e-01 9.108349309201e-01 9.127705040091e-01 9.070638432134e-01 9.499960742038e-01 9.499960686584e-01
