"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.954388350506e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.954388350521e+05 2.607820916404e+02 2.616439198841e+02 2.632246740875e+02 2.654857374341e+02 2.680653119581e+02 2.697364709826e+02 2.700822354354e+02 2.701451109941e+02 2.701499999696e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140005063354e-01 1.144090603500e-01 8.071047979756e-02 8.404794848808e-02 9.011296488053e-02 9.704000306457e-02 9.909218858601e-02 9.950033585492e-02 5.000393146038e-02 5.000393134223e-02 7.385321688424e-01 7.405575177020e-01 8.835767730144e-01 8.849559393710e-01 8.873612131483e-01 8.959343043489e-01 9.009078114140e-01 9.004996641451e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 6.954388350521e+05 2.608910371249e+02 2.614512292713e+02 2.625127187920e+02 2.641850645901e+02 2.665566834483e+02 2.689085721387e+02 2.697980007293e+02 2.700982455795e+02 2.701499956031e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140499076760e-01 1.143140513475e-01 7.987385633368e-02 8.198287539763e-02 8.615737352622e-02 9.312838881295e-02 9.738330644318e-02 9.919495870741e-02 5.000393145466e-02 5.000393134223e-02 7.384857032691e-01 7.406473437252e-01 8.844083507028e-01 8.870527356975e-01 8.914840945290e-01 9.000901184144e-01 9.026166935568e-01 9.008050412926e-01 9.499960685453e-01 9.499960686578e-01
2.592000000000e+05 6.954388350521e+05 2.623849312612e+02 2.626593096022e+02 2.632207972633e+02 2.642346512571e+02 2.659661927607e+02 2.682271777822e+02 2.694345256020e+02 2.700062241998e+02 2.701499730257e+02 2.701499999997e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147963855991e-01 1.149494484019e-01 8.070569738857e-02 8.205373849001e-02 8.493962885299e-02 9.063500258257e-02 9.547251583141e-02 9.861402981874e-02 5.000393142509e-02 5.000393134223e-02 7.377785305846e-01 7.400435105358e-01 8.835815447587e-01 8.869812968263e-01 8.927387695591e-01 9.027196236755e-01 9.045274841686e-01 9.013859701813e-01 9.499960685749e-01 9.499960686578e-01
3.456000000000e+05 6.954388350521e+05 2.630402629625e+02 2.632492396784e+02 2.636674820025e+02 2.644163308676e+02 2.657534969420e+02 2.677536707351e+02 2.690761768206e+02 2.698773140752e+02 2.701499029278e+02 2.701499999983e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151715502805e-01 1.152984480895e-01 8.127463228657e-02 8.231817585684e-02 8.453486969814e-02 8.917059495676e-02 9.382904351219e-02 9.783911240975e-02 5.000393133326e-02 5.000393134222e-02 7.374193301260e-01 7.397086819405e-01 8.830124809233e-01 8.867143690148e-01 8.931539645267e-01 9.042548563409e-01 9.061709564878e-01 9.021608875902e-01 9.499960686667e-01 9.499960686578e-01
4.320000000000e+05 6.954388350521e+05 2.620797329541e+02 2.624100536836e+02 2.630140268352e+02 2.639416395136e+02 2.653638348222e+02 2.673450294069e+02 2.687385108353e+02 2.697227624368e+02 2.701497368193e+02 2.701499999937e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146324469232e-01 1.148101710965e-01 8.045436709527e-02 8.164281907634e-02 8.383410141311e-02 8.804451644334e-02 9.245579404798e-02 9.696457028881e-02 5.000393111567e-02 5.000393134222e-02 7.379346827304e-01 7.401765010175e-01 8.838320262984e-01 8.873950032288e-01 8.938704432589e-01 9.054299580289e-01 9.075442059520e-01 9.030354297112e-01 9.499960688843e-01 9.499960686578e-01
5.184000000000e+05 6.954388350521e+05 2.597378005170e+02 2.602719264379e+02 2.612254218146e+02 2.626023125694e+02 2.645008630436e+02 2.668266971435e+02 2.683810268327e+02 2.695461148029e+02 2.701494054992e+02 2.701499999812e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135561335246e-01 1.137770735458e-01 7.854463073406e-02 7.997475014980e-02 8.244386116662e-02 8.676643243886e-02 9.115383518448e-02 9.603025886520e-02 5.000393068175e-02 5.000393134220e-02 7.389485051032e-01 7.411521836782e-01 8.857154086427e-01 8.890596728815e-01 8.952821671607e-01 9.067571359063e-01 9.088461648155e-01 9.039697411348e-01 9.499960693183e-01 9.499960686578e-01
6.048000000000e+05 6.954388350520e+05 2.590921384182e+02 2.595520244582e+02 2.604083181876e+02 2.617366498766e+02 2.637128250520e+02 2.662590430688e+02 2.679929629005e+02 2.693471426539e+02 2.701488192023e+02 2.701499999515e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.133050690149e-01 1.134821749236e-01 7.780133911331e-02 7.904719414368e-02 8.133448807382e-02 8.552526784591e-02 8.988694800001e-02 9.505180180939e-02 5.000392991412e-02 5.000393134216e-02 7.391826246994e-01 7.414276062243e-01 8.864379978819e-01 8.899740053922e-01 8.963983163448e-01 9.080384030507e-01 9.101130520000e-01 9.049481981906e-01 9.499960700859e-01 9.499960686578e-01
6.912000000000e+05 6.954388350520e+05 2.562929977543e+02 2.569763762062e+02 2.582070544018e+02 2.600048960490e+02 2.625052393762e+02 2.655391032261e+02 2.675414703119e+02 2.691201228075e+02 2.701478683191e+02 2.701499998884e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123799141517e-01 1.125846752229e-01 7.609460361482e-02 7.745866321738e-02 7.986548761934e-02 8.414307284185e-02 8.857132439053e-02 9.401945388995e-02 5.000392866979e-02 5.000393134208e-02 7.400429540217e-01 7.422614413247e-01 8.880721315353e-01 8.915183344997e-01 8.978599835510e-01 9.094551644006e-01 9.114286756095e-01 9.059805461100e-01 9.499960713302e-01 9.499960686579e-01
7.776000000000e+05 6.954388350520e+05 2.548337325596e+02 2.554942104797e+02 2.567156483018e+02 2.585800181130e+02 2.612995589086e+02 2.647244885389e+02 2.670210971183e+02 2.688587726444e+02 2.701464238128e+02 2.701499997650e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119796678853e-01 1.121549999817e-01 7.512794765773e-02 7.635789636923e-02 7.861561381215e-02 8.278483691797e-02 8.722781315043e-02 9.292744236886e-02 5.000392678100e-02 5.000393134192e-02 7.404177871367e-01 7.426616745336e-01 8.889810225586e-01 8.925707602257e-01 8.990869245638e-01 9.108354088082e-01 9.127721868496e-01 9.070725576311e-01 9.499960732190e-01 9.499960686581e-01
