"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.910858256339e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.910858256355e+05 2.607901219907e+02 2.616907775572e+02 2.633396839607e+02 2.656667763633e+02 2.682362823709e+02 2.698001930507e+02 2.700970171914e+02 2.701465470143e+02 2.701499999811e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140041267478e-01 1.144325032049e-01 8.085355971396e-02 8.437449561721e-02 9.066507919287e-02 9.739575926151e-02 9.918709470288e-02 9.950979821971e-02 5.000393146040e-02 5.000393134223e-02 7.385287648992e-01 7.405353291994e-01 8.834339186822e-01 8.846217671732e-01 8.867810366437e-01 8.955548423244e-01 9.008129052971e-01 9.004902017803e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 6.910858256355e+05 2.608965883146e+02 2.614836119864e+02 2.625948434207e+02 2.643342945061e+02 2.667536401045e+02 2.690467818469e+02 2.698564279868e+02 2.701102747288e+02 2.701499969650e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140524414093e-01 1.143298635881e-01 7.996629298394e-02 8.219782355805e-02 8.659809045951e-02 9.370335995187e-02 9.771762972529e-02 9.927271173233e-02 5.000393145645e-02 5.000393134223e-02 7.384833190605e-01 7.406324050717e-01 8.843167938894e-01 8.868359211213e-01 8.910281102583e-01 8.994813706691e-01 9.022823702747e-01 9.007272882677e-01 9.499960685436e-01 9.499960686578e-01
2.592000000000e+05 6.910858256355e+05 2.623878779268e+02 2.626764766689e+02 2.632665782102e+02 2.643318590380e+02 2.661296830594e+02 2.683949952148e+02 2.695342264933e+02 2.700358769993e+02 2.701499809482e+02 2.701499999998e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147980001885e-01 1.149592119459e-01 8.076234033967e-02 8.219427462677e-02 8.526235274269e-02 9.120225494216e-02 9.596973751870e-02 9.879859929126e-02 5.000393143547e-02 5.000393134223e-02 7.377769902491e-01 7.400341742168e-01 8.835250150962e-01 8.868395037579e-01 8.924070464040e-01 9.021230074833e-01 9.040302624813e-01 9.012014007087e-01 9.499960685645e-01 9.499960686578e-01
3.456000000000e+05 6.910858256355e+05 2.630424034900e+02 2.632617216707e+02 2.637006502560e+02 2.644879364157e+02 2.658856704599e+02 2.679228858417e+02 2.692037261481e+02 2.699277989019e+02 2.701499301046e+02 2.701499999988e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151728313564e-01 1.153061465624e-01 8.131837694065e-02 8.242452998027e-02 8.478444148059e-02 8.967251929725e-02 9.438998580839e-02 9.813741500083e-02 5.000393136886e-02 5.000393134223e-02 7.374180991220e-01 7.397012705691e-01 8.829686120937e-01 8.866068635940e-01 8.928980719542e-01 9.037295078977e-01 9.056100141916e-01 9.018625849992e-01 9.499960686311e-01 9.499960686578e-01
4.320000000000e+05 6.910858256355e+05 2.620828380835e+02 2.624281891637e+02 2.630595174418e+02 2.640254036983e+02 2.654981520538e+02 2.675172337718e+02 2.688853107371e+02 2.697944145287e+02 2.701498072468e+02 2.701499999955e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146340827569e-01 1.148201508397e-01 8.050903946100e-02 8.175839600514e-02 8.406999441069e-02 8.850507847892e-02 9.303407539671e-02 9.736300224155e-02 5.000393120794e-02 5.000393134222e-02 7.379331270077e-01 7.401669836942e-01 8.837775870576e-01 8.872787782932e-01 8.936296060087e-01 9.049499597838e-01 9.069659246033e-01 9.026369977585e-01 9.499960687921e-01 9.499960686578e-01
5.184000000000e+05 6.910858256355e+05 2.597428411340e+02 2.603013782215e+02 2.612978314401e+02 2.627254834586e+02 2.646731506920e+02 2.670223379870e+02 2.685498582677e+02 2.696392998907e+02 2.701495579052e+02 2.701499999863e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135581603355e-01 1.137896311322e-01 7.861395272774e-02 8.011543954693e-02 8.270544395501e-02 8.723099100788e-02 9.175104598590e-02 9.651492284539e-02 5.000393088137e-02 5.000393134221e-02 7.389466122347e-01 7.411404292243e-01 8.856477019656e-01 8.889202450586e-01 8.950175918955e-01 9.062755935464e-01 9.082489540141e-01 9.034850771546e-01 9.499960691186e-01 9.499960686578e-01
6.048000000000e+05 6.910858256354e+05 2.590967857383e+02 2.595791500528e+02 2.604767282499e+02 2.618617607404e+02 2.639009010527e+02 2.664792235688e+02 2.681867216201e+02 2.694628765621e+02 2.701491098162e+02 2.701499999643e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.133068177013e-01 1.134928846802e-01 7.786096618891e-02 7.917503065633e-02 8.158714078391e-02 8.598907156294e-02 9.050214797743e-02 9.561193949784e-02 5.000393029465e-02 5.000393134218e-02 7.391809962338e-01 7.414176229666e-01 8.863802648584e-01 8.898485133926e-01 8.961449963330e-01 9.075605518418e-01 9.094978520226e-01 9.043880605022e-01 9.499960697054e-01 9.499960686578e-01
6.912000000000e+05 6.910858256354e+05 2.562997318918e+02 2.570157250234e+02 2.583043527554e+02 2.601724501442e+02 2.627403916227e+02 2.657998489701e+02 2.677681820877e+02 2.692610860567e+02 2.701483730995e+02 2.701499999170e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123818742689e-01 1.125968376932e-01 7.616238906462e-02 7.759916364624e-02 8.013262661257e-02 8.462167516793e-02 8.921261347334e-02 9.465054768398e-02 5.000392933037e-02 5.000393134212e-02 7.400411267125e-01 7.422501455148e-01 8.880079331625e-01 8.913829211538e-01 8.975956750103e-01 9.089658915790e-01 9.107873865267e-01 9.053494523160e-01 9.499960706696e-01 9.499960686579e-01
7.776000000000e+05 6.910858256354e+05 2.548405591619e+02 2.555340757654e+02 2.568158047584e+02 2.587603258270e+02 2.615649499079e+02 2.650273050320e+02 2.672867385767e+02 2.690287584327e+02 2.701472404328e+02 2.701499998236e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119814339636e-01 1.121658803297e-01 7.518891975638e-02 7.648862359942e-02 7.887492830852e-02 8.326735055876e-02 8.789277001088e-02 9.362669342809e-02 5.000392784877e-02 5.000393134200e-02 7.404161233550e-01 7.426514979925e-01 8.889240621673e-01 8.924465815620e-01 8.988337355314e-01 9.103465476058e-01 9.121072299891e-01 9.063733065719e-01 9.499960721512e-01 9.499960686580e-01
