"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.910858256339e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.910858256355e+05 2.607820916403e+02 2.616439198839e+02 2.632246740872e+02 2.654857374338e+02 2.680653119580e+02 2.697364709826e+02 2.700822354355e+02 2.701451109941e+02 2.701499999696e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140005063354e-01 1.144090603499e-01 8.071047979717e-02 8.404794848752e-02 9.011296488017e-02 9.704000306460e-02 9.909218858642e-02 9.950033585460e-02 5.000393146038e-02 5.000393134223e-02 7.385321688420e-01 7.405575177014e-01 8.835767730141e-01 8.849559393714e-01 8.873612131489e-01 8.959343043491e-01 9.009078114136e-01 9.004996641454e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 6.910858256355e+05 2.608910371248e+02 2.614512292708e+02 2.625127187904e+02 2.641850645867e+02 2.665566834435e+02 2.689085721358e+02 2.697980007282e+02 2.700982455753e+02 2.701499956023e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140499076760e-01 1.143140513473e-01 7.987385633194e-02 8.198287539273e-02 8.615737351576e-02 9.312838880106e-02 9.738330643694e-02 9.919495868016e-02 5.000393145466e-02 5.000393134223e-02 7.384857032688e-01 7.406473437248e-01 8.844083507037e-01 8.870527357021e-01 8.914840945399e-01 9.000901184272e-01 9.026166935631e-01 9.008050413198e-01 9.499960685453e-01 9.499960686578e-01
2.592000000000e+05 6.910858256355e+05 2.623849312613e+02 2.626593096030e+02 2.632207972656e+02 2.642346512611e+02 2.659661927643e+02 2.682271777816e+02 2.694345255981e+02 2.700062241761e+02 2.701499730209e+02 2.701499999997e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147963855992e-01 1.149494484023e-01 8.070569739135e-02 8.205373849579e-02 8.493962885989e-02 9.063500258077e-02 9.547251581231e-02 9.861402967273e-02 5.000393142508e-02 5.000393134223e-02 7.377785305842e-01 7.400435105349e-01 8.835815447551e-01 8.869812968200e-01 8.927387695520e-01 9.027196236775e-01 9.045274841877e-01 9.013859703273e-01 9.499960685749e-01 9.499960686578e-01
3.456000000000e+05 6.910858256355e+05 2.630402629624e+02 2.632492396778e+02 2.636674820014e+02 2.644163308669e+02 2.657534969418e+02 2.677536707311e+02 2.690761768056e+02 2.698773139964e+02 2.701499029105e+02 2.701499999983e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151715502804e-01 1.152984480892e-01 8.127463228522e-02 8.231817585577e-02 8.453486969777e-02 8.917059494512e-02 9.382904344749e-02 9.783911194928e-02 5.000393133324e-02 5.000393134222e-02 7.374193301257e-01 7.397086819404e-01 8.830124809237e-01 8.867143690153e-01 8.931539645269e-01 9.042548563530e-01 9.061709565525e-01 9.021608880507e-01 9.499960686668e-01 9.499960686578e-01
4.320000000000e+05 6.910858256355e+05 2.620797329545e+02 2.624100536861e+02 2.630140268395e+02 2.639416395159e+02 2.653638348174e+02 2.673450293900e+02 2.687385107904e+02 2.697227622366e+02 2.701497367721e+02 2.701499999937e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146324469235e-01 1.148101710978e-01 8.045436710049e-02 8.164281907947e-02 8.383410140487e-02 8.804451639917e-02 9.245579387529e-02 9.696456919196e-02 5.000393111563e-02 5.000393134222e-02 7.379346827299e-01 7.401765010159e-01 8.838320262922e-01 8.873950032250e-01 8.938704432672e-01 9.054299580747e-01 9.075442061247e-01 9.030354308080e-01 9.499960688844e-01 9.499960686578e-01
5.184000000000e+05 6.910858256355e+05 2.597378005188e+02 2.602719264477e+02 2.612254218325e+02 2.626023125821e+02 2.645008630335e+02 2.668266970996e+02 2.683810267250e+02 2.695461143760e+02 2.701494053919e+02 2.701499999812e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135561335253e-01 1.137770735500e-01 7.854463075110e-02 7.997475016414e-02 8.244386115138e-02 8.676643233692e-02 9.115383481322e-02 9.603025668515e-02 5.000393068165e-02 5.000393134220e-02 7.389485051022e-01 7.411521836740e-01 8.857154086251e-01 8.890596728667e-01 8.952821671759e-01 9.067571360115e-01 9.088461651868e-01 9.039697433149e-01 9.499960693183e-01 9.499960686578e-01
6.048000000000e+05 6.910858256354e+05 2.590921384173e+02 2.595520244537e+02 2.604083181844e+02 2.617366498823e+02 2.637128250480e+02 2.662590429940e+02 2.679929626845e+02 2.693471418493e+02 2.701488189872e+02 2.701499999515e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.133050690145e-01 1.134821749218e-01 7.780133911046e-02 7.904719414937e-02 8.133448806848e-02 8.552526769169e-02 8.988694733229e-02 9.505179799864e-02 5.000392991393e-02 5.000393134216e-02 7.391826246994e-01 7.414276062254e-01 8.864379978831e-01 8.899740053855e-01 8.963983163498e-01 9.080384032088e-01 9.101130526677e-01 9.049482020014e-01 9.499960700861e-01 9.499960686578e-01
6.912000000000e+05 6.910858256354e+05 2.562929977577e+02 2.569763762241e+02 2.582070544302e+02 2.600048960522e+02 2.625052393104e+02 2.655391030462e+02 2.675414699017e+02 2.691201214213e+02 2.701478679278e+02 2.701499998883e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123799141527e-01 1.125846752284e-01 7.609460363452e-02 7.745866322006e-02 7.986548754573e-02 8.414307251966e-02 8.857132326326e-02 9.401944783617e-02 5.000392866943e-02 5.000393134208e-02 7.400429540204e-01 7.422614413191e-01 8.880721315151e-01 8.915183344960e-01 8.978599836234e-01 9.094551647288e-01 9.114286767367e-01 9.059805521638e-01 9.499960713306e-01 9.499960686579e-01
7.776000000000e+05 6.910858256354e+05 2.548337325499e+02 2.554942104278e+02 2.567156482185e+02 2.585800180789e+02 2.612995589244e+02 2.647244883335e+02 2.670210964479e+02 2.688587704165e+02 2.701464231513e+02 2.701499997649e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119796678828e-01 1.121549999676e-01 7.512794760726e-02 7.635789634472e-02 7.861561382738e-02 8.278483659893e-02 8.722781152339e-02 9.292743345967e-02 5.000392678040e-02 5.000393134192e-02 7.404177871387e-01 7.426616745463e-01 8.889810226042e-01 8.925707602477e-01 8.990869245486e-01 9.108354091301e-01 9.127721884766e-01 9.070725665403e-01 9.499960732196e-01 9.499960686581e-01
