"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.910796593766e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.910796593782e+05 2.607820915278e+02 2.616439192520e+02 2.632246727496e+02 2.654857357593e+02 2.680653106615e+02 2.697364695057e+02 2.700822291163e+02 2.701451093481e+02 2.701499999696e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140005062847e-01 1.144090600346e-01 8.071047814661e-02 8.404794551726e-02 9.011296079229e-02 9.703999492739e-02 9.909207103229e-02 9.950031929504e-02 5.000393146038e-02 5.000393134223e-02 7.385321688896e-01 7.405575179878e-01 8.835767746514e-01 8.849559424076e-01 8.873612174513e-01 8.959343130256e-01 9.009079289677e-01 9.004996807050e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 6.910796593782e+05 2.608910371360e+02 2.614512293262e+02 2.625127188104e+02 2.641850641101e+02 2.665566811341e+02 2.689085631261e+02 2.697979727157e+02 2.700982313635e+02 2.701499956000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140499076811e-01 1.143140513743e-01 7.987385635428e-02 8.198287471436e-02 8.615736845664e-02 9.312835217797e-02 9.738279158539e-02 9.919480775911e-02 5.000393145466e-02 5.000393134223e-02 7.384857032638e-01 7.406473436873e-01 8.844083506724e-01 8.870527363861e-01 8.914840997799e-01 9.000901571750e-01 9.026172084146e-01 9.008051922409e-01 9.499960685453e-01 9.499960686578e-01
2.592000000000e+05 6.910796593782e+05 2.623849311424e+02 2.626593089164e+02 2.632207955552e+02 2.642346478475e+02 2.659661854079e+02 2.682271568217e+02 2.694344741711e+02 2.700061890218e+02 2.701499730075e+02 2.701499999997e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147963855340e-01 1.149494480123e-01 8.070569528208e-02 8.205373359843e-02 8.493961457098e-02 9.063493343048e-02 9.547163306769e-02 9.861365380654e-02 5.000393142506e-02 5.000393134223e-02 7.377785306463e-01 7.400435108960e-01 8.835815468509e-01 8.869813017597e-01 8.927387842381e-01 9.027196963445e-01 9.045283669323e-01 9.013863461935e-01 9.499960685749e-01 9.499960686578e-01
3.456000000000e+05 6.910796593782e+05 2.630402627479e+02 2.632492384267e+02 2.636674787657e+02 2.644163241842e+02 2.657534831085e+02 2.677536364102e+02 2.690761048957e+02 2.698772539978e+02 2.701499028650e+02 2.701499999983e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151715501521e-01 1.152984473182e-01 8.127462802817e-02 8.231816598730e-02 8.453484390537e-02 8.917049538714e-02 9.382789948122e-02 9.783847613974e-02 5.000393133318e-02 5.000393134222e-02 7.374193302489e-01 7.397086826705e-01 8.830124851834e-01 8.867143789879e-01 8.931539909654e-01 9.042549604645e-01 9.061721005188e-01 9.021615238603e-01 9.499960686668e-01 9.499960686578e-01
4.320000000000e+05 6.910796593782e+05 2.620797326520e+02 2.624100519150e+02 2.630140221884e+02 2.639416296802e+02 2.653638143522e+02 2.673449818447e+02 2.687384204522e+02 2.697226767580e+02 2.701497366553e+02 2.701499999937e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146324467641e-01 1.148101701244e-01 8.045436152827e-02 8.164280559508e-02 8.383406589873e-02 8.804439189089e-02 9.245446516249e-02 9.696368066853e-02 5.000393111548e-02 5.000393134222e-02 7.379346828813e-01 7.401765019321e-01 8.838320318306e-01 8.873950167801e-01 8.938704795026e-01 9.054300877178e-01 9.075455348375e-01 9.030363193315e-01 9.499960688845e-01 9.499960686578e-01
5.184000000000e+05 6.910796593782e+05 2.597378001102e+02 2.602719240537e+02 2.612254155242e+02 2.626022992106e+02 2.645008354681e+02 2.668266359454e+02 2.683809171940e+02 2.695460031894e+02 2.701494051421e+02 2.701499999812e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135561333610e-01 1.137770725309e-01 7.854462473767e-02 7.997473501640e-02 8.244381988557e-02 8.676629028336e-02 9.115235719105e-02 9.602913371382e-02 5.000393068133e-02 5.000393134220e-02 7.389485052555e-01 7.411521846158e-01 8.857154144876e-01 8.890596878700e-01 8.952822088857e-01 9.067572831012e-01 9.088476428089e-01 9.039708662862e-01 9.499960693187e-01 9.499960686578e-01
6.048000000000e+05 6.910796593781e+05 2.590921378483e+02 2.595520211330e+02 2.604083095693e+02 2.617366321028e+02 2.637127895612e+02 2.662589675430e+02 2.679928329993e+02 2.693470044782e+02 2.701488185175e+02 2.701499999514e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.133050688005e-01 1.134821736126e-01 7.780133162987e-02 7.904717612281e-02 8.133444106571e-02 8.552511232960e-02 8.988535046969e-02 9.505046118825e-02 5.000392991331e-02 5.000393134216e-02 7.391826248986e-01 7.414276074344e-01 8.864380051176e-01 8.899740230768e-01 8.963983634429e-01 9.080385630806e-01 9.101146495303e-01 9.049495388117e-01 9.499960700867e-01 9.499960686578e-01
6.912000000000e+05 6.910796593781e+05 2.562929970675e+02 2.569763721889e+02 2.582070438932e+02 2.600048741840e+02 2.625051957650e+02 2.655390122739e+02 2.675413180069e+02 2.691199564877e+02 2.701478671245e+02 2.701499998882e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123799139518e-01 1.125846739833e-01 7.609459632741e-02 7.745864504773e-02 7.986543884699e-02 8.414290992450e-02 8.856963054280e-02 9.401791487392e-02 5.000392866838e-02 5.000393134208e-02 7.400429542075e-01 7.422614424642e-01 8.880721384267e-01 8.915183520028e-01 8.978600317588e-01 9.094553307037e-01 9.114303694572e-01 9.059820851261e-01 9.499960713316e-01 9.499960686579e-01
7.776000000000e+05 6.910796593781e+05 2.548337315740e+02 2.554942047465e+02 2.567156336721e+02 2.585799891135e+02 2.612995043459e+02 2.647243800065e+02 2.670209202370e+02 2.688585760902e+02 2.701464218742e+02 2.701499997648e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119796676304e-01 1.121549984195e-01 7.512793879008e-02 7.635787552787e-02 7.861556134101e-02 8.278466835910e-02 8.722604972864e-02 9.292572299158e-02 5.000392677873e-02 5.000393134192e-02 7.404177873764e-01 7.426616759832e-01 8.889810308320e-01 8.925707800119e-01 8.990869757362e-01 9.108355792867e-01 9.127739502714e-01 9.070742770084e-01 9.499960732213e-01 9.499960686581e-01
