"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.910858256339e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.910858256355e+05 2.607820916404e+02 2.616439198841e+02 2.632246740875e+02 2.654857374341e+02 2.680653119581e+02 2.697364709826e+02 2.700822354354e+02 2.701451109941e+02 2.701499999696e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140005063354e-01 1.144090603500e-01 8.071047979754e-02 8.404794848805e-02 9.011296488052e-02 9.704000306458e-02 9.909218858599e-02 9.950033585464e-02 5.000393146038e-02 5.000393134223e-02 7.385321688424e-01 7.405575177020e-01 8.835767730144e-01 8.849559393711e-01 8.873612131483e-01 8.959343043489e-01 9.009078114140e-01 9.004996641454e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 6.910858256355e+05 2.608910371248e+02 2.614512292708e+02 2.625127187904e+02 2.641850645865e+02 2.665566834432e+02 2.689085721356e+02 2.697980007279e+02 2.700982455753e+02 2.701499956023e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140499076760e-01 1.143140513473e-01 7.987385633188e-02 8.198287539244e-02 8.615737351497e-02 9.312838880035e-02 9.738330643506e-02 9.919495868036e-02 5.000393145466e-02 5.000393134223e-02 7.384857032691e-01 7.406473437254e-01 8.844083507046e-01 8.870527357028e-01 8.914840945406e-01 9.000901184277e-01 9.026166935649e-01 9.008050413196e-01 9.499960685453e-01 9.499960686578e-01
2.592000000000e+05 6.910858256355e+05 2.623849312613e+02 2.626593096032e+02 2.632207972659e+02 2.642346512616e+02 2.659661927648e+02 2.682271777819e+02 2.694345255976e+02 2.700062241762e+02 2.701499730209e+02 2.701499999997e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.147963855992e-01 1.149494484024e-01 8.070569739175e-02 8.205373849657e-02 8.493962886094e-02 9.063500258165e-02 9.547251581035e-02 9.861402967290e-02 5.000393142508e-02 5.000393134223e-02 7.377785305846e-01 7.400435105353e-01 8.835815447555e-01 8.869812968197e-01 8.927387695509e-01 9.027196236764e-01 9.045274841896e-01 9.013859703271e-01 9.499960685749e-01 9.499960686578e-01
3.456000000000e+05 6.910858256355e+05 2.630402629624e+02 2.632492396778e+02 2.636674820016e+02 2.644163308672e+02 2.657534969423e+02 2.677536707315e+02 2.690761768052e+02 2.698773139964e+02 2.701499029105e+02 2.701499999983e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151715502804e-01 1.152984480892e-01 8.127463228539e-02 8.231817585620e-02 8.453486969857e-02 8.917059494626e-02 9.382904344581e-02 9.783911194930e-02 5.000393133324e-02 5.000393134222e-02 7.374193301261e-01 7.397086819408e-01 8.830124809244e-01 8.867143690154e-01 8.931539645262e-01 9.042548563519e-01 9.061709565542e-01 9.021608880507e-01 9.499960686668e-01 9.499960686578e-01
4.320000000000e+05 6.910858256355e+05 2.620797329546e+02 2.624100536864e+02 2.630140268400e+02 2.639416395165e+02 2.653638348179e+02 2.673450293903e+02 2.687385107900e+02 2.697227622366e+02 2.701497367721e+02 2.701499999937e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146324469235e-01 1.148101710980e-01 8.045436710110e-02 8.164281908026e-02 8.383410140558e-02 8.804451639999e-02 9.245579387377e-02 9.696456919181e-02 5.000393111563e-02 5.000393134222e-02 7.379346827302e-01 7.401765010161e-01 8.838320262926e-01 8.873950032248e-01 8.938704432666e-01 9.054299580740e-01 9.075442061262e-01 9.030354308082e-01 9.499960688844e-01 9.499960686578e-01
5.184000000000e+05 6.910858256355e+05 2.597378005189e+02 2.602719264481e+02 2.612254218331e+02 2.626023125828e+02 2.645008630338e+02 2.668266970998e+02 2.683810267246e+02 2.695461143759e+02 2.701494053919e+02 2.701499999812e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135561335253e-01 1.137770735501e-01 7.854463075175e-02 7.997475016495e-02 8.244386115197e-02 8.676643233744e-02 9.115383481183e-02 9.603025668482e-02 5.000393068165e-02 5.000393134220e-02 7.389485051025e-01 7.411521836742e-01 8.857154086255e-01 8.890596728665e-01 8.952821671755e-01 9.067571360113e-01 9.088461651882e-01 9.039697433152e-01 9.499960693183e-01 9.499960686578e-01
6.048000000000e+05 6.910858256354e+05 2.590921384173e+02 2.595520244538e+02 2.604083181847e+02 2.617366498829e+02 2.637128250486e+02 2.662590429943e+02 2.679929626841e+02 2.693471418492e+02 2.701488189872e+02 2.701499999515e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.133050690145e-01 1.134821749218e-01 7.780133911077e-02 7.904719415006e-02 8.133448806936e-02 8.552526769242e-02 8.988694733121e-02 9.505179799817e-02 5.000392991393e-02 5.000393134216e-02 7.391826246997e-01 7.414276062256e-01 8.864379978838e-01 8.899740053855e-01 8.963983163492e-01 9.080384032086e-01 9.101130526688e-01 9.049482020018e-01 9.499960700861e-01 9.499960686578e-01
6.912000000000e+05 6.910858256354e+05 2.562929977577e+02 2.569763762242e+02 2.582070544305e+02 2.600048960527e+02 2.625052393109e+02 2.655391030466e+02 2.675414699015e+02 2.691201214211e+02 2.701478679278e+02 2.701499998883e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123799141527e-01 1.125846752285e-01 7.609460363472e-02 7.745866322044e-02 7.986548754631e-02 8.414307252040e-02 8.857132326253e-02 9.401944783565e-02 5.000392866943e-02 5.000393134208e-02 7.400429540207e-01 7.422614413193e-01 8.880721315159e-01 8.915183344963e-01 8.978599836231e-01 9.094551647287e-01 9.114286767375e-01 9.059805521644e-01 9.499960713306e-01 9.499960686579e-01
7.776000000000e+05 6.910858256354e+05 2.548337325497e+02 2.554942104267e+02 2.567156482167e+02 2.585800180779e+02 2.612995589254e+02 2.647244883348e+02 2.670210964480e+02 2.688587704164e+02 2.701464231513e+02 2.701499997649e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119796678827e-01 1.121549999673e-01 7.512794760618e-02 7.635789634398e-02 7.861561382831e-02 8.278483660100e-02 8.722781152375e-02 9.292743345940e-02 5.000392678040e-02 5.000393134192e-02 7.404177871391e-01 7.426616745468e-01 8.889810226063e-01 8.925707602492e-01 8.990869245480e-01 9.108354091288e-01 9.127721884763e-01 9.070725665406e-01 9.499960732196e-01 9.499960686581e-01
