"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.907011546941e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.907011546951e+05 2.608226658975e+02 2.618808311049e+02 2.634739053550e+02 2.656711853417e+02 2.681583655188e+02 2.697567827333e+02 2.700856818936e+02 2.701453647940e+02 2.701499999712e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140188328662e-01 1.145289878078e-01 8.102354946399e-02 8.438258622727e-02 9.041017736119e-02 9.715238569468e-02 9.911425920722e-02 9.950200775732e-02 5.000393146039e-02 5.000393134223e-02 7.385149378067e-01 7.404439038356e-01 8.832639643854e-01 8.846134793604e-01 8.870490177110e-01 8.958144568347e-01 9.008857407928e-01 9.004979922427e-01 9.499960685396e-01 9.499960686578e-01
1.728000000000e+05 6.907011546951e+05 2.609195997241e+02 2.616177180567e+02 2.627001708542e+02 2.643482700128e+02 2.666698597379e+02 2.689538615198e+02 2.698117740773e+02 2.701003492746e+02 2.701499957860e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140629617861e-01 1.143960100735e-01 8.008633657941e-02 8.221821512102e-02 8.640832651274e-02 9.331387326380e-02 9.746137923339e-02 9.920852540296e-02 5.000393145490e-02 5.000393134223e-02 7.384734202844e-01 7.405698654662e-01 8.841977708459e-01 8.868153340256e-01 8.912245655445e-01 8.998938271576e-01 9.025386207666e-01 9.007914745970e-01 9.499960685451e-01 9.499960686578e-01
2.592000000000e+05 6.907011546951e+05 2.624011835679e+02 2.627534036843e+02 2.633360207748e+02 2.643499497718e+02 2.660651789142e+02 2.682833107352e+02 2.694581347453e+02 2.700113791223e+02 2.701499740795e+02 2.701499999997e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.148052985995e-01 1.150032410261e-01 8.084896618551e-02 8.222066910535e-02 8.513377709896e-02 9.082168796682e-02 9.558855590038e-02 9.864594040378e-02 5.000393142647e-02 5.000393134223e-02 7.377700287515e-01 7.399920497103e-01 8.834385077555e-01 8.868128562948e-01 8.925392780299e-01 9.025233869197e-01 9.044114440996e-01 9.013540595962e-01 9.499960685735e-01 9.499960686578e-01
3.456000000000e+05 6.907011546951e+05 2.630522503038e+02 2.633188552655e+02 2.637528449514e+02 2.645043368948e+02 2.658364067200e+02 2.678113616177e+02 2.691065304077e+02 2.698860470207e+02 2.701499065152e+02 2.701499999983e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.151787294521e-01 1.153415597060e-01 8.138765351090e-02 8.244906306842e-02 8.469068186638e-02 8.933920995359e-02 9.396028281671e-02 9.789025059713e-02 5.000393133796e-02 5.000393134222e-02 7.374124330291e-01 7.396671639441e-01 8.828991062703e-01 8.865820529175e-01 8.929942495069e-01 9.040784757524e-01 9.060397171833e-01 9.021097494029e-01 9.499960686620e-01 9.499960686578e-01
4.320000000000e+05 6.907011546951e+05 2.620956293391e+02 2.625032641651e+02 2.631184840549e+02 2.640372308622e+02 2.654463166237e+02 2.674039832393e+02 2.687735249318e+02 2.697351002840e+02 2.701497460545e+02 2.701499999939e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.146408282151e-01 1.148617176049e-01 8.058042546238e-02 8.177483504537e-02 8.397827565736e-02 8.820000920474e-02 9.259125124993e-02 9.703234108889e-02 5.000393112779e-02 5.000393134222e-02 7.379267132447e-01 7.401273231317e-01 8.837064646774e-01 8.872622383604e-01 8.937232895021e-01 9.052680015691e-01 9.074087487501e-01 9.029676589111e-01 9.499960688722e-01 9.499960686578e-01
5.184000000000e+05 6.907011546951e+05 2.597623145703e+02 2.604159430819e+02 2.613802191998e+02 2.627330428097e+02 2.646014480029e+02 2.668925732312e+02 2.684210929803e+02 2.695620754790e+02 2.701494253679e+02 2.701499999818e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135660006283e-01 1.138388675033e-01 7.869355601517e-02 8.012415011957e-02 8.259567973407e-02 8.692058234522e-02 9.129285347565e-02 9.611201840423e-02 5.000393070781e-02 5.000393134220e-02 7.389392914645e-01 7.410943195550e-01 8.855698889097e-01 8.889116063804e-01 8.951286737253e-01 9.065974637890e-01 9.087071465244e-01 9.038879815958e-01 9.499960692922e-01 9.499960686578e-01
6.048000000000e+05 6.907011546950e+05 2.591151093302e+02 2.596862744431e+02 2.605589603682e+02 2.618717192513e+02 2.638222771520e+02 2.663323613640e+02 2.680385864209e+02 2.693668403307e+02 2.701488568905e+02 2.701499999531e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.133137204352e-01 1.135354765311e-01 7.793324371955e-02 7.918529173239e-02 8.148065104653e-02 8.567737565016e-02 9.002885924063e-02 9.514543782909e-02 5.000392996354e-02 5.000393134217e-02 7.391745696540e-01 7.413779069682e-01 8.863102276931e-01 8.898384330753e-01 8.962518324859e-01 9.078818164891e-01 9.099711407594e-01 9.048545621709e-01 9.499960700365e-01 9.499960686578e-01
6.912000000000e+05 6.907011546950e+05 2.563252375164e+02 2.571654522417e+02 2.584115512878e+02 2.601787413705e+02 2.626384090255e+02 2.656244740138e+02 2.675942642421e+02 2.691439327789e+02 2.701479334679e+02 2.701499998920e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.123893083161e-01 1.126435041504e-01 7.623780229146e-02 7.760448883630e-02 8.001574041005e-02 8.429720783809e-02 8.871737717545e-02 9.412386295195e-02 5.000392875517e-02 5.000393134209e-02 7.400341987469e-01 7.422068131943e-01 8.879364401964e-01 8.913777840886e-01 8.977114083768e-01 9.092977498447e-01 9.112826228246e-01 9.058761370480e-01 9.499960712448e-01 9.499960686579e-01
7.776000000000e+05 6.907011546950e+05 2.548666647082e+02 2.556867770039e+02 2.569295132367e+02 2.587687554241e+02 2.614494209107e+02 2.648225777664e+02 2.670822845095e+02 2.688872399372e+02 2.701465287371e+02 2.701499997725e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.119881962520e-01 1.122078823339e-01 7.525878697014e-02 7.649479180739e-02 7.876102738559e-02 8.293843444005e-02 8.737735239564e-02 9.304181472191e-02 5.000392691839e-02 5.000393134193e-02 7.404097556418e-01 7.426122396218e-01 8.888587306944e-01 8.924407168491e-01 8.989450372264e-01 9.106799743078e-01 9.126226476044e-01 9.069581852781e-01 9.499960730816e-01 9.499960686581e-01
