"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.908706854797e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.908706854821e+05 2.608913190779e+02 2.622791734736e+02 2.636258884033e+02 2.654329464505e+02 2.676765319633e+02 2.694692547058e+02 2.699925419113e+02 2.701320015574e+02 2.701499989614e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055934209386e-01 1.058676408285e-01 8.122007845768e-02 8.395475853008e-02 8.894904539924e-02 9.564365649653e-02 9.852973745616e-02 9.941424564272e-02 5.000393145906e-02 5.000393134223e-02 5.540626266004e-01 5.569635635134e-01 8.830671671442e-01 8.850511838203e-01 8.885808710523e-01 8.974214728062e-01 9.014702625438e-01 9.005857543573e-01 9.499960685409e-01 9.499960686578e-01
1.728000000000e+05 6.908706854821e+05 2.609682014790e+02 2.619006949657e+02 2.628283829382e+02 2.641785176998e+02 2.661726478411e+02 2.684272484847e+02 2.695151217988e+02 2.700153187845e+02 2.701499214061e+02 2.701499999952e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.056074491011e-01 1.057881623001e-01 8.023477795139e-02 8.197356051943e-02 8.534891704988e-02 9.131449632847e-02 9.587298288055e-02 9.867037766969e-02 5.000393135747e-02 5.000393134222e-02 5.540505817573e-01 5.570322120251e-01 8.840504030542e-01 8.870621233365e-01 8.923179687754e-01 9.020048372184e-01 9.041270171195e-01 9.013296223303e-01 9.499960686425e-01 9.499960686578e-01
2.592000000000e+05 6.908706854821e+05 2.624287769938e+02 2.629155983525e+02 2.634246859070e+02 2.642515522330e+02 2.656746621214e+02 2.677002807593e+02 2.690077894358e+02 2.698265162688e+02 2.701495890516e+02 2.701499999619e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.059001381817e-01 1.060104603948e-01 8.096083108067e-02 8.207801782562e-02 8.438897094361e-02 8.901678563676e-02 9.353831469747e-02 9.754539514847e-02 5.000393092216e-02 5.000393134218e-02 5.537978833287e-01 5.568394302792e-01 8.833266988205e-01 8.869568112237e-01 8.933033853759e-01 9.044156560375e-01 9.064616853025e-01 9.024546048515e-01 9.499960690778e-01 9.499960686578e-01
3.456000000000e+05 6.908706854821e+05 2.630729829118e+02 2.634402729987e+02 2.638200061861e+02 2.644343269912e+02 2.655272060875e+02 2.672542391262e+02 2.685760344291e+02 2.696007187848e+02 2.701487096492e+02 2.701499998288e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060477165111e-01 1.061379327844e-01 8.147759394883e-02 8.234478965731e-02 8.412178534490e-02 8.780933352979e-02 9.184639159550e-02 9.631209816508e-02 5.000392977082e-02 5.000393134200e-02 5.536690295564e-01 5.567276919111e-01 8.828088090166e-01 8.866874750775e-01 8.935766820883e-01 9.056747223051e-01 9.081536084045e-01 9.036879018349e-01 9.499960702292e-01 9.499960686580e-01
4.320000000000e+05 6.908706854821e+05 2.621235421392e+02 2.626647347731e+02 2.631924144273e+02 2.639487312491e+02 2.651307183905e+02 2.668494426847e+02 2.681939723859e+02 2.693602430139e+02 2.701469059324e+02 2.701499994317e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058344948352e-01 1.059527109606e-01 8.067076436057e-02 8.165254688643e-02 8.343795172938e-02 8.681940149780e-02 9.052582121169e-02 9.511400053343e-02 5.000392741143e-02 5.000393134148e-02 5.538548491173e-01 5.568897517564e-01 8.836163937068e-01 8.873852250251e-01 8.942740785941e-01 9.067022821845e-01 9.094741787883e-01 9.048859994666e-01 9.499960725886e-01 9.499960686585e-01
5.184000000000e+05 6.908706854846e+05 2.598048764279e+02 2.606612476011e+02 2.614814150196e+02 2.625977819641e+02 2.641971365663e+02 2.662658334580e+02 2.677719017074e+02 2.691011652009e+02 2.701437511850e+02 2.701499984541e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.054075670710e-01 1.055521711370e-01 7.879241165901e-02 7.996961923297e-02 8.200007640326e-02 8.553925981088e-02 8.922344951624e-02 9.393693885255e-02 5.000392329161e-02 5.000393134020e-02 5.542220450652e-01 5.572346970423e-01 8.854731613359e-01 8.890647546213e-01 8.957298406435e-01 9.080240043941e-01 9.107765504838e-01 9.060630611474e-01 9.499960767084e-01 9.499960686598e-01
6.048000000000e+05 6.908706854846e+05 2.591543312813e+02 2.599138841506e+02 2.606621968620e+02 2.617413218956e+02 2.633913343596e+02 2.656394111963e+02 2.673099899615e+02 2.688182063322e+02 2.701387969470e+02 2.701499963539e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053061874015e-01 1.054252377179e-01 7.802493003365e-02 7.905193246043e-02 8.091858540663e-02 8.432442881075e-02 8.795298040784e-02 9.276628392172e-02 5.000391683924e-02 5.000393133745e-02 5.543091705621e-01 5.573431957835e-01 8.862212967302e-01 8.899693574713e-01 8.968141302886e-01 9.092699340182e-01 9.120470195922e-01 9.072337160783e-01 9.499960831608e-01 9.499960686625e-01
6.912000000000e+05 6.908706854846e+05 2.563799856763e+02 2.574813841592e+02 2.585424771690e+02 2.599998987207e+02 2.621041149262e+02 2.648130155189e+02 2.667552499138e+02 2.684965888123e+02 2.701315831190e+02 2.701499922816e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049386471341e-01 1.050734916808e-01 7.633096545027e-02 7.745451157429e-02 7.942842775541e-02 8.292334949066e-02 8.660160266585e-02 9.155929741558e-02 5.000390748188e-02 5.000393133212e-02 5.546318170367e-01 5.576466267922e-01 8.878480183053e-01 8.915223326210e-01 8.982908821834e-01 9.106952473433e-01 9.133983973342e-01 9.084407025844e-01 9.499960925181e-01 9.499960686679e-01
7.776000000000e+05 6.908706854846e+05 2.549217161348e+02 2.560058716324e+02 2.570693217815e+02 2.585826996503e+02 2.608585548354e+02 2.638975350555e+02 2.661171215045e+02 2.681271758589e+02 2.701216336773e+02 2.701499849898e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.047782823406e-01 1.048956671169e-01 7.534564776162e-02 7.635982378584e-02 7.820230104140e-02 8.158255579467e-02 8.523701369131e-02 9.030950863960e-02 5.000389464918e-02 5.000393132256e-02 5.547804338604e-01 5.578053929109e-01 8.887774181052e-01 8.925689314009e-01 8.994889149765e-01 9.120457693205e-01 9.147629863087e-01 9.096904913604e-01 9.499961053508e-01 9.499960686774e-01
