"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.908706854797e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.908706854821e+05 2.608913190779e+02 2.622791734735e+02 2.636258884031e+02 2.654329464502e+02 2.676765319625e+02 2.694692547025e+02 2.699925418961e+02 2.701320014220e+02 2.701499990575e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055934209386e-01 1.058676408285e-01 8.122007845745e-02 8.395475852951e-02 8.894904539704e-02 9.564365648032e-02 9.852973736312e-02 9.941424475663e-02 5.000393145919e-02 5.000393134223e-02 5.540626266004e-01 5.569635635135e-01 8.830671671445e-01 8.850511838209e-01 8.885808710546e-01 8.974214728234e-01 9.014702626369e-01 9.005857552434e-01 9.499960685408e-01 9.499960686578e-01
1.728000000000e+05 6.908706854821e+05 2.609682014749e+02 2.619006949415e+02 2.628283828932e+02 2.641785176187e+02 2.661726476748e+02 2.684272480135e+02 2.695151204287e+02 2.700153122125e+02 2.701499276246e+02 2.701499999961e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.056074491003e-01 1.057881622952e-01 8.023477789878e-02 8.197356040407e-02 8.534891671341e-02 9.131449468083e-02 9.587297596724e-02 9.867033686862e-02 5.000393136562e-02 5.000393134222e-02 5.540505817579e-01 5.570322120294e-01 8.840504031065e-01 8.870621234528e-01 8.923179691218e-01 9.020048389534e-01 9.041270240328e-01 9.013296631314e-01 9.499960686344e-01 9.499960686578e-01
2.592000000000e+05 6.908706854821e+05 2.624287769655e+02 2.629155981868e+02 2.634246855996e+02 2.642515516844e+02 2.656746610261e+02 2.677002778707e+02 2.690077818584e+02 2.698264856068e+02 2.701496198961e+02 2.701499999692e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.059001381755e-01 1.060104603560e-01 8.096083069044e-02 8.207801703656e-02 8.438896893159e-02 8.901677737219e-02 9.353828285738e-02 9.754521975949e-02 5.000393096256e-02 5.000393134219e-02 5.537978833341e-01 5.568394303131e-01 8.833266992108e-01 8.869568120196e-01 8.933033874357e-01 9.044156646752e-01 9.064617171426e-01 9.024547802405e-01 9.499960690374e-01 9.499960686578e-01
3.456000000000e+05 6.908706854821e+05 2.630729828044e+02 2.634402723708e+02 2.638200050234e+02 2.644343249276e+02 2.655272020416e+02 2.672542290039e+02 2.685760097921e+02 2.696006311154e+02 2.701488017840e+02 2.701499998610e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060477164854e-01 1.061379326261e-01 8.147759238398e-02 8.234478660103e-02 8.412177811341e-02 8.780930759252e-02 9.184630149673e-02 9.631164079846e-02 5.000392989141e-02 5.000393134204e-02 5.536690295790e-01 5.567276920504e-01 8.828088105882e-01 8.866874781663e-01 8.935766894792e-01 9.056747492860e-01 9.081536985033e-01 9.036883592015e-01 9.499960701086e-01 9.499960686580e-01
4.320000000000e+05 6.908706854821e+05 2.621235418377e+02 2.626647330110e+02 2.631924111679e+02 2.639487254979e+02 2.651307073181e+02 2.668494162684e+02 2.681939120182e+02 2.693600496645e+02 2.701471162396e+02 2.701499995371e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058344947716e-01 1.059527105618e-01 8.067076035700e-02 8.165253899325e-02 8.343793329829e-02 8.681933982513e-02 9.052562391518e-02 9.511308034811e-02 5.000392768638e-02 5.000393134162e-02 5.538548491723e-01 5.568897521033e-01 8.836163977001e-01 8.873852329594e-01 8.942740973491e-01 9.067023460594e-01 9.094743760848e-01 9.048869196519e-01 9.499960723136e-01 9.499960686584e-01
5.184000000000e+05 6.908706854846e+05 2.598048757304e+02 2.606612435252e+02 2.614814074856e+02 2.625977687385e+02 2.641971115136e+02 2.662657761819e+02 2.677717779057e+02 2.691008028346e+02 2.701441557115e+02 2.701499987363e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.054075669586e-01 1.055521704157e-01 7.879240425435e-02 7.996960425949e-02 8.200004067259e-02 8.553914170937e-02 8.922308868684e-02 9.393536688694e-02 5.000392381940e-02 5.000393134057e-02 5.542220451617e-01 5.572346976592e-01 8.854731685853e-01 8.890647694499e-01 8.957298766256e-01 9.080241259328e-01 9.107769113132e-01 9.060646331131e-01 9.499960761806e-01 9.499960686594e-01
6.048000000000e+05 6.908706854846e+05 2.591543298879e+02 2.599138760092e+02 2.606621818242e+02 2.617412955992e+02 2.633912851611e+02 2.656393025086e+02 2.673097657472e+02 2.688175983636e+02 2.701394881799e+02 2.701499970092e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053061871915e-01 1.054252363905e-01 7.802491660067e-02 7.905190578325e-02 8.091852323791e-02 8.432423046806e-02 8.795239819231e-02 9.276388472844e-02 5.000391773822e-02 5.000393133831e-02 5.543091707430e-01 5.573431969184e-01 8.862213097668e-01 8.899693836428e-01 8.968141923310e-01 9.092701367120e-01 9.120476018077e-01 9.072361152716e-01 9.499960822618e-01 9.499960686617e-01
6.912000000000e+05 6.908706854846e+05 2.563799831632e+02 2.574813694715e+02 2.585424500414e+02 2.599998514360e+02 2.621040274353e+02 2.648128279858e+02 2.667548783985e+02 2.684956453109e+02 2.701326673456e+02 2.701499936477e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049386468409e-01 1.050734897937e-01 7.633094602500e-02 7.745447230208e-02 7.942833486996e-02 8.292305389020e-02 8.660075319414e-02 9.155592970670e-02 5.000390888542e-02 5.000393133391e-02 5.546318173023e-01 5.576466284484e-01 8.878480367539e-01 8.915223704361e-01 8.982909735528e-01 9.106955466131e-01 9.133992468059e-01 9.084440702933e-01 9.499960911146e-01 9.499960686661e-01
7.776000000000e+05 6.908706854846e+05 2.549217119618e+02 2.560058472465e+02 2.570692767556e+02 2.585826213703e+02 2.608584112329e+02 2.638972346228e+02 2.661165459837e+02 2.681257926659e+02 2.701232294362e+02 2.701499876068e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.047782819080e-01 1.048956643588e-01 7.534561961581e-02 7.635976751318e-02 7.820216986877e-02 8.158214667453e-02 8.523586208205e-02 9.030507285337e-02 5.000389670170e-02 5.000393132599e-02 5.547804342722e-01 5.578053954251e-01 8.887774444699e-01 8.925689848084e-01 8.994890422453e-01 9.120461791935e-01 9.147641379179e-01 9.096949271466e-01 9.499961032983e-01 9.499960686740e-01
8.640000000000e+05 6.908706854846e+05 2.529748373235e+02 2.541728483784e+02 2.553460846685e+02 2.570106169218e+02 2.595169755618e+02 2.628966179397e+02 2.654009958548e+02 2.677034611976e+02 2.701106839513e+02 2.701499774205e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.045905739018e-01 1.047028408017e-01 7.434376626658e-02 7.530904564424e-02 7.706350685251e-02 8.031484006236e-02 8.389862033424e-02 8.902569074818e-02 5.000388062345e-02 5.000393131265e-02 5.549669146313e-01 5.579869524230e-01 8.897091849160e-01 8.935588846455e-01 9.005860537424e-01 9.133086989397e-01 9.161013796658e-01 9.109743092518e-01 9.499961193765e-01 9.499960686874e-01
9.504000000000e+05 6.908706854845e+05 2.544339076429e+02 2.551475775229e+02 2.558853863190e+02 2.570562716690e+02 2.590692301854e+02 2.621870985950e+02 2.647456234489e+02 2.672561223446e+02 2.700945204312e+02 2.701499611126e+02 2.701499999997e+02 2.701500000000e+02 2.701500000000e+02 1.047286519333e-01 1.048019061984e-01 7.464200694792e-02 7.533749476057e-02 7.671804942862e-02 7.951699676257e-02 8.281755121340e-02 8.781395671960e-02 5.000386010301e-02 5.000393129129e-02 5.548281520431e-01 5.578920858357e-01 8.894332131912e-01 8.935322774713e-01 9.009156818530e-01 9.140956752506e-01 9.171824487866e-01 9.121860432804e-01 9.499961398970e-01 9.499960687087e-01
1.036800000000e+06 6.908706854845e+05 2.560959318807e+02 2.565179812773e+02 2.569700532278e+02 2.577470416819e+02 2.592306941526e+02 2.618450857851e+02 2.642494671507e+02 2.668272430047e+02 2.700742481523e+02 2.701499361050e+02 2.701499999994e+02 2.701500000000e+02 2.701500000000e+02 1.049058913482e-01 1.049548454404e-01 7.528386437275e-02 7.578237204225e-02 7.684081746330e-02 7.915787755571e-02 8.207485363066e-02 8.676749411254e-02 5.000383467119e-02 5.000393125853e-02 5.546615979216e-01 5.577518689828e-01 8.888352657071e-01 8.931147828750e-01 9.007987152156e-01 9.144477521503e-01 9.179251463693e-01 9.132325058875e-01 9.499961653288e-01 9.499960687415e-01
1.123200000000e+06 6.908706854845e+05 2.573418967342e+02 2.576290585976e+02 2.579405152360e+02 2.584946174603e+02 2.596133857224e+02 2.617602773327e+02 2.639232303883e+02 2.664497811244e+02 2.700494600343e+02 2.701498991310e+02 2.701499999989e+02 2.701500000000e+02 2.701500000000e+02 1.050556821998e-01 1.050925925592e-01 7.591206388361e-02 7.629677353301e-02 7.713999158936e-02 7.907118492641e-02 8.161745283535e-02 8.592560952137e-02 5.000380402619e-02 5.000393121010e-02 5.545271980352e-01 5.576298875455e-01 8.882447124618e-01 8.926287451968e-01 9.005128673000e-01 9.145325362234e-01 9.183825471646e-01 9.140743904786e-01 9.499961959738e-01 9.499960687899e-01
