"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.908706854797e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.908706854821e+05 2.608913190779e+02 2.622791734736e+02 2.636258884033e+02 2.654329464506e+02 2.676765319635e+02 2.694692547066e+02 2.699925419149e+02 2.701320015898e+02 2.701499989376e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055934209386e-01 1.058676408285e-01 8.122007845773e-02 8.395475853021e-02 8.894904539976e-02 9.564365650041e-02 9.852973747847e-02 9.941424585526e-02 5.000393145903e-02 5.000393134223e-02 5.540626266004e-01 5.569635635134e-01 8.830671671442e-01 8.850511838202e-01 8.885808710518e-01 8.974214728020e-01 9.014702625215e-01 9.005857541447e-01 9.499960685410e-01 9.499960686578e-01
1.728000000000e+05 6.908706854821e+05 2.609682014800e+02 2.619006949715e+02 2.628283829490e+02 2.641785177192e+02 2.661726478809e+02 2.684272485975e+02 2.695151221267e+02 2.700153203573e+02 2.701499198801e+02 2.701499999950e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.056074491012e-01 1.057881623013e-01 8.023477796398e-02 8.197356054704e-02 8.534891713040e-02 9.131449672278e-02 9.587298453505e-02 9.867038743408e-02 5.000393135547e-02 5.000393134222e-02 5.540505817571e-01 5.570322120241e-01 8.840504030417e-01 8.870621233087e-01 8.923179686926e-01 9.020048368032e-01 9.041270154650e-01 9.013296125659e-01 9.499960686445e-01 9.499960686578e-01
2.592000000000e+05 6.908706854821e+05 2.624287770006e+02 2.629155983921e+02 2.634246859804e+02 2.642515523641e+02 2.656746623833e+02 2.677002814501e+02 2.690077912480e+02 2.698265236013e+02 2.701495815110e+02 2.701499999600e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.059001381832e-01 1.060104604041e-01 8.096083117392e-02 8.207801801421e-02 8.438897142469e-02 8.901678761331e-02 9.353832231242e-02 9.754543709119e-02 5.000393091229e-02 5.000393134217e-02 5.537978833274e-01 5.568394302711e-01 8.833266987273e-01 8.869568110335e-01 8.933033848835e-01 9.044156539717e-01 9.064616776876e-01 9.024545629088e-01 9.499960690877e-01 9.499960686578e-01
3.456000000000e+05 6.908706854821e+05 2.630729829375e+02 2.634402731487e+02 2.638200064640e+02 2.644343274845e+02 2.655272070547e+02 2.672542415458e+02 2.685760403179e+02 2.696007397358e+02 2.701486872016e+02 2.701499998202e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060477165173e-01 1.061379328223e-01 8.147759432289e-02 8.234479038789e-02 8.412178707354e-02 8.780933972977e-02 9.184641313084e-02 9.631220746782e-02 5.000392974143e-02 5.000393134199e-02 5.536690295511e-01 5.567276918778e-01 8.828088086409e-01 8.866874743392e-01 8.935766803216e-01 9.056747158557e-01 9.081535868692e-01 9.036877925322e-01 9.499960702586e-01 9.499960686580e-01
4.320000000000e+05 6.908706854821e+05 2.621235422113e+02 2.626647351942e+02 2.631924152061e+02 2.639487326232e+02 2.651307210360e+02 2.668494489957e+02 2.681939868063e+02 2.693602891896e+02 2.701468548588e+02 2.701499994038e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058344948504e-01 1.059527110559e-01 8.067076531718e-02 8.165254877239e-02 8.343795613306e-02 8.681941623184e-02 9.052586834163e-02 9.511422030172e-02 5.000392734466e-02 5.000393134145e-02 5.538548491041e-01 5.568897516735e-01 8.836163927526e-01 8.873852231293e-01 8.942740741130e-01 9.067022669243e-01 9.094741316584e-01 9.048857796983e-01 9.499960726553e-01 9.499960686586e-01
5.184000000000e+05 6.908706854846e+05 2.598048765944e+02 2.606612485744e+02 2.614814168189e+02 2.625977851225e+02 2.641971425489e+02 2.662658471340e+02 2.677719312631e+02 2.691012516846e+02 2.701436532472e+02 2.701499983796e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.054075670978e-01 1.055521713092e-01 7.879241342734e-02 7.996962280879e-02 8.200008493576e-02 8.553928801055e-02 8.922353566039e-02 9.393731405284e-02 5.000392316385e-02 5.000393134010e-02 5.542220450422e-01 5.572346968949e-01 8.854731596047e-01 8.890647510801e-01 8.957298320509e-01 9.080239753737e-01 9.107764643396e-01 9.060626859472e-01 9.499960768361e-01 9.499960686599e-01
6.048000000000e+05 6.908706854846e+05 2.591543316139e+02 2.599138860939e+02 2.606622004513e+02 2.617413281721e+02 2.633913461018e+02 2.656394371334e+02 2.673100434573e+02 2.688183513379e+02 2.701386300850e+02 2.701499961814e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053061874516e-01 1.054252380348e-01 7.802493323991e-02 7.905193882781e-02 8.091860024455e-02 8.432447614355e-02 8.795311932477e-02 9.276685621971e-02 5.000391662229e-02 5.000393133722e-02 5.543091705190e-01 5.573431955126e-01 8.862212936186e-01 8.899693512246e-01 8.968141154808e-01 9.092698856470e-01 9.120468806752e-01 9.072331437803e-01 9.499960833777e-01 9.499960686628e-01
6.912000000000e+05 6.908706854846e+05 2.563799862758e+02 2.574813876630e+02 2.585424836404e+02 2.599999100005e+02 2.621041357962e+02 2.648130602460e+02 2.667553385018e+02 2.684968137005e+02 2.701313221087e+02 2.701499919228e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049386472041e-01 1.050734921310e-01 7.633097008432e-02 7.745452094280e-02 7.942844991237e-02 8.292341999355e-02 8.660180523297e-02 9.156010026673e-02 5.000390714415e-02 5.000393133165e-02 5.546318169734e-01 5.576466263970e-01 8.878480139042e-01 8.915223236001e-01 8.982908603881e-01 9.106951759652e-01 9.133981947670e-01 9.084398997333e-01 9.499960928559e-01 9.499960686684e-01
7.776000000000e+05 6.908706854846e+05 2.549217171298e+02 2.560058774466e+02 2.570693325167e+02 2.585827183138e+02 2.608585890710e+02 2.638976066684e+02 2.661172586558e+02 2.681275053393e+02 2.701212505095e+02 2.701499843039e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.047782824438e-01 1.048956677745e-01 7.534565447228e-02 7.635983720240e-02 7.820233231398e-02 8.158265331770e-02 8.523728814882e-02 9.031056550864e-02 5.000389415666e-02 5.000393132167e-02 5.547804337622e-01 5.578053923115e-01 8.887774118193e-01 8.925689186675e-01 8.994888846346e-01 9.120456716178e-01 9.147627118512e-01 9.096894344914e-01 9.499961058433e-01 9.499960686783e-01
