"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.908706854797e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.908706854821e+05 2.608913190779e+02 2.622791734736e+02 2.636258884033e+02 2.654329464504e+02 2.676765319631e+02 2.694692547047e+02 2.699925419063e+02 2.701320015125e+02 2.701499989939e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055934209386e-01 1.058676408285e-01 8.122007845760e-02 8.395475852989e-02 8.894904539851e-02 9.564365649116e-02 9.852973742531e-02 9.941424534894e-02 5.000393145911e-02 5.000393134223e-02 5.540626266004e-01 5.569635635134e-01 8.830671671443e-01 8.850511838205e-01 8.885808710531e-01 8.974214728119e-01 9.014702625747e-01 9.005857546511e-01 9.499960685409e-01 9.499960686578e-01
1.728000000000e+05 6.908706854821e+05 2.609682014776e+02 2.619006949577e+02 2.628283829233e+02 2.641785176730e+02 2.661726477861e+02 2.684272483287e+02 2.695151213451e+02 2.700153166083e+02 2.701499234935e+02 2.701499999955e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.056074491008e-01 1.057881622985e-01 8.023477793397e-02 8.197356048122e-02 8.534891693846e-02 9.131449578287e-02 9.587298059131e-02 9.867036415918e-02 5.000393136020e-02 5.000393134222e-02 5.540505817575e-01 5.570322120266e-01 8.840504030715e-01 8.870621233750e-01 8.923179688901e-01 9.020048377929e-01 9.041270194087e-01 9.013296358408e-01 9.499960686398e-01 9.499960686578e-01
2.592000000000e+05 6.908706854821e+05 2.624287769844e+02 2.629155982976e+02 2.634246858051e+02 2.642515520512e+02 2.656746617587e+02 2.677002798030e+02 2.690077869275e+02 2.698265061195e+02 2.701495993846e+02 2.701499999645e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.059001381796e-01 1.060104603819e-01 8.096083095131e-02 8.207801756413e-02 8.438897027720e-02 8.901678290062e-02 9.353830415752e-02 9.754533709367e-02 5.000393093569e-02 5.000393134218e-02 5.537978833305e-01 5.568394302904e-01 8.833266989499e-01 8.869568114875e-01 8.933033860582e-01 9.044156588972e-01 9.064616958425e-01 9.024546629063e-01 9.499960690643e-01 9.499960686578e-01
3.456000000000e+05 6.908706854821e+05 2.630729828762e+02 2.634402727908e+02 2.638200058012e+02 2.644343263081e+02 2.655272047484e+02 2.672542357763e+02 2.685760262762e+02 2.696006897756e+02 2.701487404584e+02 2.701499998401e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060477165026e-01 1.061379327320e-01 8.147759343086e-02 8.234478864570e-02 8.412178295145e-02 8.780932494594e-02 9.184636177959e-02 9.631194682374e-02 5.000392981114e-02 5.000393134202e-02 5.536690295639e-01 5.567276919572e-01 8.828088095368e-01 8.866874760999e-01 8.935766845345e-01 9.056747312344e-01 9.081536382204e-01 9.036880531763e-01 9.499960701889e-01 9.499960686580e-01
4.320000000000e+05 6.908706854821e+05 2.621235420394e+02 2.626647341901e+02 2.631924133488e+02 2.639487293461e+02 2.651307147270e+02 2.668494339449e+02 2.681939524146e+02 2.693601790559e+02 2.701469761366e+02 2.701499994685e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058344948141e-01 1.059527108287e-01 8.067076303589e-02 8.165254427478e-02 8.343794563111e-02 8.681938109333e-02 9.052575594013e-02 9.511369613844e-02 5.000392750321e-02 5.000393134153e-02 5.538548491355e-01 5.568897518712e-01 8.836163950281e-01 8.873852276503e-01 8.942740847995e-01 9.067023033176e-01 9.094742440599e-01 9.048863038616e-01 9.499960724968e-01 9.499960686585e-01
5.184000000000e+05 6.908706854846e+05 2.598048761972e+02 2.606612462528e+02 2.614814125275e+02 2.625977775892e+02 2.641971282793e+02 2.662658145132e+02 2.677718607616e+02 2.691010453693e+02 2.701438860031e+02 2.701499985526e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.054075670338e-01 1.055521708984e-01 7.879240920962e-02 7.996961427992e-02 8.200006458421e-02 8.553922074715e-02 8.922333017525e-02 9.393641899441e-02 5.000392346749e-02 5.000393134033e-02 5.542220450971e-01 5.572346972463e-01 8.854731637339e-01 8.890647595264e-01 8.957298525457e-01 9.080240445948e-01 9.107766698247e-01 9.060635810056e-01 9.499960765325e-01 9.499960686597e-01
6.048000000000e+05 6.908706854846e+05 2.591543308205e+02 2.599138814582e+02 2.606621918889e+02 2.617413131992e+02 2.633913180896e+02 2.656393752555e+02 2.673099158248e+02 2.688180053375e+02 2.701390269641e+02 2.701499965824e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053061873321e-01 1.054252372789e-01 7.802492559124e-02 7.905192363809e-02 8.091856484741e-02 8.432436322244e-02 8.795278789417e-02 9.276549069525e-02 5.000391713835e-02 5.000393133775e-02 5.543091706220e-01 5.573431961588e-01 8.862213010416e-01 8.899693661264e-01 8.968141508060e-01 9.092700010454e-01 9.120472121058e-01 9.072345093047e-01 9.499960828617e-01 9.499960686623e-01
6.912000000000e+05 6.908706854846e+05 2.563799848453e+02 2.574813793029e+02 2.585424681997e+02 2.599998830870e+02 2.621040859998e+02 2.648129535204e+02 2.667551271020e+02 2.684962769703e+02 2.701319433960e+02 2.701499927574e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049386470372e-01 1.050734910569e-01 7.633095902765e-02 7.745449858972e-02 7.942839704534e-02 8.292325176400e-02 8.660132184838e-02 9.155818422906e-02 5.000390794815e-02 5.000393133274e-02 5.546318171245e-01 5.576466273398e-01 8.878480244050e-01 8.915223451238e-01 8.982909123922e-01 9.106953462831e-01 9.133986781516e-01 9.084418157709e-01 9.499960920519e-01 9.499960686673e-01
7.776000000000e+05 6.908706854846e+05 2.549217147554e+02 2.560058635714e+02 2.570693068978e+02 2.585826737744e+02 2.608585073679e+02 2.638974357547e+02 2.661169312981e+02 2.681267187984e+02 2.701221632363e+02 2.701499859001e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.047782821976e-01 1.048956662052e-01 7.534563845778e-02 7.635980518453e-02 7.820225768231e-02 8.158242056781e-02 8.523663307633e-02 9.030804269496e-02 5.000389533008e-02 5.000393132376e-02 5.547804339965e-01 5.578053937420e-01 8.887774268203e-01 8.925689490551e-01 8.994889570452e-01 9.120459047964e-01 9.147633669237e-01 9.096919573050e-01 9.499961046699e-01 9.499960686762e-01
