"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.908706854797e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.908706854846e+05 2.608431756336e+02 2.620012836862e+02 2.633279803418e+02 2.651611391826e+02 2.674788461058e+02 2.693884911991e+02 2.699683450372e+02 2.701284129817e+02 2.701499987093e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055846994827e-01 1.058089145470e-01 8.083889215751e-02 8.348872558405e-02 8.840071556073e-02 9.524928801205e-02 9.838182332139e-02 9.939077056749e-02 5.000393145873e-02 5.000393134223e-02 5.540701218884e-01 5.570143148306e-01 8.834485715949e-01 8.855266553362e-01 8.891537232579e-01 8.978408066713e-01 9.016181766786e-01 9.006092294325e-01 9.499960685413e-01 9.499960686578e-01
1.728000000000e+05 6.908706854845e+05 2.609340271599e+02 2.617021323027e+02 2.626034554292e+02 2.639490514353e+02 2.659614634360e+02 2.682891281789e+02 2.694473917507e+02 2.699961611049e+02 2.701499075192e+02 2.701499999946e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.056011982183e-01 1.057479534802e-01 7.997604492947e-02 8.165298633777e-02 8.493044689408e-02 9.084120795172e-02 9.553562508307e-02 9.855194674925e-02 5.000393133928e-02 5.000393134222e-02 5.540559580491e-01 5.570668394397e-01 8.843071301779e-01 8.873847834927e-01 8.927481988685e-01 9.025028617927e-01 9.044643749169e-01 9.014480532508e-01 9.499960686607e-01 9.499960686578e-01
2.592000000000e+05 6.908706854845e+05 2.624094456776e+02 2.628013460899e+02 2.632854409993e+02 2.640932213488e+02 2.655023366953e+02 2.675518120667e+02 2.689118069405e+02 2.697883105549e+02 2.701495227629e+02 2.701499999575e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058959032004e-01 1.059839152788e-01 8.078578586927e-02 8.185306699459e-02 8.407743682089e-02 8.859994194885e-02 9.314142592192e-02 9.732859757354e-02 5.000393083535e-02 5.000393134217e-02 5.538015732826e-01 5.568625837077e-01 8.835016083564e-01 8.871834969236e-01 8.936220018212e-01 9.048509853330e-01 9.068585740781e-01 9.026714024265e-01 9.499960691646e-01 9.499960686578e-01
3.456000000000e+05 6.908706854845e+05 2.630583736089e+02 2.633544764066e+02 2.637153440586e+02 2.643129975978e+02 2.653866687622e+02 2.671139519922e+02 2.684679348556e+02 2.695455446352e+02 2.701485172741e+02 2.701499998101e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060442238571e-01 1.061164342447e-01 8.133782516711e-02 8.216683650526e-02 8.387379884236e-02 8.745574418306e-02 9.145748894726e-02 9.602734753122e-02 5.000392951904e-02 5.000393134198e-02 5.536721012121e-01 5.567466032035e-01 8.829491037337e-01 8.868671994238e-01 8.938299388058e-01 9.060422634502e-01 9.085425110527e-01 9.039726524688e-01 9.499960704810e-01 9.499960686580e-01
4.320000000000e+05 6.908706854845e+05 2.621037204091e+02 2.625508166663e+02 2.630636921915e+02 2.638131904591e+02 2.649874804130e+02 2.667095886063e+02 2.680786123949e+02 2.692912525516e+02 2.701464767364e+02 2.701499993737e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058303204834e-01 1.059271239221e-01 8.051407418571e-02 8.146842511822e-02 8.320246250260e-02 8.649788160417e-02 9.015482888264e-02 9.478977658480e-02 5.000392685043e-02 5.000393134141e-02 5.538584737335e-01 5.569119913262e-01 8.837725726344e-01 8.875701696570e-01 8.945135165480e-01 9.070350312388e-01 9.098451711174e-01 9.052102234152e-01 9.499960731496e-01 9.499960686586e-01
5.184000000000e+05 6.908706854866e+05 2.597745020441e+02 2.604878327169e+02 2.612924224167e+02 2.624106228372e+02 2.640172367504e+02 2.661069908050e+02 2.676434752079e+02 2.690189695733e+02 2.701429403732e+02 2.701499983057e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.054026794638e-01 1.055217802980e-01 7.860875376843e-02 7.976033000845e-02 8.174706189604e-02 8.521693220393e-02 8.885528011361e-02 9.358533634278e-02 5.000392223416e-02 5.000393134001e-02 5.542262480986e-01 5.572606804002e-01 8.856527820494e-01 8.892718027495e-01 8.959843794265e-01 9.083554228004e-01 9.111447198864e-01 9.064146636572e-01 9.499960777658e-01 9.499960686600e-01
6.048000000000e+05 6.908706854865e+05 2.591263796528e+02 2.597523618159e+02 2.604793312891e+02 2.615510945551e+02 2.631988780474e+02 2.654642506136e+02 2.671667131438e+02 2.687224057186e+02 2.701374307507e+02 2.701499960242e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053019808958e-01 1.053991266832e-01 7.786324398332e-02 7.886118401978e-02 8.067870734290e-02 8.400991025654e-02 8.758719828892e-02 9.239394898290e-02 5.000391506365e-02 5.000393133702e-02 5.543128020361e-01 5.573655228008e-01 8.863780590434e-01 8.901562957248e-01 8.970532634385e-01 9.095910376027e-01 9.124128017111e-01 9.076060510171e-01 9.499960849363e-01 9.499960686630e-01
6.912000000000e+05 6.908706854865e+05 2.563406065026e+02 2.572561061815e+02 2.582957627341e+02 2.597543707308e+02 2.618681979823e+02 2.646081047729e+02 2.665906547774e+02 2.683850188614e+02 2.701294629487e+02 2.701499916219e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049340593080e-01 1.050448386875e-01 7.615637936437e-02 7.725323262955e-02 7.918166202210e-02 8.260581558525e-02 8.623189319289e-02 9.116756952034e-02 5.000390474021e-02 5.000393133125e-02 5.546359818792e-01 5.576718315059e-01 8.880136277138e-01 8.917158957233e-01 8.985333029295e-01 9.110163495095e-01 9.137681068071e-01 9.088324304797e-01 9.499960952598e-01 9.499960686687e-01
7.776000000000e+05 6.908706854865e+05 2.548820438337e+02 2.557771862949e+02 2.568129396014e+02 2.583196804585e+02 2.605972628452e+02 2.636649584928e+02 2.659287543310e+02 2.679975000018e+02 2.701185381232e+02 2.701499837741e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.047741757680e-01 1.048700441428e-01 7.518716818670e-02 7.617312475706e-02 7.796713692033e-02 8.127131290080e-02 8.486700264479e-02 8.990093963856e-02 5.000389067375e-02 5.000393132097e-02 5.547843547749e-01 5.578288335359e-01 8.889256996311e-01 8.927458957330e-01 8.997167576459e-01 9.123571708118e-01 9.151329973552e-01 9.100990603614e-01 9.499961093263e-01 9.499960686790e-01
