"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.908706854797e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.908706854821e+05 2.608857963697e+02 2.622469501800e+02 2.636201452918e+02 2.654652502825e+02 2.677347542083e+02 2.695079414531e+02 2.700068651976e+02 2.701344336549e+02 2.701499992017e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055924180215e-01 1.058607234135e-01 8.121257213009e-02 8.401167666570e-02 8.911585598958e-02 9.583688417073e-02 9.861804500457e-02 9.943017771962e-02 5.000393145938e-02 5.000393134223e-02 5.540634875547e-01 5.569695497836e-01 8.830746897314e-01 8.849930173454e-01 8.884063722147e-01 8.972158986429e-01 9.013819549954e-01 9.005698222804e-01 9.499960685406e-01 9.499960686578e-01
1.728000000000e+05 6.908706854821e+05 2.609642081408e+02 2.618774058129e+02 2.628223853472e+02 2.642021065573e+02 2.662303302205e+02 2.684918216086e+02 2.695555535624e+02 2.700287622743e+02 2.701499359585e+02 2.701499999963e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.056067173994e-01 1.057833947491e-01 8.022777637639e-02 8.200716746374e-02 8.546631649194e-02 9.154247154238e-02 9.607859659188e-02 9.875409093879e-02 5.000393137653e-02 5.000393134222e-02 5.540512100764e-01 5.570363211666e-01 8.840573586304e-01 8.870282506543e-01 8.921970947848e-01 9.017647026510e-01 9.039214034081e-01 9.012459090612e-01 9.499960686235e-01 9.499960686578e-01
2.592000000000e+05 6.908706854821e+05 2.624264170556e+02 2.629018527786e+02 2.634198144131e+02 2.642657316728e+02 2.657190198909e+02 2.677681185779e+02 2.690650515164e+02 2.698537262428e+02 2.701496602361e+02 2.701499999700e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058996206064e-01 1.060072447872e-01 8.095464778293e-02 8.209843749695e-02 8.447079630953e-02 8.921258427941e-02 9.378128374203e-02 9.770193727538e-02 5.000393101539e-02 5.000393134219e-02 5.537983332486e-01 5.568422370498e-01 8.833328818616e-01 8.869362145505e-01 8.932196005884e-01 9.042109431330e-01 9.062187162580e-01 9.022980627246e-01 9.499960689846e-01 9.499960686578e-01
3.456000000000e+05 6.908706854821e+05 2.630712178024e+02 2.634299852979e+02 2.638162775922e+02 2.644446640961e+02 2.655621065479e+02 2.673170839598e+02 2.686402409961e+02 2.696403844445e+02 2.701489202835e+02 2.701499998640e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060472941477e-01 1.061353408798e-01 8.147257690730e-02 8.236011172508e-02 8.418436526359e-02 8.797158038661e-02 9.208353342782e-02 9.652066952464e-02 5.000393004652e-02 5.000393134205e-02 5.536693999643e-01 5.567299733096e-01 8.828138477119e-01 8.866719893176e-01 8.935127106490e-01 9.055058908171e-01 9.079164665722e-01 9.034793304754e-01 9.499960699535e-01 9.499960686580e-01
4.320000000000e+05 6.908706854821e+05 2.621212759820e+02 2.626515067705e+02 2.631889451292e+02 2.639615318579e+02 2.651667077149e+02 2.669115164176e+02 2.682621533662e+02 2.694101141496e+02 2.701473836393e+02 2.701499995448e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058340170603e-01 1.059497198186e-01 8.066650401338e-02 8.167013230009e-02 8.349804912724e-02 8.696533108310e-02 9.075082688950e-02 9.535356558425e-02 5.000392803603e-02 5.000393134163e-02 5.538552629868e-01 5.568923533059e-01 8.836206430572e-01 8.873675465862e-01 8.942129129049e-01 9.065510907058e-01 9.092491731105e-01 9.046464344158e-01 9.499960719640e-01 9.499960686584e-01
5.184000000000e+05 6.908706854821e+05 2.598014948475e+02 2.606414959455e+02 2.614771992842e+02 2.626168143720e+02 2.642435610378e+02 2.663364962200e+02 2.678476255507e+02 2.691607494165e+02 2.701446664155e+02 2.701499987527e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.054070221580e-01 1.055486797536e-01 7.878826935567e-02 7.999119431319e-02 8.206652989989e-02 8.568602220190e-02 8.944635821941e-02 9.419813076872e-02 5.000392448593e-02 5.000393134059e-02 5.542225126296e-01 5.572376823236e-01 8.854772162537e-01 8.890433859663e-01 8.956629020246e-01 9.078729115431e-01 9.105536417806e-01 9.058018692313e-01 9.499960755141e-01 9.499960686594e-01
6.048000000000e+05 6.908706854820e+05 2.591511526741e+02 2.598953370020e+02 2.606574474079e+02 2.617597503197e+02 2.634403927557e+02 2.657171528034e+02 2.673943686014e+02 2.688877821439e+02 2.701403578977e+02 2.701499970384e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053057084483e-01 1.054222166833e-01 7.802068854829e-02 7.907064904607e-02 8.098079716286e-02 8.446733835191e-02 8.817433619688e-02 9.304400351025e-02 5.000391886992e-02 5.000393133835e-02 5.543095829761e-01 5.573457782515e-01 8.862254125622e-01 8.899509935149e-01 8.967520275895e-01 9.091238253977e-01 9.118256638031e-01 9.069559964898e-01 9.499960811301e-01 9.499960686617e-01
6.912000000000e+05 6.908706854820e+05 2.563756426498e+02 2.574560123456e+02 2.585369458631e+02 2.600246305714e+02 2.621648616172e+02 2.649041192664e+02 2.668522040241e+02 2.685777419208e+02 2.701340311673e+02 2.701499936913e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049381404059e-01 1.050702356027e-01 7.632700569455e-02 7.747507988334e-02 7.949317083494e-02 8.306806562581e-02 8.682568281165e-02 9.185259351899e-02 5.000391065233e-02 5.000393133396e-02 5.546322758180e-01 5.576494848559e-01 8.878517785039e-01 8.915025245344e-01 8.982271740429e-01 9.105486583655e-01 9.131743171883e-01 9.081474064810e-01 9.499960893477e-01 9.499960686660e-01
7.776000000000e+05 6.908706854820e+05 2.549172963772e+02 2.559800661953e+02 2.570630198253e+02 2.586083317101e+02 2.609251244059e+02 2.640007030723e+02 2.662280877353e+02 2.682216588635e+02 2.701252411569e+02 2.701499876601e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.047778242126e-01 1.048927515455e-01 7.534170947283e-02 7.637827274135e-02 7.826334191785e-02 8.172415993057e-02 8.546155642389e-02 9.061662114581e-02 5.000389929232e-02 5.000393132606e-02 5.547808699629e-01 5.578080512166e-01 8.887811066963e-01 8.925514192016e-01 8.994296689368e-01 9.119038198777e-01 9.145384435761e-01 9.093833788542e-01 9.499961007077e-01 9.499960686739e-01
