"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.908706854797e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.908706854821e+05 2.608950389564e+02 2.623008806156e+02 2.636317267389e+02 2.654149626399e+02 2.676401271117e+02 2.694424761064e+02 2.699817211888e+02 2.701300083838e+02 2.701499988042e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055940968226e-01 1.058723170036e-01 8.122771576397e-02 8.392321635680e-02 8.884600119375e-02 9.551156411982e-02 9.846339545781e-02 9.940120224851e-02 5.000393145886e-02 5.000393134223e-02 5.540620463763e-01 5.569595155022e-01 8.830595128073e-01 8.850834089601e-01 8.886886121640e-01 8.975619624694e-01 9.015366045422e-01 9.005987977515e-01 9.499960685411e-01 9.499960686578e-01
1.728000000000e+05 6.908706854821e+05 2.609709668348e+02 2.619168242935e+02 2.628345716135e+02 2.641667858559e+02 2.661383497189e+02 2.683843721011e+02 2.694857919312e+02 2.700047674667e+02 2.701499126659e+02 2.701499999949e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.056079559968e-01 1.057914723001e-01 8.024200859467e-02 8.195689236953e-02 8.527975418933e-02 9.116551975476e-02 9.572582133504e-02 9.860502546156e-02 5.000393134602e-02 5.000393134222e-02 5.540501464733e-01 5.570293585871e-01 8.840432194347e-01 8.870789200064e-01 8.923891430585e-01 9.021616747504e-01 9.042741786650e-01 9.013949745384e-01 9.499960686540e-01 9.499960686578e-01
2.592000000000e+05 6.908706854821e+05 2.624304849826e+02 2.629255484451e+02 2.634299121792e+02 2.642456859511e+02 2.656495965561e+02 2.676565450907e+02 2.689672668682e+02 2.698056273170e+02 2.701495472267e+02 2.701499999597e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.059005128731e-01 1.060127918859e-01 8.096746953181e-02 8.206958320503e-02 8.434303381937e-02 8.889235393062e-02 9.336919784265e-02 9.742643137792e-02 5.000393086739e-02 5.000393134217e-02 5.537975576048e-01 5.568373948599e-01 8.833200602763e-01 8.869653180153e-01 8.933504046075e-01 9.045456767877e-01 9.066308021573e-01 9.025735686221e-01 9.499960691326e-01 9.499960686578e-01
3.456000000000e+05 6.908706854821e+05 2.630742947825e+02 2.634479197677e+02 2.638243173959e+02 2.644306871146e+02 2.655083227133e+02 2.672146448803e+02 2.685314369936e+02 2.695707819885e+02 2.701485880119e+02 2.701499998196e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060480304889e-01 1.061398618281e-01 8.148339844557e-02 8.233940055881e-02 8.408809292636e-02 8.770835217257e-02 9.168440170630e-02 9.615683307705e-02 5.000392961162e-02 5.000393134199e-02 5.536687541921e-01 5.567259937047e-01 8.828029792094e-01 8.866929213300e-01 8.936111134915e-01 9.057797443621e-01 9.083155982937e-01 9.038431669230e-01 9.499960703884e-01 9.499960686580e-01
4.320000000000e+05 6.908706854821e+05 2.621251813393e+02 2.626743027377e+02 2.631966850668e+02 2.639436526344e+02 2.651112488900e+02 2.668107515111e+02 2.681471644754e+02 2.693230642240e+02 2.701466340017e+02 2.701499994038e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058348405145e-01 1.059548777956e-01 8.067601163112e-02 8.164557942630e-02 8.340559774644e-02 8.672945777638e-02 9.037384471617e-02 9.493825974913e-02 5.000392705597e-02 5.000393134145e-02 5.538545496659e-01 5.568878668548e-01 8.836111597574e-01 8.873922286495e-01 8.943069975777e-01 9.067954180965e-01 9.096261552838e-01 9.050617402509e-01 9.499960729440e-01 9.499960686586e-01
5.184000000000e+05 6.908706854845e+05 2.598072590881e+02 2.606751642182e+02 2.614866137184e+02 2.625893547500e+02 2.641714654662e+02 2.662217220784e+02 2.677201325856e+02 2.690570632105e+02 2.701432363962e+02 2.701499983837e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.054079511334e-01 1.055546357693e-01 7.879752270475e-02 7.996008363401e-02 8.196353731275e-02 8.544870960745e-02 8.907357186636e-02 9.374705692604e-02 5.000392262016e-02 5.000393134011e-02 5.542217155142e-01 5.572325893740e-01 8.854681574248e-01 8.890741973432e-01 8.957666314676e-01 9.081171672373e-01 9.109264281336e-01 9.062529430740e-01 9.499960773798e-01 9.499960686599e-01
6.048000000000e+05 6.908706854845e+05 2.591565993601e+02 2.599271190108e+02 2.606678972212e+02 2.617336235481e+02 2.633645236207e+02 2.655910743450e+02 2.672524920910e+02 2.687669205037e+02 2.701379276109e+02 2.701499961999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053065292500e-01 1.054273971168e-01 7.803002372307e-02 7.904412632648e-02 8.088477162111e-02 8.423661478301e-02 8.780469421529e-02 9.256554025965e-02 5.000391570921e-02 5.000393133725e-02 5.543088762033e-01 5.573413497205e-01 8.862163532446e-01 8.899770152402e-01 8.968478702710e-01 9.093596501655e-01 9.121953057847e-01 9.074344597404e-01 9.499960842908e-01 9.499960686628e-01
6.912000000000e+05 6.908706854845e+05 2.563830313820e+02 2.574991769737e+02 2.585492254095e+02 2.599890064273e+02 2.620706228573e+02 2.647563223349e+02 2.666892403802e+02 2.684368752538e+02 2.701302307540e+02 2.701499919779e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049390026068e-01 1.050757795653e-01 7.633579925517e-02 7.744547025818e-02 7.939294606920e-02 8.283440910653e-02 8.645174853655e-02 9.134802382783e-02 5.000390573264e-02 5.000393133172e-02 5.546314952254e-01 5.576446192318e-01 8.878434274019e-01 8.915310379271e-01 8.983257781939e-01 9.107852627755e-01 9.135482514634e-01 9.086519761722e-01 9.499960942674e-01 9.499960686683e-01
7.776000000000e+05 6.908706854844e+05 2.549248366893e+02 2.560240921890e+02 2.570768857782e+02 2.585718407942e+02 2.608221947392e+02 2.638335460689e+02 2.660416966260e+02 2.680577188454e+02 2.701196539453e+02 2.701499844383e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.047786058954e-01 1.048977294789e-01 7.535037762509e-02 7.635202182539e-02 7.816915692677e-02 8.149583635897e-02 8.508720620498e-02 9.008885742452e-02 5.000389210580e-02 5.000393132184e-02 5.547801258995e-01 5.578035136244e-01 8.887729874304e-01 8.925763356726e-01 8.995210663111e-01 9.121326165633e-01 9.149127937950e-01 9.099111425755e-01 9.499961078942e-01 9.499960686782e-01
8.640000000000e+05 6.908706854844e+05 2.529782577964e+02 2.541928262383e+02 2.553544513636e+02 2.569990046571e+02 2.594774708456e+02 2.628258616198e+02 2.653165369431e+02 2.676250804169e+02 2.701056786925e+02 2.701499717993e+02 2.701499999998e+02 2.701500000000e+02 2.701500000000e+02 1.045908808216e-01 1.047047981301e-01 7.434829488091e-02 7.530182779481e-02 7.703238671052e-02 8.023183387312e-02 8.375221985032e-02 8.880349043829e-02 5.000387424572e-02 5.000393130529e-02 5.549665945539e-01 5.579850389499e-01 8.897050031867e-01 8.935656334115e-01 9.006158106110e-01 9.133908706976e-01 9.162477801497e-01 9.111965095617e-01 9.499961257543e-01 9.499960686947e-01
9.504000000000e+05 6.908706854844e+05 2.544363190233e+02 2.551616370395e+02 2.558931407674e+02 2.570497274924e+02 2.590370602576e+02 2.621186793021e+02 2.646569998013e+02 2.671687217333e+02 2.700877681965e+02 2.701499516755e+02 2.701499999996e+02 2.701500000000e+02 2.701500000000e+02 1.047288927337e-01 1.048033906630e-01 7.464639142749e-02 7.533340983747e-02 7.669382643566e-02 7.944390457884e-02 8.268043877502e-02 8.759220147320e-02 5.000385159485e-02 5.000393127893e-02 5.548279181366e-01 5.578906921727e-01 8.894291472994e-01 8.935360985686e-01 9.009387370692e-01 9.141674455144e-01 9.173195612250e-01 9.124077985268e-01 9.499961484052e-01 9.499960687211e-01
1.036800000000e+06 6.908706854844e+05 2.560975820151e+02 2.565275975509e+02 2.569765171936e+02 2.577442009273e+02 2.592072212142e+02 2.617849610961e+02 2.641631161911e+02 2.667342251552e+02 2.700654147576e+02 2.701499209749e+02 2.701499999992e+02 2.701500000000e+02 2.701500000000e+02 1.049060793964e-01 1.049559813218e-01 7.528787110540e-02 7.578048496661e-02 7.682284543831e-02 7.909632315847e-02 8.195152010982e-02 8.655359946004e-02 5.000382369417e-02 5.000393123871e-02 5.546614262366e-01 5.577508492516e-01 8.888315157504e-01 8.931165593990e-01 9.008158501551e-01 9.145079598792e-01 9.180484798902e-01 9.134464005400e-01 9.499961763058e-01 9.499960687613e-01
1.123200000000e+06 6.908706854844e+05 2.573431199664e+02 2.576361874576e+02 2.579458431981e+02 2.584935703572e+02 2.595962065046e+02 2.617093522643e+02 2.638429982417e+02 2.663549895157e+02 2.700382118631e+02 2.701498758035e+02 2.701499999985e+02 2.701500000000e+02 2.701500000000e+02 1.050558374124e-01 1.050935211390e-01 7.591566836644e-02 7.629602722555e-02 7.712630670118e-02 7.901956361812e-02 8.150843071602e-02 8.572457676597e-02 5.000379028138e-02 5.000393117954e-02 5.545270608642e-01 5.576290749698e-01 8.882413088626e-01 8.926294528637e-01 9.005259674802e-01 9.145829819244e-01 9.184915692840e-01 9.142754232340e-01 9.499962097186e-01 9.499960688205e-01
1.209600000000e+06 6.908706854846e+05 2.575908629137e+02 2.579313546776e+02 2.582720060430e+02 2.588184921171e+02 2.598300368897e+02 2.617003886036e+02 2.636327529769e+02 2.660377130674e+02 2.700059189347e+02 2.701498113848e+02 2.701499999972e+02 2.701500000000e+02 2.701500000000e+02 1.050876275811e-01 1.051325065274e-01 7.613978438629e-02 7.653128995294e-02 7.731470419627e-02 7.901051086146e-02 8.122889765189e-02 8.507931917583e-02 5.000375136726e-02 5.000393109517e-02 5.544990345790e-01 5.575950530874e-01 8.880293486559e-01 8.924060049246e-01 9.003454122820e-01 9.145918254900e-01 9.187711023481e-01 9.149206808242e-01 9.499962486327e-01 9.499960689048e-01
1.296000000000e+06 6.908706854850e+05 2.567691636888e+02 2.572863976757e+02 2.577826075260e+02 2.585040869692e+02 2.596773005861e+02 2.615836595564e+02 2.634397181137e+02 2.657642212659e+02 2.699684877472e+02 2.701497220049e+02 2.701499999951e+02 2.701500000000e+02 2.701500000000e+02 1.049848243605e-01 1.050486579067e-01 7.580603969135e-02 7.630352620988e-02 7.719112176389e-02 7.889352473096e-02 8.097977882697e-02 8.455467843877e-02 5.000370724999e-02 5.000393097810e-02 5.545902344371e-01 5.576684649352e-01 8.883447507144e-01 8.926223417087e-01 9.004639008170e-01 9.147060265906e-01 9.190202211730e-01 9.154453215612e-01 9.499962927500e-01 9.499960690219e-01
1.382400000000e+06 6.908706832810e+05 2.555980206426e+02 2.562644156085e+02 2.569002459099e+02 2.578047818999e+02 2.592073349012e+02 2.613038365845e+02 2.631996678529e+02 2.655070503750e+02 2.699260401139e+02 2.701496009872e+02 2.701499999916e+02 2.701500000000e+02 2.701500000000e+02 1.048503016237e-01 1.049252258833e-01 7.524073776016e-02 7.582083508975e-02 7.682293237969e-02 7.861972857058e-02 8.067952044797e-02 8.408562055273e-02 5.000365845994e-02 5.000393081961e-02 5.547127635563e-01 5.577785577384e-01 8.888756148308e-01 8.930785624126e-01 9.008157673152e-01 9.149727040021e-01 9.193204795520e-01 9.159143794473e-01 9.499963415401e-01 9.499960691804e-01
1.468800000000e+06 6.908706832810e+05 2.569189962663e+02 2.572548056140e+02 2.576034562297e+02 2.581889634388e+02 2.592743420541e+02 2.611621206290e+02 2.629923284961e+02 2.652673408462e+02 2.698788249464e+02 2.701494407001e+02 2.701499999860e+02 2.701500000000e+02 2.701500000000e+02 1.050030189659e-01 1.050446749397e-01 7.568760183901e-02 7.608206881267e-02 7.687435038934e-02 7.848451245353e-02 8.042825420059e-02 8.366792482327e-02 5.000360567772e-02 5.000393060971e-02 5.545739656784e-01 5.576719757935e-01 8.884563257622e-01 8.928320374456e-01 9.007667330331e-01 9.151040887905e-01 9.195717457994e-01 9.163320751767e-01 9.499963943223e-01 9.499960693903e-01
1.555200000000e+06 6.908706832810e+05 2.565850429687e+02 2.570283125770e+02 2.574599688928e+02 2.581091100301e+02 2.592072899680e+02 2.610354742731e+02 2.628097083123e+02 2.650458920675e+02 2.698271860233e+02 2.701492325938e+02 2.701499999774e+02 2.701500000000e+02 2.701500000000e+02 1.049627862661e-01 1.050164443188e-01 7.559412519356e-02 7.602699515168e-02 7.682289801721e-02 7.836556504903e-02 8.021284123071e-02 8.329758392797e-02 5.000354966777e-02 5.000393033723e-02 5.546100248816e-01 5.576969312906e-01 8.885442544507e-01 8.928840856356e-01 9.008158000732e-01 9.152194903999e-01 9.197871587693e-01 9.167024160720e-01 9.499964503322e-01 9.499960696628e-01
