"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.908706854797e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.908706854820e+05 2.608416189893e+02 2.619892397761e+02 2.636064618480e+02 2.658030786807e+02 2.682558881256e+02 2.697905374067e+02 2.700935932995e+02 2.701461498961e+02 2.701499999074e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055844182899e-01 1.058064159382e-01 8.119471325230e-02 8.462775219325e-02 9.073011184447e-02 9.734124572090e-02 9.916505445382e-02 9.950718085634e-02 5.000393146030e-02 5.000393134223e-02 5.540703543410e-01 5.570164704122e-01 8.830925853806e-01 8.843621515192e-01 8.867126339173e-01 8.956130025480e-01 9.008349455462e-01 9.004928191437e-01 9.499960685397e-01 9.499960686578e-01
1.728000000000e+05 6.908706854820e+05 2.609324181060e+02 2.616920301770e+02 2.627963952654e+02 2.644579093544e+02 2.667802469452e+02 2.690242742385e+02 2.698418754567e+02 2.701067217726e+02 2.701499879844e+02 2.701499999993e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.056009045106e-01 1.057459340625e-01 8.019750152184e-02 8.237978174270e-02 8.665908590615e-02 9.360789021546e-02 9.763358686585e-02 9.924970164674e-02 5.000393144468e-02 5.000393134223e-02 5.540562013307e-01 5.570685765733e-01 8.840874293129e-01 8.866521065757e-01 8.909649269440e-01 8.995825049157e-01 9.023664131341e-01 9.007502983533e-01 9.499960685553e-01 9.499960686578e-01
2.592000000000e+05 6.908706854820e+05 2.624078453862e+02 2.627936932632e+02 2.633929830937e+02 2.644240739317e+02 2.661573468983e+02 2.683671919656e+02 2.695083541375e+02 2.700268438562e+02 2.701499286948e+02 2.701499999939e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058955530992e-01 1.059821519646e-01 8.092066905423e-02 8.232961734339e-02 8.531800361779e-02 9.110635225214e-02 9.583887912172e-02 9.874211399709e-02 5.000393136702e-02 5.000393134222e-02 5.538018686623e-01 5.568641200626e-01 8.833668532653e-01 8.867028077482e-01 8.923497845139e-01 9.022239454196e-01 9.041611208783e-01 9.012578860029e-01 9.499960686330e-01 9.499960686578e-01
3.456000000000e+05 6.908706854820e+05 2.630573348347e+02 2.633490744669e+02 2.637949917590e+02 2.645600038674e+02 2.659115119318e+02 2.678951626976e+02 2.691697620468e+02 2.699120712577e+02 2.701497513817e+02 2.701499999706e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060439757873e-01 1.061150895060e-01 8.144398937420e-02 8.253282356370e-02 8.483398077818e-02 8.958873912878e-02 9.423816085709e-02 9.804378605949e-02 5.000393113477e-02 5.000393134219e-02 5.536723098286e-01 5.567477849038e-01 8.828425546867e-01 8.864973109980e-01 8.928472342681e-01 9.038172618960e-01 9.057618391429e-01 9.019562139405e-01 9.499960688652e-01 9.499960686578e-01
4.320000000000e+05 6.908706854820e+05 2.621031925735e+02 2.625459544729e+02 2.631722062329e+02 2.640994513806e+02 2.655213049292e+02 2.674883456454e+02 2.688453534021e+02 2.697717258348e+02 2.701493465055e+02 2.701499998956e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058302094680e-01 1.059260404380e-01 8.064597766975e-02 8.186181380401e-02 8.411124371245e-02 8.842644918648e-02 9.287394129084e-02 9.723555896285e-02 5.000393060454e-02 5.000393134209e-02 5.538585609809e-01 5.569129320213e-01 8.836411141449e-01 8.871746898954e-01 8.935874557005e-01 9.050319690380e-01 9.071260587092e-01 9.027644410372e-01 9.499960693955e-01 9.499960686579e-01
5.184000000000e+05 6.908706854820e+05 2.597741919704e+02 2.604820345591e+02 2.614603388068e+02 2.628193646648e+02 2.646939166982e+02 2.669864306568e+02 2.685024729128e+02 2.696094066829e+02 2.701485679193e+02 2.701499996978e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.054026296499e-01 1.055207743151e-01 7.877172358847e-02 8.022425220171e-02 8.273747668658e-02 8.714418165180e-02 9.158036538646e-02 9.635750110287e-02 5.000392958532e-02 5.000393134183e-02 5.542262819408e-01 5.572615398693e-01 8.854934124842e-01 8.888122789254e-01 8.949851579404e-01 9.063656536380e-01 9.084196346135e-01 9.036424988971e-01 9.499960704147e-01 9.499960686582e-01
6.048000000000e+05 6.908706854819e+05 2.591255001889e+02 2.597456688995e+02 2.606346791686e+02 2.619587663203e+02 2.639214735202e+02 2.664359816510e+02 2.681305530251e+02 2.694253583932e+02 2.701472383673e+02 2.701499992457e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053018487352e-01 1.053980543188e-01 7.800038694137e-02 7.927552945187e-02 8.161521456029e-02 8.589630411428e-02 9.032038861497e-02 9.542768869151e-02 5.000392784606e-02 5.000393134124e-02 5.543129069623e-01 5.573664395018e-01 8.862451114845e-01 8.897497378807e-01 8.961168155701e-01 9.076562213527e-01 9.096796113850e-01 9.045723113085e-01 9.499960721539e-01 9.499960686588e-01
6.912000000000e+05 6.908706854819e+05 2.563402307996e+02 2.572491605975e+02 2.585139975117e+02 2.602904165886e+02 2.627584561914e+02 2.657442877302e+02 2.677000193998e+02 2.692149426746e+02 2.701451546602e+02 2.701499983175e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049340156106e-01 1.050439644244e-01 7.631059999431e-02 7.769962596206e-02 8.015349899901e-02 8.451771402515e-02 8.901588088692e-02 9.444048125719e-02 5.000392512336e-02 5.000393134002e-02 5.546360125841e-01 5.576726019729e-01 8.878673566467e-01 8.912859508172e-01 8.975749946004e-01 9.090722917689e-01 9.109841191131e-01 9.055595187428e-01 9.499960748766e-01 9.499960686600e-01
7.776000000000e+05 6.908706854819e+05 2.548811790434e+02 2.557692163072e+02 2.570336692790e+02 2.588870507582e+02 2.615821151519e+02 2.649587509618e+02 2.672040600748e+02 2.689725870853e+02 2.701420904513e+02 2.701499965662e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.047740863928e-01 1.048691597857e-01 7.532339613632e-02 7.658189434780e-02 7.889198807043e-02 8.315592749820e-02 8.768135225539e-02 9.339122438090e-02 5.000392112631e-02 5.000393133773e-02 5.547844310879e-01 5.578296452369e-01 8.887982577639e-01 8.923578475667e-01 8.988170528601e-01 9.104595855695e-01 9.123186477446e-01 9.066087756191e-01 9.499960788737e-01 9.499960686623e-01
8.640000000000e+05 6.908706854819e+05 2.529302516648e+02 2.539124766886e+02 2.553072962210e+02 2.573448080874e+02 2.603166726128e+02 2.640898412914e+02 2.666420679069e+02 2.686935881608e+02 2.701377963584e+02 2.701499934788e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.045865800049e-01 1.046775963256e-01 7.432281078803e-02 7.551997273530e-02 7.772216288743e-02 8.184832501253e-02 8.634596685316e-02 9.228414914765e-02 5.000391553866e-02 5.000393133368e-02 5.549710851390e-01 5.580117897646e-01 8.897285313223e-01 8.933613534256e-01 8.999534086921e-01 9.117792143012e-01 9.136540331468e-01 9.077158508523e-01 9.499960844613e-01 9.499960686663e-01
9.504000000000e+05 6.908706854819e+05 2.544040503139e+02 2.549735418138e+02 2.558421533185e+02 2.572955344495e+02 2.597617283527e+02 2.633808608618e+02 2.660809617782e+02 2.683843744869e+02 2.701320010749e+02 2.701499883297e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.047256740339e-01 1.047836661160e-01 7.461761348277e-02 7.548847838508e-02 7.725918848725e-02 8.090536068355e-02 8.516491420855e-02 9.116534449474e-02 5.000390802280e-02 5.000393132694e-02 5.548310467284e-01 5.579092717645e-01 8.894558290692e-01 8.933908856901e-01 9.003986631285e-01 9.127222225390e-01 9.148350857914e-01 9.088346555053e-01 9.499960919772e-01 9.499960686731e-01
1.036800000000e+06 6.908706854825e+05 2.560767161234e+02 2.564060306583e+02 2.569329179770e+02 2.579056692738e+02 2.597742823226e+02 2.629373155894e+02 2.655937540531e+02 2.680629236841e+02 2.701244188705e+02 2.701499801307e+02 2.701499999998e+02 2.701500000000e+02 2.701500000000e+02 1.049037034319e-01 1.049416898737e-01 7.526088967375e-02 7.588853376475e-02 7.726936135493e-02 8.036294919975e-02 8.424129176557e-02 9.010524568815e-02 5.000389823299e-02 5.000393131620e-02 5.546635960947e-01 5.577636988466e-01 8.888567635216e-01 8.930147623165e-01 9.003889081849e-01 9.132610428627e-01 9.157587082344e-01 9.098947543118e-01 9.499961017670e-01 9.499960686838e-01
1.123200000000e+06 6.908706854825e+05 2.573283471446e+02 2.575501091427e+02 2.579109849160e+02 2.586067775938e+02 2.600389008928e+02 2.627197677074e+02 2.652136623373e+02 2.677501104010e+02 2.701147660452e+02 2.701499675779e+02 2.701499999997e+02 2.701500000000e+02 2.701500000000e+02 1.050539640659e-01 1.050823490585e-01 7.589211829289e-02 7.637715284151e-02 7.748697270710e-02 8.010885923034e-02 8.357686127096e-02 8.916007451013e-02 5.000388584046e-02 5.000393129976e-02 5.545287166797e-01 5.576388583312e-01 8.882635429812e-01 8.925524824301e-01 9.001799268441e-01 9.135124852646e-01 9.164231387290e-01 9.108399254899e-01 9.499961141595e-01 9.499960687002e-01
1.209600000000e+06 6.908706854827e+05 2.575755469156e+02 2.578420171284e+02 2.582438616504e+02 2.589304018181e+02 2.602242909659e+02 2.626058638838e+02 2.649256236393e+02 2.674600481064e+02 2.701027834892e+02 2.701499489981e+02 2.701499999994e+02 2.701500000000e+02 2.701500000000e+02 1.050856415261e-01 1.051205948225e-01 7.612017281553e-02 7.661407013651e-02 7.764315304336e-02 7.997877418489e-02 8.310238368214e-02 8.834976929651e-02 5.000387056620e-02 5.000393127542e-02 5.545007812090e-01 5.576054294812e-01 8.880479225488e-01 8.923272109363e-01 9.000295804587e-01 9.136409687305e-01 9.168976163179e-01 9.116502307035e-01 9.499961294338e-01 9.499960687246e-01
1.296000000000e+06 6.908706854828e+05 2.567481914140e+02 2.571639774373e+02 2.577569458278e+02 2.586530420374e+02 2.601039601721e+02 2.624601279120e+02 2.646825603350e+02 2.671952002479e+02 2.700882583299e+02 2.701499222994e+02 2.701499999988e+02 2.701500000000e+02 2.701500000000e+02 1.049822964393e-01 1.050332859221e-01 7.578895508623e-02 7.641056366748e-02 7.754142494399e-02 7.981518714486e-02 8.271977750591e-02 8.765890152453e-02 5.000385221118e-02 5.000393124045e-02 5.545924994672e-01 5.576820279662e-01 8.883608565272e-01 8.925207580984e-01 9.001275425221e-01 9.138023006428e-01 9.172802224941e-01 9.123410984755e-01 9.499961477888e-01 9.499960687596e-01
1.382400000000e+06 6.908706854829e+05 2.555715881936e+02 2.561101175172e+02 2.568727683544e+02 2.579938323280e+02 2.596999574553e+02 2.622139196684e+02 2.644377732454e+02 2.669486519338e+02 2.700710370258e+02 2.701498849277e+02 2.701499999979e+02 2.701500000000e+02 2.701500000000e+02 1.048474132021e-01 1.049075087768e-01 7.522383415507e-02 7.594821473762e-02 7.720932884827e-02 7.954582492834e-02 8.234972857264e-02 8.705340427702e-02 5.000383067352e-02 5.000393119149e-02 5.547154454984e-01 5.577946167191e-01 8.888914226772e-01 8.929584679644e-01 9.004464560664e-01 9.140673530158e-01 9.176502714274e-01 9.129465957230e-01 9.499961693265e-01 9.499960688085e-01
1.468800000000e+06 6.908706854829e+05 2.569030525961e+02 2.571619510011e+02 2.575732235335e+02 2.583144753716e+02 2.596928871714e+02 2.620351545183e+02 2.642121555823e+02 2.667175811152e+02 2.700510309357e+02 2.701498338332e+02 2.701499999965e+02 2.701500000000e+02 2.701500000000e+02 1.050010715896e-01 1.050330328706e-01 7.566780513084e-02 7.616947729943e-02 7.720364252066e-02 7.935553481055e-02 8.202135695650e-02 8.651578473698e-02 5.000380595371e-02 5.000393112457e-02 5.545757038000e-01 5.576822515620e-01 8.884749569165e-01 8.927493480604e-01 9.004519046989e-01 9.142541415291e-01 9.179786430435e-01 9.134842152630e-01 9.499961940463e-01 9.499960688754e-01
1.555200000000e+06 6.908706854829e+05 2.565665381668e+02 2.569203367919e+02 2.574349459898e+02 2.582459452500e+02 2.596180271506e+02 2.618818182046e+02 2.640078536224e+02 2.665010447594e+02 2.700282138678e+02 2.701497654489e+02 2.701499999942e+02 2.701500000000e+02 2.701500000000e+02 1.049605905537e-01 1.050031828226e-01 7.557794750107e-02 7.612162291507e-02 7.714369313392e-02 7.919571054264e-02 8.173389369598e-02 8.603599809893e-02 5.000377814739e-02 5.000393103500e-02 5.546120017800e-01 5.577086994836e-01 8.885594598841e-01 8.927946311488e-01 9.005093233548e-01 9.144107263892e-01 9.182661063040e-01 9.139640019011e-01 9.499962218526e-01 9.499960689650e-01
1.641600000000e+06 6.908706854829e+05 2.574927804954e+02 2.576970565647e+02 2.580205678845e+02 2.586091358710e+02 2.597437998908e+02 2.618035205927e+02 2.638390686905e+02 2.663010175794e+02 2.700026163493e+02 2.701496756810e+02 2.701499999906e+02 2.701500000000e+02 2.701500000000e+02 1.050749566523e-01 1.051014743842e-01 7.596641012949e-02 7.637885228789e-02 7.724468380182e-02 7.911527501105e-02 8.150312503268e-02 8.561186202849e-02 5.000374743255e-02 5.000393091743e-02 5.545101882547e-01 5.576221195572e-01 8.881933768492e-01 8.925508692036e-01 9.004125698739e-01 9.144894270712e-01 9.184968749673e-01 9.143881379715e-01 9.499962525675e-01 9.499960690826e-01
1.728000000000e+06 6.908706854829e+05 2.579275488109e+02 2.581166958188e+02 2.584080461699e+02 2.589228035039e+02 2.599166914569e+02 2.617854393669e+02 2.637101701403e+02 2.661201482571e+02 2.699743192497e+02 2.701495599140e+02 2.701499999852e+02 2.701500000000e+02 2.701500000000e+02 1.051319970626e-01 1.051575369555e-01 7.623532422780e-02 7.660842055537e-02 7.738571044703e-02 7.909681099342e-02 8.133081049190e-02 8.524303521227e-02 5.000371405474e-02 5.000393076582e-02 5.544601362146e-01 5.575732966446e-01 8.879387907446e-01 8.923325912900e-01 9.002772463931e-01 9.145074828913e-01 9.186691895081e-01 9.147569647877e-01 9.499962859453e-01 9.499960692342e-01
1.814400000000e+06 6.908706854829e+05 2.594572209885e+02 2.594625170629e+02 2.595107559387e+02 2.597207235781e+02 2.603567810363e+02 2.618841930863e+02 2.636396573758e+02 2.659635652143e+02 2.699434488674e+02 2.701494130279e+02 2.701499999772e+02 2.701500000000e+02 2.701500000000e+02 1.053525435244e-01 1.053533669141e-01 7.705859886545e-02 7.722605455584e-02 7.775671578041e-02 7.919816255004e-02 8.123793932424e-02 8.493431884827e-02 5.000367831360e-02 5.000393057348e-02 5.542692936421e-01 5.574046809308e-01 8.871535938476e-01 8.917419934485e-01 8.999200733634e-01 9.144083261623e-01 9.187620606758e-01 9.150656811517e-01 9.499963216864e-01 9.499960694265e-01
1.900800000000e+06 6.908706854829e+05 2.616713574167e+02 2.614602780880e+02 2.612115113121e+02 2.610202964969e+02 2.611459572662e+02 2.621588716066e+02 2.636558484824e+02 2.658400751950e+02 2.699101753719e+02 2.701492294288e+02 2.701499999656e+02 2.701500000000e+02 2.701500000000e+02 1.057418093699e-01 1.057002838291e-01 7.853138121963e-02 7.835142742725e-02 7.846923339913e-02 7.948676439993e-02 8.125917863553e-02 8.469742583954e-02 5.000364055298e-02 5.000393033308e-02 5.539349652903e-01 5.571078124078e-01 8.857283435260e-01 8.906539304623e-01 8.992295169175e-01 9.141253676831e-01 9.187408213645e-01 9.153025741605e-01 9.499963594470e-01 9.499960696669e-01
1.987200000000e+06 6.908706854829e+05 2.628247562475e+02 2.626158787089e+02 2.623463185565e+02 2.620571378534e+02 2.619340580424e+02 2.625371123293e+02 2.637550572226e+02 2.657561304682e+02 2.698747126019e+02 2.701490030917e+02 2.701499999490e+02 2.701500000000e+02 2.701500000000e+02 1.059893206922e-01 1.059416898143e-01 7.968960227684e-02 7.937870254888e-02 7.924981541205e-02 7.990120783956e-02 8.139043961382e-02 8.453957397102e-02 5.000360115255e-02 5.000393003677e-02 5.537201529535e-01 5.568993351661e-01 8.845906038909e-01 8.896482255377e-01 8.984664132028e-01 9.137174995066e-01 9.186095603862e-01 9.154604260290e-01 9.499963988474e-01 9.499960699632e-01
2.073600000000e+06 6.908706854829e+05 2.651245965766e+02 2.647080115725e+02 2.641636100772e+02 2.635219263163e+02 2.629520315663e+02 2.630454021746e+02 2.639422473357e+02 2.657171035730e+02 2.698373225270e+02 2.701487276157e+02 2.701499999256e+02 2.701500000000e+02 2.701500000000e+02 1.066227639416e-01 1.064903215726e-01 8.195238560167e-02 8.108517408928e-02 8.038041149408e-02 8.049203818408e-02 8.164348902314e-02 8.446704010683e-02 5.000356052453e-02 5.000392967618e-02 5.531548236772e-01 5.564136851522e-01 8.823310500905e-01 8.879542283677e-01 8.973499011843e-01 9.131330596389e-01 9.183565109769e-01 9.155329598932e-01 9.499964394755e-01 9.499960703238e-01
