"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.908706854797e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.908706854810e+05 2.609475886261e+02 2.626039792253e+02 2.639356680193e+02 2.656762957287e+02 2.678180918992e+02 2.695122804958e+02 2.700029312251e+02 2.701332197927e+02 2.701499990643e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.056036758188e-01 1.059390163582e-01 8.163463606829e-02 8.439197231890e-02 8.935904706213e-02 9.585873554319e-02 9.859373477729e-02 9.942222375648e-02 5.000393145920e-02 5.000393134223e-02 5.540538167813e-01 5.569016588252e-01 8.826509853521e-01 8.846038639826e-01 8.881517880291e-01 8.971926464121e-01 9.014062652227e-01 9.005777762435e-01 9.499960685408e-01 9.499960686578e-01
1.728000000000e+05 6.908706854810e+05 2.610091383895e+02 2.621385053607e+02 2.630698858454e+02 2.643931771450e+02 2.663336072198e+02 2.685072482527e+02 2.695469982621e+02 2.700224216051e+02 2.701499276903e+02 2.701499999958e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.056149695247e-01 1.058376530076e-01 8.052154909499e-02 8.228404769314e-02 8.567998013150e-02 9.159759130001e-02 9.603481966066e-02 9.871454449650e-02 5.000393136570e-02 5.000393134222e-02 5.540441178180e-01 5.569894985219e-01 8.837651269351e-01 8.867488485641e-01 8.919769156108e-01 9.017066197542e-01 9.039651803393e-01 9.012854555035e-01 9.499960686343e-01 9.499960686578e-01
2.592000000000e+05 6.908706854810e+05 2.624527148737e+02 2.630568073918e+02 2.635791327015e+02 2.644046489466e+02 2.658109712349e+02 2.677903357148e+02 2.690552958680e+02 2.698413243974e+02 2.701496198480e+02 2.701499999664e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.059053972423e-01 1.060438498424e-01 8.115915217326e-02 8.230094106535e-02 8.464261860689e-02 8.927746240882e-02 9.373955344877e-02 9.763036443694e-02 5.000393096249e-02 5.000393134218e-02 5.537933055293e-01 5.568102519921e-01 8.831282116772e-01 8.867317823513e-01 8.930435321145e-01 9.041430793997e-01 9.062604465512e-01 9.023696355631e-01 9.499960690375e-01 9.499960686578e-01
3.456000000000e+05 6.908706854810e+05 2.630910830327e+02 2.635464524298e+02 2.639365290004e+02 2.645526414046e+02 2.656402164442e+02 2.673417234829e+02 2.686314232824e+02 2.696228369928e+02 2.701488008689e+02 2.701499998481e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060520535985e-01 1.061649111971e-01 8.163581545002e-02 8.252170181474e-02 8.432589842187e-02 8.803586252597e-02 9.205068655842e-02 9.642799577503e-02 5.000392989021e-02 5.000393134203e-02 5.536652199590e-01 5.567039216933e-01 8.826497993441e-01 8.865085660460e-01 8.933679403464e-01 9.054389686872e-01 9.079493134416e-01 9.035720042250e-01 9.499960701098e-01 9.499960686580e-01
4.320000000000e+05 6.908706854810e+05 2.621472599891e+02 2.628011580177e+02 2.633312102861e+02 2.640776066587e+02 2.652445828477e+02 2.669373619175e+02 2.682542900808e+02 2.693885965819e+02 2.701471128974e+02 2.701499994942e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058395035800e-01 1.059838719225e-01 8.084293763006e-02 8.183118143195e-02 8.362940110234e-02 8.702669303463e-02 9.072465333712e-02 9.524965648776e-02 5.000392768201e-02 5.000393134156e-02 5.538505042632e-01 5.568626212251e-01 8.834445301892e-01 8.872055297703e-01 8.940791415994e-01 9.064874859309e-01 9.092753466629e-01 9.047503435122e-01 9.499960723180e-01 9.499960686584e-01
5.184000000000e+05 6.908706854839e+05 2.598406429757e+02 2.608656495768e+02 2.616816021352e+02 2.627724290140e+02 2.643377934920e+02 2.663651841772e+02 2.678395611639e+02 2.691354982883e+02 2.701441476636e+02 2.701499986198e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.054133424917e-01 1.055887647736e-01 7.899156997178e-02 8.016967866259e-02 8.220292464293e-02 8.574621594135e-02 8.942240735844e-02 9.408677769018e-02 5.000392380890e-02 5.000393134042e-02 5.542170842066e-01 5.572033940287e-01 8.852779722232e-01 8.888664423849e-01 8.955254039489e-01 9.078109077113e-01 9.105775926416e-01 9.059132223098e-01 9.499960761911e-01 9.499960686596e-01
6.048000000000e+05 6.908706854838e+05 2.591877221897e+02 2.601068978935e+02 2.608586219406e+02 2.619209535336e+02 2.635429296426e+02 2.657493964148e+02 2.673859589360e+02 2.688586650105e+02 2.701394727907e+02 2.701499967354e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053112280451e-01 1.054570349302e-01 7.820236233886e-02 7.923620979264e-02 8.111226324835e-02 8.452722720257e-02 8.815207106811e-02 9.292701194900e-02 5.000391771821e-02 5.000393133795e-02 5.543048252664e-01 5.573160166449e-01 8.860489223825e-01 8.897883962916e-01 8.966206807914e-01 9.090625581408e-01 9.118479289319e-01 9.070729880510e-01 9.499960822818e-01 9.499960686620e-01
6.912000000000e+05 6.908706854838e+05 2.564263997253e+02 2.577471366386e+02 2.588042341219e+02 2.602294970001e+02 2.622888807896e+02 2.649415703693e+02 2.668428097797e+02 2.685440495586e+02 2.701326421182e+02 2.701499930706e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049440741956e-01 1.051080512154e-01 7.652080878112e-02 7.764758434804e-02 7.962692563480e-02 8.312820823797e-02 8.680375983788e-02 9.172994703211e-02 5.000390885275e-02 5.000393133315e-02 5.546269015176e-01 5.576163741812e-01 8.876674888403e-01 8.913361990649e-01 8.980954221658e-01 9.104876928220e-01 9.131962401621e-01 9.082700529679e-01 9.499960911473e-01 9.499960686669e-01
7.776000000000e+05 6.908706854838e+05 2.549688868226e+02 2.562779076304e+02 2.573437157319e+02 2.588306155522e+02 2.610644782095e+02 2.640441212073e+02 2.662178137958e+02 2.681826619815e+02 2.701231924679e+02 2.701499864900e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.047831816530e-01 1.049267860007e-01 7.551927302636e-02 7.654021357968e-02 7.839265079222e-02 8.178442602433e-02 8.544055541396e-02 9.048887203169e-02 5.000389665412e-02 5.000393132453e-02 5.547757693432e-01 5.577771471763e-01 8.886145801846e-01 8.923975153369e-01 8.993040214163e-01 9.118433559157e-01 9.145594445860e-01 9.095111279683e-01 9.499961033459e-01 9.499960686755e-01
