"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.908706854797e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.908706854816e+05 2.609105013323e+02 2.623903060859e+02 2.637330645598e+02 2.655175040663e+02 2.677259748452e+02 2.694843586226e+02 2.699961977365e+02 2.701324308440e+02 2.701499990187e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055969093615e-01 1.058917207661e-01 8.136133609422e-02 8.410446003229e-02 8.909054199896e-02 9.571875567941e-02 9.855222337018e-02 9.941705648760e-02 5.000393145914e-02 5.000393134223e-02 5.540596294956e-01 5.569427070212e-01 8.829255154598e-01 8.848981554011e-01 8.884328596080e-01 8.973415838800e-01 9.014477766298e-01 9.005829435124e-01 9.499960685409e-01 9.499960686578e-01
1.728000000000e+05 6.908706854816e+05 2.609820243898e+02 2.619812210102e+02 2.629109636976e+02 2.642521804705e+02 2.662281472074e+02 2.684549859407e+02 2.695262106683e+02 2.700177938871e+02 2.701499249596e+02 2.701499999956e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.056099844913e-01 1.058047544811e-01 8.033176766712e-02 8.207892157689e-02 8.546184850431e-02 9.141188503916e-02 9.592905484440e-02 9.868575245286e-02 5.000393136212e-02 5.000393134222e-02 5.540484021856e-01 5.570179038191e-01 8.839540036601e-01 8.869558997081e-01 8.922016963861e-01 9.019022732249e-01 9.040709451556e-01 9.013142475471e-01 9.499960686379e-01 9.499960686578e-01
2.592000000000e+05 6.908706854816e+05 2.624367850057e+02 2.629629424211e+02 2.634769935586e+02 2.643036333195e+02 2.657212870539e+02 2.677312762685e+02 2.690242082010e+02 2.698316462621e+02 2.701496065136e+02 2.701499999651e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.059018956721e-01 1.060215825784e-01 8.102749957694e-02 8.215324462059e-02 8.447499686955e-02 8.910582099234e-02 9.360749793661e-02 9.757477101100e-02 5.000393094503e-02 5.000393134218e-02 5.537963531504e-01 5.568297177689e-01 8.832600121182e-01 8.868809164352e-01 8.932152983414e-01 9.043225851153e-01 9.063925020634e-01 9.024252289890e-01 9.499960690550e-01 9.499960686578e-01
3.456000000000e+05 6.908706854816e+05 2.630790355040e+02 2.634758506688e+02 2.638593912860e+02 2.644744430872e+02 2.655656955803e+02 2.672842059939e+02 2.685950859759e+02 2.696083419254e+02 2.701487614582e+02 2.701499998429e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060491655930e-01 1.061469261206e-01 8.153076144102e-02 8.240439446752e-02 8.419082364150e-02 8.788639525835e-02 9.191626806260e-02 9.635192829709e-02 5.000392983863e-02 5.000393134202e-02 5.536677563289e-01 5.567197728627e-01 8.827553993875e-01 8.866272235748e-01 8.935061072663e-01 9.055945472208e-01 9.080837319374e-01 9.036480717029e-01 9.499960701614e-01 9.499960686580e-01
4.320000000000e+05 6.908706854816e+05 2.621315502407e+02 2.627109037933e+02 2.632397094626e+02 2.639926382334e+02 2.651695407589e+02 2.668795009125e+02 2.682146533839e+02 2.693699682606e+02 2.701470235880e+02 2.701499994775e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058361842935e-01 1.059631924986e-01 8.072905213277e-02 8.171300982834e-02 8.350279607178e-02 8.688981271285e-02 9.059361064690e-02 9.516036977407e-02 5.000392756524e-02 5.000393134154e-02 5.538533832268e-01 5.568806316992e-01 8.835582401526e-01 8.873244317633e-01 8.942080805400e-01 9.066293448037e-01 9.094063893531e-01 9.048396302259e-01 9.499960724348e-01 9.499960686585e-01
5.184000000000e+05 6.908706854843e+05 2.598169593176e+02 2.607305027622e+02 2.615497542233e+02 2.626573961746e+02 2.642451525466e+02 2.662997815485e+02 2.677950518869e+02 2.691128874571e+02 2.701439766399e+02 2.701499985759e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.054095157179e-01 1.055644746735e-01 7.885985565768e-02 8.003738125986e-02 8.206881665555e-02 8.560950303916e-02 8.929112779619e-02 9.398789720726e-02 5.000392358575e-02 5.000393134036e-02 5.542203707072e-01 5.572241747035e-01 8.854071087651e-01 8.889976272511e-01 8.956605982082e-01 9.079517032418e-01 9.107088722038e-01 9.060121027927e-01 9.499960764143e-01 9.499960686596e-01
6.048000000000e+05 6.908706854842e+05 2.591655376449e+02 2.599788300063e+02 2.607288405671e+02 2.618023486220e+02 2.634429241274e+02 2.656769152552e+02 2.673359213021e+02 2.688319546210e+02 2.701391811629e+02 2.701499966355e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053078772043e-01 1.054358635796e-01 7.808468664219e-02 7.911407697473e-02 8.098401921338e-02 8.439311079593e-02 8.802052822128e-02 9.282066430844e-02 5.000391733888e-02 5.000393133782e-02 5.543077132443e-01 5.573341122909e-01 8.861632836946e-01 8.899083710361e-01 8.967488105119e-01 9.091997304783e-01 9.119794717787e-01 9.071793356916e-01 9.499960826611e-01 9.499960686622e-01
6.912000000000e+05 6.908706854842e+05 2.563955297871e+02 2.575706698807e+02 2.586311368495e+02 2.600777281189e+02 2.621668334752e+02 2.648567396707e+02 2.667850528648e+02 2.685126356448e+02 2.701321847284e+02 2.701499928659e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049404622889e-01 1.050850096915e-01 7.639472564106e-02 7.751942371973e-02 7.949528085103e-02 8.299252583052e-02 8.666997351131e-02 9.161672144965e-02 5.000390826054e-02 5.000393133288e-02 5.546301717476e-01 5.576365272048e-01 8.877874380274e-01 8.914598036395e-01 8.982250972818e-01 9.106251947484e-01 9.133300264887e-01 9.083832785504e-01 9.499960917395e-01 9.499960686671e-01
7.776000000000e+05 6.908706854842e+05 2.549374089435e+02 2.560966466513e+02 2.571616739291e+02 2.586662765558e+02 2.609281377775e+02 2.639472068296e+02 2.661512697916e+02 2.681458336533e+02 2.701225182494e+02 2.701499861043e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.047799102483e-01 1.049059727998e-01 7.540361327443e-02 7.642014895960e-02 7.826611609456e-02 8.165045493559e-02 8.530558142938e-02 9.036951039694e-02 5.000389578668e-02 5.000393132402e-02 5.547788824862e-01 5.577960127500e-01 8.887230987770e-01 8.925116542470e-01 8.994269755635e-01 9.119777256292e-01 9.146944185706e-01 9.096304896031e-01 9.499961042133e-01 9.499960686760e-01
