"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.908706854797e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.908706854821e+05 2.608927256813e+02 2.622872165008e+02 2.636336754668e+02 2.654391003387e+02 2.676801376612e+02 2.694703584770e+02 2.699928093300e+02 2.701320329363e+02 2.701499989957e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055936764777e-01 1.058693719333e-01 8.123026641958e-02 8.396557565026e-02 8.895930362068e-02 9.564913000239e-02 9.853138103462e-02 9.941445108401e-02 5.000393145911e-02 5.000393134223e-02 5.540624070397e-01 5.569620650749e-01 8.830569563536e-01 8.850401310313e-01 8.885701430454e-01 8.974156505863e-01 9.014686189654e-01 9.005855489160e-01 9.499960685409e-01 9.499960686578e-01
1.728000000000e+05 6.908706854821e+05 2.609692093962e+02 2.619064969214e+02 2.628343540832e+02 2.641838516551e+02 2.661766743140e+02 2.684292653029e+02 2.695159288431e+02 2.700154971666e+02 2.701499236004e+02 2.701499999955e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.056076338357e-01 1.057893521864e-01 8.024175433612e-02 8.198114891991e-02 8.535706778295e-02 9.132155051976e-02 9.587705569240e-02 9.867148517083e-02 5.000393136034e-02 5.000393134222e-02 5.540504229321e-01 5.570311863178e-01 8.840434720475e-01 8.870544757045e-01 8.923095792580e-01 9.019974091266e-01 9.041229443076e-01 9.013285148292e-01 9.499960686397e-01 9.499960686578e-01
2.592000000000e+05 6.908706854821e+05 2.624293556545e+02 2.629189839050e+02 2.634284430116e+02 2.642553026324e+02 2.656780294053e+02 2.677025255887e+02 2.690089790764e+02 2.698268798951e+02 2.701495999039e+02 2.701499999645e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.059002651164e-01 1.060112533348e-01 8.096560287732e-02 8.208341429334e-02 8.439515855492e-02 8.902321010660e-02 9.354331453323e-02 9.754747528913e-02 5.000393093637e-02 5.000393134218e-02 5.537977727944e-01 5.568387380672e-01 8.833219269951e-01 8.869513682917e-01 8.932970510201e-01 9.044089413877e-01 9.064566854668e-01 9.024525247109e-01 9.499960690636e-01 9.499960686578e-01
3.456000000000e+05 6.908706854821e+05 2.630734194793e+02 2.634428124771e+02 2.638228281605e+02 2.644372072007e+02 2.655299767076e+02 2.672564012777e+02 2.685774065991e+02 2.696012451259e+02 2.701487419868e+02 2.701499998403e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060478209911e-01 1.061385731797e-01 8.148139295314e-02 8.234905625365e-02 8.412673863812e-02 8.781487525091e-02 9.185141074811e-02 9.631484439191e-02 5.000392981314e-02 5.000393134202e-02 5.536689377372e-01 5.567271281730e-01 8.828049934776e-01 8.866831630765e-01 8.935716195502e-01 9.056689575512e-01 9.081485892519e-01 9.036851556081e-01 9.499960701869e-01 9.499960686580e-01
4.320000000000e+05 6.908706854821e+05 2.621241245208e+02 2.626680527262e+02 2.631958207045e+02 2.639518922494e+02 2.651335127090e+02 2.668516041814e+02 2.681954492887e+02 2.693608883957e+02 2.701469795872e+02 2.701499994692e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058346176412e-01 1.059534620549e-01 8.067494934690e-02 8.165688625760e-02 8.344260431047e-02 8.682444906550e-02 9.053064914350e-02 9.511707249991e-02 5.000392750772e-02 5.000393134153e-02 5.538547425454e-01 5.568890984175e-01 8.836122193641e-01 8.873808629315e-01 8.942693441806e-01 9.066970543158e-01 9.094693508565e-01 9.048829275001e-01 9.499960724923e-01 9.499960686585e-01
5.184000000000e+05 6.908706854846e+05 2.598057607073e+02 2.606662532164e+02 2.614863636915e+02 2.626020931205e+02 2.642006008534e+02 2.662682691051e+02 2.677735374237e+02 2.691019026970e+02 2.701438925889e+02 2.701499985543e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.054077095972e-01 1.055530571856e-01 7.879727682010e-02 7.997450155219e-02 8.200501857871e-02 8.554428331024e-02 8.922821803103e-02 9.394013876114e-02 5.000392347609e-02 5.000393134033e-02 5.542219225785e-01 5.572339393398e-01 8.854683981776e-01 8.890599195076e-01 8.957248636068e-01 9.080188346227e-01 9.107717819690e-01 9.060598612389e-01 9.499960765239e-01 9.499960686597e-01
6.048000000000e+05 6.908706854845e+05 2.591551492069e+02 2.599185687904e+02 2.606670143371e+02 2.617457292070e+02 2.633950509515e+02 2.656420897063e+02 2.673117963500e+02 2.688190148169e+02 2.701390381606e+02 2.701499965863e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053063106716e-01 1.054260017152e-01 7.802923458690e-02 7.905640481629e-02 8.092328308385e-02 8.432931805923e-02 8.795767218686e-02 9.276947513223e-02 5.000391715291e-02 5.000393133775e-02 5.543090642270e-01 5.573425426448e-01 8.862171191438e-01 8.899649698181e-01 8.968094420605e-01 9.092649374341e-01 9.120423278131e-01 9.072305248678e-01 9.499960828471e-01 9.499960686622e-01
6.912000000000e+05 6.908706854845e+05 2.563811262850e+02 2.574878554634e+02 2.585489127640e+02 2.600055363644e+02 2.621086374925e+02 2.648161251596e+02 2.667572932014e+02 2.684974609974e+02 2.701319609094e+02 2.701499927652e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049387802470e-01 1.050743233663e-01 7.633557523563e-02 7.745919533468e-02 7.943323058336e-02 8.292825244741e-02 8.660627589133e-02 9.156241142110e-02 5.000390797082e-02 5.000393133275e-02 5.546316963363e-01 5.576458969332e-01 8.878436401862e-01 8.915178225282e-01 8.982861576319e-01 9.106902834323e-01 9.133937241087e-01 9.084375885789e-01 9.499960920292e-01 9.499960686673e-01
7.776000000000e+05 6.908706854845e+05 2.549228662885e+02 2.560124458555e+02 2.570760200422e+02 2.585887478249e+02 2.608635628579e+02 2.639010452425e+02 2.661194193534e+02 2.681281030135e+02 2.701221889877e+02 2.701499859149e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.047784015852e-01 1.048964108863e-01 7.534983610967e-02 7.636417289076e-02 7.820687693262e-02 8.158733724417e-02 8.524161297365e-02 9.031248290626e-02 5.000389536319e-02 5.000393132378e-02 5.547803201692e-01 5.578047150478e-01 8.887734947214e-01 8.925648036282e-01 8.994844751470e-01 9.120409789662e-01 9.147583870264e-01 9.096875170937e-01 9.499961046368e-01 9.499960686762e-01
