"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 6.908706854797e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.098135562983e-01 1.098135562983e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000393146042e-02 5.000393134223e-02 5.500138792159e-01 5.531552167343e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499960685396e-01 9.499960686578e-01
8.640000000000e+04 6.908706854854e+05 2.607842756578e+02 2.616583393785e+02 2.629969890121e+02 2.649291546410e+02 2.673765094205e+02 2.693759218928e+02 2.699697555848e+02 2.701293113970e+02 2.701499988372e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055740945454e-01 1.057392173304e-01 8.043397905875e-02 8.310822726080e-02 8.812726920778e-02 9.518897797974e-02 9.839040263100e-02 9.939664398775e-02 5.000393145890e-02 5.000393134223e-02 5.540792249350e-01 5.570743544123e-01 8.838523205777e-01 8.859137909439e-01 8.894389539828e-01 8.979049064555e-01 9.016095973690e-01 9.006033560123e-01 9.499960685411e-01 9.499960686578e-01
1.728000000000e+05 6.908706854854e+05 2.608935396669e+02 2.614652238615e+02 2.623617338092e+02 2.637571817273e+02 2.658499667810e+02 2.682628602169e+02 2.694486277408e+02 2.700003439696e+02 2.701499145737e+02 2.701499999950e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.055938243742e-01 1.057012447108e-01 7.970650334759e-02 8.139343390508e-02 8.471640107055e-02 9.075332644568e-02 9.554170385955e-02 9.857771870046e-02 5.000393134852e-02 5.000393134222e-02 5.540622903275e-01 5.571069873874e-01 8.845739002404e-01 8.876454159463e-01 8.929678721904e-01 9.025952590090e-01 9.044582961405e-01 9.014222812995e-01 9.499960686515e-01 9.499960686578e-01
2.592000000000e+05 6.908706854854e+05 2.623874763165e+02 2.626709210937e+02 2.631413820143e+02 2.639642481521e+02 2.654118451542e+02 2.675214380579e+02 2.689115753460e+02 2.697960009363e+02 2.701495564213e+02 2.701499999606e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058911032850e-01 1.059541116447e-01 8.060830526558e-02 8.167386835667e-02 8.391775899669e-02 8.851656904991e-02 9.314048353666e-02 9.737195828164e-02 5.000393087943e-02 5.000393134218e-02 5.538057459284e-01 5.568885335130e-01 8.836786755183e-01 8.873637906351e-01 8.937850730989e-01 9.049379731873e-01 9.068595164633e-01 9.026280417184e-01 9.499960691206e-01 9.499960686578e-01
3.456000000000e+05 6.908706854854e+05 2.630419074670e+02 2.632572699895e+02 2.636088036081e+02 2.642162749495e+02 2.653140642191e+02 2.670844550037e+02 2.684662659441e+02 2.695559288989e+02 2.701486148822e+02 2.701499998232e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.060402957947e-01 1.060923940864e-01 8.119776703688e-02 8.202741296481e-02 8.374813711418e-02 8.738286123294e-02 9.145158361958e-02 9.608047196976e-02 5.000392964678e-02 5.000393134200e-02 5.536755465672e-01 5.567677176316e-01 8.830895256652e-01 8.870078410013e-01 8.939581200101e-01 9.061179529024e-01 9.085484163804e-01 9.039195280302e-01 9.499960703532e-01 9.499960686580e-01
4.320000000000e+05 6.908706854854e+05 2.620805183989e+02 2.624163320079e+02 2.629291454458e+02 2.637046586087e+02 2.649144104265e+02 2.666801782983e+02 2.680759764038e+02 2.693035476026e+02 2.701466942924e+02 2.701499994152e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.058254476254e-01 1.058974105840e-01 8.035326959041e-02 8.132367804734e-02 8.308455391929e-02 8.643151202677e-02 9.014649009902e-02 9.484696061871e-02 5.000392713478e-02 5.000393134146e-02 5.538626951169e-01 5.569377748977e-01 8.839326209775e-01 8.877153670599e-01 8.946332580551e-01 9.071036552274e-01 9.098535099010e-01 9.051530393813e-01 9.499960728652e-01 9.499960686585e-01
5.184000000000e+05 6.908706854854e+05 2.597383765862e+02 2.602795012106e+02 2.610912368516e+02 2.622586587974e+02 2.639251602282e+02 2.660736821380e+02 2.676400438268e+02 2.690330120748e+02 2.701433508377e+02 2.701499984135e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.053968867760e-01 1.054860366689e-01 7.841772102684e-02 7.959413392768e-02 8.162025483389e-02 8.515063239812e-02 8.884560848329e-02 9.364470761046e-02 5.000392276941e-02 5.000393134015e-02 5.542312210608e-01 5.572912304218e-01 8.858392243524e-01 8.894359116714e-01 8.961117554026e-01 9.084235195489e-01 9.111543915167e-01 9.063552923895e-01 9.499960772306e-01 9.499960686599e-01
6.048000000000e+05 6.908706854853e+05 2.590937555442e+02 2.595623634007e+02 2.602876376888e+02 2.613976097974e+02 2.631001493570e+02 2.654270950223e+02 2.671623324042e+02 2.687382173474e+02 2.701381212292e+02 2.701499962673e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.052970861577e-01 1.053689747888e-01 7.769724448104e-02 7.871045915536e-02 8.055816612305e-02 8.394448428240e-02 8.757620814931e-02 9.245462028746e-02 5.000391596084e-02 5.000393133734e-02 5.543170199161e-01 5.573913192690e-01 8.865386862488e-01 8.903037330566e-01 8.971732333444e-01 9.096577531821e-01 9.124237918507e-01 9.075453797125e-01 9.499960840392e-01 9.499960686627e-01
6.912000000000e+05 6.908706854853e+05 2.562941182901e+02 2.569875693999e+02 2.580343573728e+02 2.595549518343e+02 2.617466103778e+02 2.645641738731e+02 2.665850464156e+02 2.684028904568e+02 2.701305322880e+02 2.701499921152e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.049286628219e-01 1.050114255408e-01 7.597581260499e-02 7.709354309940e-02 7.905729928348e-02 8.253912871852e-02 8.621952539325e-02 9.122944863392e-02 5.000390612253e-02 5.000393133190e-02 5.546408780687e-01 5.577013812987e-01 8.881844913782e-01 8.918691083723e-01 8.986552324873e-01 9.110836894933e-01 9.137804746068e-01 9.087705513661e-01 9.499960938775e-01 9.499960686681e-01
7.776000000000e+05 6.908706854853e+05 2.548358128524e+02 2.555084763509e+02 2.565441937281e+02 2.581070932134e+02 2.604623095109e+02 2.636143328612e+02 2.659215686263e+02 2.680176772141e+02 2.701200955533e+02 2.701499846958e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 1.047694062570e-01 1.048405414863e-01 7.502478393286e-02 7.602560953688e-02 7.784836097058e-02 8.120498166802e-02 8.485315623334e-02 8.996355997086e-02 5.000389267285e-02 5.000393132218e-02 5.547889077854e-01 5.578560472839e-01 8.890772853212e-01 8.928853942976e-01 8.998315876623e-01 9.124234271768e-01 9.151468437667e-01 9.100364400291e-01 9.499961073272e-01 9.499960686778e-01
