"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 9.354049552395e+05 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.003901542976e-01 1.003901542976e-01 2.255553909285e-01 2.255553909285e-01 2.255553909285e-01 2.255553909285e-01 2.255553743418e-01 2.255553187648e-01 1.000111736244e-01 1.000111732884e-01 1.768176130052e-01 1.794687896783e-01 5.762343172707e-01 5.854578934821e-01 6.048182466637e-01 6.609793805446e-01 7.744446256582e-01 7.744446812352e-01 8.999888263756e-01 8.999888267116e-01
8.640000000000e+04 9.354049552386e+05 2.615579282753e+02 2.661372590037e+02 2.673373384338e+02 2.685680010293e+02 2.696398950012e+02 2.700901005410e+02 2.701435608101e+02 2.701497059522e+02 2.701499999967e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.001735873809e-01 1.002344999683e-01 2.124835984301e-01 2.169864882077e-01 2.222929567210e-01 2.251389916432e-01 2.255101328867e-01 2.255532502599e-01 1.000111736243e-01 1.000111732884e-01 1.770270748913e-01 1.795944173954e-01 5.903129439521e-01 5.946963666601e-01 6.083390687506e-01 6.614285501229e-01 7.744898671133e-01 7.744467497401e-01 8.999888263757e-01 8.999888267116e-01
1.728000000000e+05 9.354049552384e+05 2.615482768619e+02 2.652798347005e+02 2.662882476129e+02 2.674861062085e+02 2.688845083874e+02 2.698638671002e+02 2.700930502115e+02 2.701442684661e+02 2.701499991562e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.001735010839e-01 1.002188445380e-01 2.094685630565e-01 2.129639150024e-01 2.183839984300e-01 2.236502683012e-01 2.251592349308e-01 2.255150435968e-01 1.000111736212e-01 1.000111732884e-01 1.770272828785e-01 1.796085282943e-01 5.935452498405e-01 5.990172119718e-01 6.125491685498e-01 6.630335645817e-01 7.748407650692e-01 7.744849564032e-01 8.999888263788e-01 8.999888267116e-01
2.592000000000e+05 9.354049552382e+05 2.628446369186e+02 2.653656630900e+02 2.660718109673e+02 2.670134992430e+02 2.683347476278e+02 2.695829115091e+02 2.700017431326e+02 2.701299114502e+02 2.701499942194e+02 2.701499999997e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.001862360149e-01 1.002202864244e-01 2.089154103125e-01 2.114872894890e-01 2.160287930967e-01 2.219641675909e-01 2.245422468714e-01 2.254145610650e-01 1.000111736028e-01 1.000111732884e-01 1.770012615877e-01 1.796071427123e-01 5.941377523831e-01 6.006006269905e-01 6.150808512417e-01 6.648496380738e-01 7.754577531286e-01 7.745854389350e-01 8.999888263972e-01 8.999888267116e-01
3.456000000000e+05 9.354049552382e+05 2.634134120175e+02 2.654365917144e+02 2.660043061656e+02 2.667833289976e+02 2.679690221602e+02 2.693066982280e+02 2.698809461028e+02 2.701042332769e+02 2.701499772237e+02 2.701499999981e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.001926691374e-01 1.002214973660e-01 2.087470362146e-01 2.108168180930e-01 2.146341671143e-01 2.204552108867e-01 2.237582202062e-01 2.252362655759e-01 1.000111735396e-01 1.000111732884e-01 1.769908900328e-01 1.796059951305e-01 5.943180782579e-01 6.013191355656e-01 6.165781069849e-01 6.664732364735e-01 7.762417797938e-01 7.747637344241e-01 8.999888264604e-01 8.999888267116e-01
4.320000000000e+05 9.354049552382e+05 2.625141222412e+02 2.649231842914e+02 2.655770737787e+02 2.664103777886e+02 2.676210391893e+02 2.690410626540e+02 2.697410384157e+02 2.700665116576e+02 2.701499332076e+02 2.701499999928e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.001827533376e-01 1.002131128677e-01 2.077239755992e-01 2.097900381078e-01 2.134128624292e-01 2.191221044249e-01 2.228925168567e-01 2.249775936486e-01 1.000111733757e-01 1.000111732884e-01 1.770075546188e-01 1.796142679896e-01 5.954135365363e-01 6.024189744706e-01 6.178881246041e-01 6.679062223241e-01 7.771074831433e-01 7.750224063514e-01 8.999888266243e-01 8.999888267116e-01
5.184000000000e+05 9.354049552382e+05 2.603360758764e+02 2.637127370661e+02 2.646094679679e+02 2.656852594052e+02 2.671337993550e+02 2.687513880425e+02 2.695826040080e+02 2.700165160769e+02 2.701498383311e+02 2.701499999775e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.001635034006e-01 1.001963024826e-01 2.056435453053e-01 2.079763536551e-01 2.118498600042e-01 2.177815211512e-01 2.219622613152e-01 2.246405493210e-01 1.000111730225e-01 1.000111732883e-01 1.770553790542e-01 1.796341280249e-01 5.976404998734e-01 6.043604166994e-01 6.195630903289e-01 6.693458463447e-01 7.780377386848e-01 7.753594506790e-01 8.999888269775e-01 8.999888267117e-01
6.048000000000e+05 9.354049552382e+05 2.596876570304e+02 2.630090816080e+02 2.639067815742e+02 2.650345953362e+02 2.666161031301e+02 2.684327325107e+02 2.694039607912e+02 2.699539210599e+02 2.701496586056e+02 2.701499999396e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.001587573174e-01 1.001880363707e-01 2.043030881665e-01 2.065207439433e-01 2.103477168083e-01 2.164241645584e-01 2.209710880603e-01 2.242275554703e-01 1.000111723535e-01 1.000111732882e-01 1.770721563043e-01 1.796464146040e-01 5.990755285385e-01 6.059177143414e-01 6.211712405778e-01 6.708019873440e-01 7.790289119397e-01 7.757724445297e-01 8.999888276465e-01 8.999888267118e-01
6.912000000000e+05 9.354049552382e+05 2.570733162742e+02 2.614696885110e+02 2.626348261888e+02 2.640409764502e+02 2.659369448175e+02 2.680572743296e+02 2.691981358716e+02 2.698776526118e+02 2.701493491235e+02 2.701499998558e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.001428278677e-01 1.001728026631e-01 2.021633613080e-01 2.045493953632e-01 2.085809161984e-01 2.149596298169e-01 2.198971834165e-01 2.237372785143e-01 1.000111712016e-01 1.000111732879e-01 1.771541509280e-01 1.796765628974e-01 6.013684819979e-01 6.080265213564e-01 6.230609202465e-01 6.723713513992e-01 7.801028165835e-01 7.762627214857e-01 8.999888287984e-01 8.999888267121e-01
7.776000000000e+05 9.354049552382e+05 2.556598017189e+02 2.602799917820e+02 2.615165851213e+02 2.630535913662e+02 2.651856985332e+02 2.676225274017e+02 2.689590130041e+02 2.697859154868e+02 2.701488535232e+02 2.701499996865e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.001358498674e-01 1.001630777406e-01 2.005254644927e-01 2.028317077353e-01 2.068459435044e-01 2.134178871744e-01 2.187308788149e-01 2.231654286996e-01 1.000111693576e-01 1.000111732873e-01 1.772092030978e-01 1.797038727889e-01 6.031279234802e-01 6.098651066804e-01 6.249150570423e-01 6.740214214639e-01 7.812691211851e-01 7.768345713004e-01 8.999888306424e-01 8.999888267127e-01
