time,elapsed_seconds,message
2022-08-30 13:49:26,1.7341e-05,PEST++ performance logger started
2022-08-30 13:49:26,0.00010384,starting to process control file
2022-08-30 13:49:26,0.0208444,finished processing control file
2022-08-30 13:49:26,0.0397734,starting basic model IO error checking
2022-08-30 13:49:26,0.00892911,finished basic model IO error checking
2022-08-30 13:49:26,6.1326e-05,loading parcov
2022-08-30 13:49:26,0.00373092,beginning iteration 1
2022-08-30 13:49:26,1.6591e-05,commencing to build jacobian parameter sets
2022-08-30 13:49:26,0.00216737,jacobian parameter sets built, commencing model runs
2022-08-30 14:43:04,3218.71,jacobian runs complete, processing runs
2022-08-30 14:43:05,0.0152182,processing jacobian runs complete
2022-08-30 14:43:05,5.5676e-05,saving jacobian and sen files
2022-08-30 14:43:05,0.0860079,commencing calculation of upgrade vector
2022-08-30 14:43:05,0.065278,forming JtQJ matrix
2022-08-30 14:43:05,0.0112052,commencing to scale JtQJ matrix- first SVD...
2022-08-30 14:43:05,5.1413e-05,starting REDSVD
2022-08-30 14:43:05,9.8206e-05,retrieving REDSVD components
2022-08-30 14:43:05,3.1613e-05,triming REDSVD components to 15elements
2022-08-30 14:43:05,1.4117e-05,done REDSVD
2022-08-30 14:43:05,2.2882e-05,S info: rows = 21: cols = 21: size = 441: nonzeros = 21
2022-08-30 14:43:05,5.384e-06,JS
2022-08-30 14:43:05,0.00235254,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
2022-08-30 14:43:05,0.0110886,S info: rows = 21: cols = 21: size = 441: nonzeros = 21
2022-08-30 14:43:05,4.787e-05,commencing SVD factorization of lambda-scaled JtQJ
2022-08-30 14:43:05,1.0546e-05,starting REDSVD
2022-08-30 14:43:05,0.000118048,retrieving REDSVD components
2022-08-30 14:43:05,3.0668e-05,triming REDSVD components to 15elements
2022-08-30 14:43:05,1.4002e-05,done REDSVD
2022-08-30 14:43:05,5.512e-06,SVD factorization complete
2022-08-30 14:43:05,0.000256658,commencing linear algebra multiplication to compute ugrade
2022-08-30 14:43:05,1.0184e-05,S info: rows = 21: cols = 21: size = 441: nonzeros = 21Vt info: rows = 15: cols = 21: size = 315: nonzeros = 315
2022-08-30 14:43:05,5.445e-06,U info: rows = 21: cols = 15: size = 315: nonzeros = 315
2022-08-30 14:43:05,6.936e-06,jac info: rows = 15344: cols = 21: size = 322224: nonzeros = 318033
2022-08-30 14:43:05,0.00559749,linear algebra multiplication to compute ugrade complete
2022-08-30 14:43:05,6.6921e-05,commencing check of parameter bounds and gradients
2022-08-30 14:43:05,0.00234313,beginning upgrade vector calculations, lambda = 0.1
2022-08-30 14:43:05,4.6804e-05,commencing calculation of upgrade vector
2022-08-30 14:43:05,0.0660749,forming JtQJ matrix
2022-08-30 14:43:05,0.0118536,commencing to scale JtQJ matrix- first SVD...
2022-08-30 14:43:05,5.8294e-05,starting REDSVD
2022-08-30 14:43:05,6.7062e-05,retrieving REDSVD components
2022-08-30 14:43:05,1.3473e-05,triming REDSVD components to 15elements
2022-08-30 14:43:05,1.0236e-05,done REDSVD
2022-08-30 14:43:05,2.277e-05,S info: rows = 21: cols = 21: size = 441: nonzeros = 21
2022-08-30 14:43:05,1.7801e-05,JS
2022-08-30 14:43:05,0.00239956,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
2022-08-30 14:43:05,0.0109306,S info: rows = 21: cols = 21: size = 441: nonzeros = 21
2022-08-30 14:43:05,4.6613e-05,commencing SVD factorization of lambda-scaled JtQJ
2022-08-30 14:43:05,9.992e-06,starting REDSVD
2022-08-30 14:43:05,0.000123087,retrieving REDSVD components
2022-08-30 14:43:05,2.5036e-05,triming REDSVD components to 18elements
2022-08-30 14:43:05,1.4851e-05,done REDSVD
2022-08-30 14:43:05,5.584e-06,SVD factorization complete
2022-08-30 14:43:05,0.000207987,commencing linear algebra multiplication to compute ugrade
2022-08-30 14:43:05,8.77e-06,S info: rows = 21: cols = 21: size = 441: nonzeros = 21Vt info: rows = 18: cols = 21: size = 378: nonzeros = 378
2022-08-30 14:43:05,5.248e-06,U info: rows = 21: cols = 18: size = 378: nonzeros = 378
2022-08-30 14:43:05,5.213e-06,jac info: rows = 15344: cols = 21: size = 322224: nonzeros = 318033
2022-08-30 14:43:05,0.00539785,linear algebra multiplication to compute ugrade complete
2022-08-30 14:43:05,6.2464e-05,commencing check of parameter bounds and gradients
2022-08-30 14:43:05,1.8529e-05,commencing calculation of upgrade vector
2022-08-30 14:43:05,0.0661286,forming JtQJ matrix
2022-08-30 14:43:05,0.0121181,commencing to scale JtQJ matrix- first SVD...
2022-08-30 14:43:05,5.711e-05,starting REDSVD
2022-08-30 14:43:05,6.7773e-05,retrieving REDSVD components
2022-08-30 14:43:05,1.3924e-05,triming REDSVD components to 15elements
2022-08-30 14:43:05,1.0852e-05,done REDSVD
2022-08-30 14:43:05,3.3971e-05,S info: rows = 21: cols = 21: size = 441: nonzeros = 21
2022-08-30 14:43:05,1.9618e-05,JS
2022-08-30 14:43:05,0.00256509,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
2022-08-30 14:43:05,0.0122134,S info: rows = 21: cols = 21: size = 441: nonzeros = 21
2022-08-30 14:43:05,5.7412e-05,commencing SVD factorization of lambda-scaled JtQJ
2022-08-30 14:43:05,1.0516e-05,starting REDSVD
2022-08-30 14:43:05,0.000125809,retrieving REDSVD components
2022-08-30 14:43:05,2.67e-05,triming REDSVD components to 18elements
2022-08-30 14:43:05,1.4415e-05,done REDSVD
2022-08-30 14:43:05,5.503e-06,SVD factorization complete
2022-08-30 14:43:05,0.00022458,commencing linear algebra multiplication to compute ugrade
