iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,b_bc
0,0,0.1,1,0.00584123,0.00179785,2.04985,2.05,0.226577,0.160678,0.440959,0.951947,0.102397,0.984324,1.5051,1.4994,0.486342,0.698883,0.638032,0.481346,1.33666e-11,1.22689e-13,900,1900,268.45
0,0,0.1,0.75,0.00688092,0.00180462,2.04989,2.05,0.226014,0.16038,0.440613,0.951986,0.102054,0.984344,1.5051,1.4994,0.48649,0.698883,0.637873,0.481267,2.33915e-11,1.17017e-13,900,1900,268.45
0,0,1,1,0.00952843,0.00179334,2.04998,2.05,0.224579,0.159599,0.439692,0.95209,0.101138,0.984399,1.50511,1.49939,0.486885,0.698884,0.637474,0.481057,1.33666e-11,1.34383e-13,900,1900,268.45
0,0,1,0.75,0.00964632,0.00180123,2.04999,2.05,0.224515,0.159571,0.439663,0.952094,0.101109,0.984401,1.50511,1.49939,0.486898,0.698884,0.637454,0.48105,2.33915e-11,1.25788e-13,900,1900,268.45
0,0,10,1,0.00995218,0.00180363,2.05,2.05,0.22435,0.159499,0.439588,0.952104,0.101034,0.984405,1.50511,1.49939,0.486931,0.698884,0.637403,0.481033,1.33666e-11,1.35182e-13,900,1900,268.45
0,0,10,0.75,0.00996414,0.00180895,2.05,2.05,0.224343,0.159496,0.439585,0.952104,0.101032,0.984405,1.50511,1.49939,0.486932,0.698884,0.637401,0.481033,2.33915e-11,1.26386e-13,900,1900,268.45
0,0,100,1,0.00997906,0.00180956,2.05,2.05,0.224335,0.159492,0.439581,0.952104,0.101028,0.984405,1.50511,1.49939,0.486933,0.698884,0.637398,0.481032,1.33666e-11,5.2619e-14,900,1900,268.45
0,0,100,0.75,0.00998429,0.0018134,2.05,2.05,0.224332,0.159491,0.43958,0.952105,0.101027,0.984405,1.50511,1.49939,0.486934,0.698884,0.637398,0.481031,2.33915e-11,6.44642e-14,900,1900,268.45
0,0,1000,1,0.00999479,0.00181964,2.05,2.05,0.224327,0.159489,0.439578,0.952105,0.101025,0.984405,1.50511,1.49939,0.486935,0.698884,0.637396,0.481031,5.34639e-11,9.99934e-14,900,1900,268.45
0,0,1000,0.75,0.00999609,0.00182096,2.05,2.05,0.224326,0.159489,0.439577,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637396,0.481031,5.34645e-11,9.9995e-14,900,1900,268.45
1,0,0.1,1,0.0025,0.00181432,2.04974,2.05002,0.227624,0.16162,0.442058,0.951846,0.10347,0.984254,1.50508,1.4994,0.48586,0.698885,0.638272,0.481641,1.33666e-11,1.56822e-13,900,1900,268.45
1,0,0.1,0.75,0.00333531,0.0018102,2.04977,2.05002,0.227363,0.161384,0.441783,0.951871,0.103202,0.984272,1.50508,1.4994,0.485981,0.698884,0.638212,0.481567,1.33666e-11,1.48288e-13,900,1900,268.45
1,0,1,1,0.00356924,0.00173155,2.0498,2.05001,0.227013,0.16091,0.44122,0.951915,0.102648,0.98431,1.50509,1.4994,0.486228,0.698882,0.638176,0.481396,1.33666e-11,1.75e-13,900,1900,268.45
1,0,1,0.75,0.00413724,0.00174813,2.04981,2.05001,0.226904,0.160852,0.441155,0.951923,0.102585,0.984314,1.5051,1.4994,0.486257,0.698882,0.63814,0.481383,1.33666e-11,1.61922e-13,900,1900,268.45
1,0,10,1,0.00548127,0.0017034,2.04984,2.05001,0.22664,0.160706,0.440991,0.951943,0.102428,0.984322,1.5051,1.4994,0.486328,0.698882,0.638054,0.481351,1.33666e-11,1.75e-13,900,1900,268.45
1,0,10,0.75,0.00557126,0.00172701,2.04984,2.05001,0.226624,0.160699,0.440983,0.951944,0.102421,0.984323,1.5051,1.4994,0.486331,0.698882,0.638049,0.48135,1.33666e-11,1.61922e-13,900,1900,268.45
1,0,100,1,0.00580208,0.00177322,2.04985,2.05,0.226584,0.160681,0.440962,0.951946,0.1024,0.984324,1.5051,1.4994,0.486341,0.698883,0.638035,0.481346,1.33666e-11,1.75e-13,900,1900,268.45
1,0,100,0.75,0.00581186,0.00177938,2.04985,2.05,0.226582,0.16068,0.440961,0.951947,0.1024,0.984324,1.5051,1.4994,0.486341,0.698883,0.638034,0.481346,1.33666e-11,1.61922e-13,900,1900,268.45
1,0,1000,1,0.00582753,0.00178811,2.04985,2.05,0.226579,0.160679,0.44096,0.951947,0.102398,0.984324,1.5051,1.4994,0.486342,0.698883,0.638033,0.481346,1.3368e-11,1.22686e-13,900,1900,268.45
1,0,1000,0.75,0.00583095,0.00179054,2.04985,2.05,0.226579,0.160679,0.440959,0.951947,0.102398,0.984324,1.5051,1.4994,0.486342,0.698883,0.638033,0.481346,1.33676e-11,1.22687e-13,900,1900,268.45
2,0,0.1,1,0.0025,0.0017981,2.04967,2.05002,0.22776,0.161724,0.442198,0.951822,0.103594,0.984246,1.50507,1.4994,0.485792,0.698885,0.638334,0.481619,1.33666e-11,1.75e-13,900,1900,268.45
2,0,0.1,0.75,0.0025,0.00180216,2.04969,2.05002,0.227726,0.161698,0.442163,0.951828,0.103563,0.984248,1.50507,1.4994,0.485809,0.698885,0.638318,0.481624,1.33666e-11,1.70455e-13,900,1900,268.45
2,0,1,1,0.0025,0.00180041,2.04974,2.05002,0.227641,0.161632,0.442072,0.951844,0.103483,0.984254,1.50507,1.4994,0.485853,0.698885,0.63828,0.481639,1.33666e-11,1.75e-13,900,1900,268.45
2,0,1,0.75,0.0025,0.00180389,2.04974,2.05002,0.227637,0.161629,0.442069,0.951844,0.10348,0.984254,1.50507,1.4994,0.485855,0.698885,0.638278,0.48164,1.33666e-11,1.70455e-13,900,1900,268.45
2,0,10,1,0.0025,0.00180419,2.04974,2.05002,0.227626,0.161621,0.442059,0.951846,0.103471,0.984254,1.50508,1.4994,0.48586,0.698885,0.638273,0.481641,1.33666e-11,1.75e-13,900,1900,268.45
