name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.0025,0.005,0.015,0.0025,0.00249807,-0.00249615,0.00749615
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.00198075,0.000684308,0.00061213,0.00334936
n_p,1.5,0.25625,0.9875,2.0125,1.5,0.256175,0.987648,2.01235
wr_p,0.1,0.044,0.012,0.188,0.110246,0.0439945,0.0222573,0.198235
por_p,0.63739,0.17275,0.29189,0.98289,0.506009,0.172587,0.160834,0.851183
por_m,0.481031,0.180387,0.120258,0.841804,0.427077,0.180261,0.0665537,0.787599
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,5.93296e-11,2.00496e-11,1.92305e-11,9.94287e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,1.59941e-13,3.74996e-14,8.49421e-14,2.3494e-13
pen_s,0.02,0.0075,0.005,0.035,0.0284825,0.00749987,0.0134828,0.0434822
z_bg,0.04,0.015,0.01,0.07,0.0546057,0.0149994,0.024607,0.0846045
z_s,0.005,0.001875,0.00125,0.00875,0.00634418,0.00187498,0.00259421,0.0100942
b_bc,268.45,2.75,262.95,273.95,268.45,2.74999,262.95,273.95
