time,elapsed_seconds,message
2023-08-15 16:32:45,0.000647989,PEST++ performance logger started
2023-08-15 16:32:45,0.00849187,starting to process control file
2023-08-15 16:32:45,0.0483735,finished processing control file
2023-08-15 16:32:45,0.0226747,starting basic model IO error checking
2023-08-15 16:32:46,0.066419,finished basic model IO error checking
2023-08-15 16:32:46,0.000176513,loading parcov
2023-08-15 16:32:46,0.0123322,beginning iteration 1
2023-08-15 16:32:46,7.9459e-05,commencing to build jacobian parameter sets
2023-08-15 16:32:46,0.00808138,jacobian parameter sets built, commencing model runs
2023-08-15 16:49:24,998.876,jacobian runs complete, processing runs
2023-08-15 16:49:24,0.00791055,processing jacobian runs complete
2023-08-15 16:49:24,5.9022e-05,saving jacobian and sen files
2023-08-15 16:49:24,0.0375088,commencing calculation of upgrade vector
2023-08-15 16:49:24,0.0151915,forming JtQJ matrix
2023-08-15 16:49:24,0.00216165,commencing to scale JtQJ matrix- first SVD...
2023-08-15 16:49:24,2.3781e-05,starting REDSVD
2023-08-15 16:49:24,7.6952e-05,retrieving REDSVD components
2023-08-15 16:49:24,1.2597e-05,triming REDSVD components to 12elements
2023-08-15 16:49:24,1.5478e-05,done REDSVD
2023-08-15 16:49:24,2.4629e-05,S info: rows = 12: cols = 12: size = 144: nonzeros = 12
2023-08-15 16:49:24,5.191e-06,JS
2023-08-15 16:49:24,0.000611669,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
2023-08-15 16:49:24,0.00231918,S info: rows = 12: cols = 12: size = 144: nonzeros = 12
2023-08-15 16:49:24,1.8857e-05,commencing SVD factorization of lambda-scaled JtQJ
2023-08-15 16:49:24,6.327e-06,starting REDSVD
2023-08-15 16:49:24,5.804e-05,retrieving REDSVD components
2023-08-15 16:49:24,1.1082e-05,triming REDSVD components to 10elements
2023-08-15 16:49:24,9.539e-06,done REDSVD
2023-08-15 16:49:24,5.109e-06,SVD factorization complete
2023-08-15 16:49:24,0.000128911,commencing linear algebra multiplication to compute ugrade
2023-08-15 16:49:24,6.785e-06,S info: rows = 12: cols = 12: size = 144: nonzeros = 12Vt info: rows = 10: cols = 12: size = 120: nonzeros = 120
2023-08-15 16:49:24,5.447e-06,U info: rows = 12: cols = 10: size = 120: nonzeros = 120
2023-08-15 16:49:24,5.134e-06,jac info: rows = 5124: cols = 12: size = 61488: nonzeros = 56512
2023-08-15 16:49:24,0.00164786,linear algebra multiplication to compute ugrade complete
2023-08-15 16:49:24,0.000209106,commencing check of parameter bounds and gradients
2023-08-15 16:49:24,0.00678696,beginning upgrade vector calculations, lambda = 0.1
2023-08-15 16:49:24,7.7023e-05,commencing calculation of upgrade vector
2023-08-15 16:49:24,0.0153268,forming JtQJ matrix
2023-08-15 16:49:25,0.00211677,commencing to scale JtQJ matrix- first SVD...
