iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,wr_p,por_p,por_m,perm_p,perm_m,pen_s,z_bg,z_s,b_bc
0,0,0.1,1,0.0100545,0.00170055,1.5,0.102536,0.549077,0.446387,5.02782e-11,9.34279e-14,0.0249051,0.0454482,0.00610661,268.45
0,0,0.1,0.75,0.0100409,0.00173164,1.5,0.101902,0.571155,0.455048,5.10752e-11,9.50709e-14,0.0236788,0.0440861,0.00582996,268.45
0,0,1,1,0.00982251,0.0017627,1.5,0.0997239,0.623722,0.476587,3.32631e-11,1.39515e-13,0.0238241,0.0433114,0.00530956,268.45
0,0,1,0.75,0.00986688,0.00177826,1.5,0.0997929,0.627139,0.477698,3.83139e-11,1.29636e-13,0.0228681,0.0424836,0.00523217,268.45
0,0,10,1,0.0102016,0.00149346,1.49992,0.099958,0.635954,0.480572,5.20108e-11,1.43569e-13,0.0212336,0.040916,0.00513709,268.45
0,0,10,0.75,0.0101512,0.00157632,1.49994,0.0999685,0.636313,0.480687,5.23746e-11,1.32677e-13,0.0209252,0.040687,0.00510281,268.45
0,0,100,1,0.0100446,0.00169382,1.49999,0.0999961,0.637247,0.480985,5.7264e-11,1.38193e-13,0.0201691,0.040123,0.0050249,268.45
0,0,100,0.75,0.0100334,0.00172659,1.49999,0.0999971,0.637282,0.480996,5.63145e-11,1.28645e-13,0.0201268,0.0400922,0.00501868,268.45
0,0,1000,1,0.0100049,0.00180805,1.5,0.0999996,0.637376,0.481026,5.67535e-11,1.35856e-13,0.0200178,0.040013,0.00500262,268.45
0,0,1000,0.75,0.0100037,0.00181227,1.5,0.0999997,0.637379,0.481027,5.59317e-11,1.26892e-13,0.0200133,0.0400097,0.00500196,268.45
1,0,0.1,1,0.0025,0.00198075,1.5,0.110246,0.506009,0.427077,5.93296e-11,1.59941e-13,0.0284825,0.0546057,0.00634418,268.45
1,0,0.1,0.75,0.00438862,0.0019107,1.5,0.108319,0.516776,0.431904,5.70668e-11,1.43313e-13,0.0275882,0.0523164,0.00628479,268.45
1,0,1,1,0.00525751,0.00205383,1.5,0.103068,0.542213,0.443801,5.68331e-11,1.75e-13,0.0263122,0.04897,0.00593922,268.45
1,0,1,0.75,0.00645676,0.00196551,1.5,0.102935,0.543929,0.444448,5.51944e-11,1.54607e-13,0.0259604,0.0480895,0.00598107,268.45
1,0,10,1,0.00899993,0.00194807,1.5,0.102519,0.54838,0.446125,4.58312e-11,1.75e-13,0.0250504,0.0459429,0.0059941,268.45
1,0,10,0.75,0.00926357,0.00188619,1.5,0.102523,0.548554,0.44619,4.69429e-11,1.54607e-13,0.0250141,0.0458192,0.00602222,268.45
1,0,100,1,0.0099373,0.00181232,1.5,0.102533,0.549008,0.446361,4.46228e-11,1.75e-13,0.0249199,0.0455,0.00609294,268.45
1,0,100,0.75,0.00996659,0.00178438,1.5,0.102533,0.549025,0.446368,4.60366e-11,1.54607e-13,0.0249162,0.045487,0.00609636,268.45
1,0,1000,1,0.0100429,0.00171914,1.5,0.102535,0.54907,0.446385,4.6455e-11,1.75e-13,0.0249067,0.0454534,0.00610538,268.45
1,0,1000,0.75,0.0100458,0.00171449,1.5,0.102535,0.549072,0.446385,4.74108e-11,1.54607e-13,0.0249063,0.0454521,0.00610569,268.45
2,0,0.1,1,0.0025,0.00230792,1.49614,0.119029,0.481522,0.417434,6.66302e-11,1.75e-13,0.0316991,0.0640015,0.00191211,268.45
2,0,0.1,0.75,0.0025,0.00222613,1.4971,0.116833,0.487644,0.419845,6.48051e-11,1.71235e-13,0.0308949,0.0616525,0.00302013,268.45
2,0,1,1,0.0025,0.0021074,1.49976,0.111218,0.504052,0.426379,6.67718e-11,1.75e-13,0.0284396,0.0559164,0.00459618,268.45
2,0,1,0.75,0.0025,0.00207573,1.49982,0.110975,0.504541,0.426554,6.49113e-11,1.71235e-13,0.0284503,0.0555887,0.00503318,268.45
2,0,10,1,0.0025,0.00194428,1.49994,0.110522,0.505528,0.4269,7.61412e-11,1.61227e-13,0.0282644,0.0549217,0.00514592,268.45
2,0,10,0.75,0.0025,0.00195339,1.49996,0.110453,0.505648,0.426944,7.19383e-11,1.60906e-13,0.0283189,0.0548427,0.00544549,268.45
2,0,100,1,0.0025,0.00194647,1.49999,0.110275,0.50596,0.427058,7.18783e-11,1.59596e-13,0.0284522,0.0546357,0.00618872,268.45
2,0,100,0.75,0.0025,0.00195504,1.49999,0.110268,0.505972,0.427063,6.87411e-11,1.59682e-13,0.0284598,0.0546282,0.00622758,268.45
2,0,1000,1,0.0025,0.0019763,1.5,0.110249,0.506004,0.427075,7.05159e-11,1.62307e-13,0.0284794,0.0546087,0.00632807,268.45
2,0,1000,0.75,0.0025,0.00197741,1.5,0.110248,0.506005,0.427075,6.77193e-11,1.61715e-13,0.0284802,0.054608,0.0063321,268.45
3,0,0.1,1,0.0025,0.00228114,1.48718,0.124766,0.463574,0.400367,7.55408e-11,1.75e-13,0.0313073,0.0637073,0.00125,268.45
3,0,0.1,0.75,0.0025,0.00228784,1.48942,0.123332,0.468061,0.404634,7.33131e-11,1.75e-13,0.0314053,0.0637809,0.00141553,268.45
3,0,1,1,0.0025,0.00214655,1.49499,0.119813,0.478415,0.414857,7.55127e-11,1.75e-13,0.0315672,0.0635982,0.00125,268.45
3,0,1,0.75,0.0025,0.00218689,1.49528,0.119617,0.479192,0.415502,7.32921e-11,1.75e-13,0.0316002,0.063699,0.00141553,268.45
3,0,10,1,0.0025,0.00213469,1.49598,0.119137,0.481084,0.417076,7.27195e-11,1.75e-13,0.0316569,0.0639236,0.00125,268.45
3,0,10,0.75,0.0025,0.002178,1.49602,0.11911,0.481193,0.417165,7.11972e-11,1.75e-13,0.0316675,0.063943,0.00141553,268.45
3,0,100,1,0.0025,0.00226434,1.49612,0.119041,0.481476,0.417396,6.08532e-11,1.75e-13,0.0316913,0.0639909,0.00171066,268.45
3,0,100,0.75,0.0025,0.00227523,1.49612,0.119038,0.481488,0.417406,6.22975e-11,1.75e-13,0.0316932,0.0639936,0.00176102,268.45
3,0,1000,1,0.0025,0.00230302,1.49613,0.11903,0.481518,0.417431,5.66106e-11,1.75e-13,0.0316982,0.0640003,0.00188727,268.45
3,0,1000,0.75,0.0025,0.00230425,1.49614,0.11903,0.481519,0.417432,5.91155e-11,1.75e-13,0.0316984,0.0640006,0.00189348,268.45
4,0,0.1,1,0.0025,0.00114324,1.47414,0.134918,0.443712,0.379417,5.72547e-11,1.75e-13,0.0271082,0.0684254,0.00125,268.45
4,0,0.1,0.75,0.0025,0.00142771,1.4774,0.13238,0.448677,0.384654,6.18262e-11,1.75e-13,0.028158,0.0672459,0.00125,268.45
4,0,1,1,0.0025,0.00125564,1.48567,0.12603,0.460524,0.397492,5.2847e-11,1.75e-13,0.0296117,0.0641282,0.00125,268.45
4,0,1,0.75,0.0025,0.00151202,1.48605,0.125714,0.461286,0.398211,5.85205e-11,1.75e-13,0.0300356,0.064023,0.00125,268.45
4,0,10,1,0.0025,0.00146876,1.48702,0.124889,0.463255,0.400068,4.57653e-11,1.75e-13,0.0310218,0.0637318,0.00125,268.45
4,0,10,0.75,0.0025,0.00167186,1.48706,0.124858,0.463335,0.400143,5.32092e-11,1.75e-13,0.0310932,0.0637257,0.00125,268.45
4,0,100,1,0.0025,0.00203268,1.48716,0.124777,0.463543,0.400337,3.08558e-11,1.75e-13,0.0312708,0.0637088,0.00125,268.45
4,0,100,0.75,0.0025,0.00209479,1.48717,0.124774,0.463551,0.400344,4.20271e-11,1.75e-13,0.0312799,0.0637085,0.00125,268.45
4,0,1000,1,0.0025,0.0022499,1.48718,0.124767,0.463571,0.400364,2.51838e-11,1.75e-13,0.0313034,0.0637075,0.00125,268.45
4,0,1000,0.75,0.0025,0.00225771,1.48718,0.124767,0.463572,0.400364,3.7773e-11,1.75e-13,0.0313044,0.0637074,0.00125,268.45
5,0,0.1,1,0.0025,0.00107602,1.46695,0.137592,0.437753,0.371192,5.60759e-11,1.75e-13,0.0251574,0.07,0.00125,268.45
5,0,0.1,0.75,0.0025,0.00109283,1.46875,0.136924,0.439242,0.373248,5.63706e-11,1.75e-13,0.0256451,0.0696063,0.00125,268.45
5,0,1,1,0.0025,0.000945422,1.47265,0.135482,0.441991,0.377212,5.51133e-11,1.75e-13,0.0262675,0.0685434,0.00125,268.45
5,0,1,0.75,0.0025,0.000994876,1.47302,0.135341,0.442421,0.377763,5.56486e-11,1.75e-13,0.0264777,0.0685139,0.00125,268.45
5,0,10,1,0.0025,0.000941066,1.47399,0.134973,0.443529,0.379186,5.43665e-11,1.75e-13,0.0270055,0.0684291,0.00125,268.45
5,0,10,0.75,0.0025,0.000991609,1.47403,0.134959,0.443575,0.379243,5.50885e-11,1.75e-13,0.0270312,0.0684282,0.00125,268.45
5,0,100,1,0.0025,0.00102031,1.47412,0.134923,0.443693,0.379393,5.10454e-11,1.75e-13,0.0270961,0.0684248,0.00125,268.45
5,0,100,0.75,0.0025,0.00105104,1.47413,0.134922,0.443698,0.379399,5.25977e-11,1.75e-13,0.0270991,0.068425,0.00125,268.45
5,0,1000,1,0.0025,0.00111853,1.47414,0.134918,0.44371,0.379414,4.70566e-11,1.75e-13,0.0271068,0.0684252,0.00125,268.45
5,0,1000,0.75,0.0025,0.00112471,1.47414,0.134918,0.44371,0.379415,4.96061e-11,1.75e-13,0.0271071,0.0684253,0.00125,268.45
6,0,0.1,1,0.0025,0.00113244,1.46821,0.137442,0.438661,0.372767,5.66176e-11,1.75e-13,0.0257285,0.07,0.00126953,268.45
6,0,0.1,0.75,0.0025,0.00112254,1.46835,0.137313,0.438806,0.372887,5.65559e-11,1.75e-13,0.0257076,0.0699016,0.00126464,268.45
6,0,1,1,0.0025,0.0013651,1.46837,0.13735,0.438711,0.372834,5.77151e-11,1.75e-13,0.0259726,0.07,0.00137817,268.45
6,0,1,0.75,0.0025,0.00129703,1.46846,0.137243,0.438844,0.372938,5.7379e-11,1.75e-13,0.0258907,0.0699016,0.00134613,268.45
6,0,10,1,0.0025,0.00194553,1.46862,0.137076,0.439052,0.373096,6.0774e-11,1.75e-13,0.0258269,0.0697533,0.00153885,268.45
6,0,10,0.75,0.0025,0.00173236,1.46865,0.137038,0.439099,0.373134,5.96731e-11,1.75e-13,0.0257815,0.0697166,0.00146664,268.45
6,0,100,1,0.0025,0.00152521,1.46873,0.136939,0.439223,0.373231,6.24431e-11,1.75e-13,0.0256715,0.069622,0.00128727,268.45
