,Name,Group,Measured,Modelled,Residual,Weight,Weighted_Residual,Absolute_Residual,Weighted_Absolute_Residual,Weighted_Sq_Residual,Phi_Percent
0,stemp_0.04_0,temp,260.6422,258.367325848,2.2748741525,0.0002263746,0.0005149737263225265,2.2748741525,0.0005149737263225265,2.651979388025084e-07,0.008538657722274813
1,stemp_0.04_1,temp,261.2884,260.919967217,0.3684327833,0.0002263746,8.340382394642419e-05,0.3684327833,8.340382394642419e-05,6.956197848886122e-09,0.00022397079233822884
2,stemp_0.04_2,temp,261.3255,260.884463621,0.4410363791,0.0002263746,9.983943390421086e-05,0.4410363791,9.983943390421086e-05,9.96791256231329e-09,0.0003209398759261829
3,stemp_0.04_3,temp,261.1522,260.739123164,0.4130768357,0.0002263746,9.351010345085322e-05,0.4130768357,9.351010345085322e-05,8.744139447389272e-09,0.0002815376852257496
4,stemp_0.04_4,temp,260.7784,260.372318155,0.4060818455,0.0002263746,9.19266153423243e-05,0.4060818455,9.19266153423243e-05,8.450502608295653e-09,0.000272083371685484
5,stemp_0.04_5,temp,260.3231,259.913095758,0.4100042418,0.0002263746,9.281454623577828e-05,0.4100042418,9.281454623577828e-05,8.614539992953426e-09,0.00027736493264924743
6,stemp_0.04_6,temp,260.3782,259.856327939,0.5218720608,0.0002263746,0.0001181385790147757,0.5218720608,0.0001181385790147757,1.3956723851630402e-08,0.0004493688315659481
7,stemp_0.04_7,temp,259.7585,259.212219475,0.5462805248,0.0002263746,0.0001236640352893901,0.5462805248,0.0001236640352893901,1.5292793624055518e-08,0.0004923866714908327
8,stemp_0.04_8,temp,259.4415,258.882627367,0.558872633,0.0002263746,0.0001265145687463218,0.558872633,0.0001265145687463218,1.6005936105067787e-08,0.0005153479342369671
9,stemp_0.04_9,temp,259.1726,258.693928161,0.4786718391,0.0002263746,0.00010835914610752687,0.4786718391,0.00010835914610752687,1.1741704545152355e-08,0.0003780511893864921
10,stemp_0.04_10,temp,259.3997,258.861357811,0.5383421885,0.0002263746,0.00012186699758481212,0.5383421885,0.00012186699758481212,1.4851565100336603e-08,0.00047818030413235166
11,stemp_0.04_11,temp,258.8128,258.144897511,0.6679024889,0.0002263746,0.00015119615876374196,0.6679024889,0.00015119615876374196,2.2860278424910664e-08,0.0007360392535010512
12,stemp_0.04_12,temp,258.3265,257.872240384,0.4542596157,0.0002263746,0.00010283283880024123,0.4542596157,0.00010283283880024123,1.0574592735716398e-08,0.00034047333976444134
13,stemp_0.04_13,temp,258.0017,257.632817551,0.3688824488,0.0002263746,8.350561679412048e-05,0.3688824488,8.350561679412048e-05,6.973188036166496e-09,0.00022451783050330483
14,stemp_0.04_14,temp,258.5859,258.593659652,-0.007759652,0.0002263746,-1.7565881176392001e-06,0.007759652,1.7565881176392001e-06,3.0856018150312283e-12,9.934804879988899e-08
15,stemp_0.04_15,temp,258.8353,258.266790324,0.5685096762,0.0002263746,0.00012869615054590455,0.5685096762,0.00012869615054590455,1.656269916533413e-08,0.0005332742017844718
16,stemp_0.04_16,temp,259.0194,258.694370687,0.325029313,0.0002263746,7.35783807186498e-05,0.325029313,7.35783807186498e-05,5.413778109178576e-09,0.00017430904051273397
17,stemp_0.04_17,temp,259.0142,258.816733518,0.1974664822,0.0002263746,4.470139592143212e-05,0.1974664822,4.470139592143212e-05,1.998214797324628e-09,6.433712225284593e-05
18,stemp_0.04_18,temp,259.1731,258.906613246,0.2664867537,0.0002263746,6.032583227413603e-05,0.2664867537,6.032583227413603e-05,3.6392060395671927e-09,0.00011717261036421611
19,stemp_0.04_19,temp,258.7783,258.062036713,0.716263287,0.0002263746,0.0001621438150893102,0.716263287,0.0001621438150893102,2.6290616771716422e-08,0.0008464868880008838
20,stemp_0.04_20,temp,258.1565,257.193829997,0.9626700032,0.0002263746,0.0002179240369063987,0.9626700032,0.0002179240369063987,4.7490885861581424e-08,0.0015290783221420287
21,stemp_0.04_21,temp,257.205,255.985042356,1.2199576445,0.0002263746,0.0002761674237906297,1.2199576445,0.0002761674237906297,7.626844596315327e-08,0.0024556380718107535
22,stemp_0.04_22,temp,255.8992,254.991359647,0.9078403533,0.0002263746,0.0002055119968421462,0.9078403533,0.0002055119968421462,4.223518084604631e-08,0.0013598588085231209
23,stemp_0.04_23,temp,255.3265,254.501425209,0.8250747912,0.0002263746,0.00018677597582798355,0.8250747912,0.00018677597582798355,3.488526514649549e-08,0.00112321136424274
24,stemp_0.04_24,temp,255.2708,254.570623703,0.700176297,0.0002263746,0.0001585021291628562,0.700176297,0.0001585021291628562,2.512292494915875e-08,0.0008088903635220708
