TIMESTAMP,Soil moisture at - 0.04 m (%),Soil moisture at - 0.1 m (%),Soil moisture at - 0.2 m (%),Soil moisture at - 0.4 m (%),Soil moisture at - 0.8 m (%),Soil moisture at - 1.2 m (%),Soil moisture at - 1.6 m (%),Soil temperature at - 0.04 m (K),Soil temperature at - 0.1 m (K),Soil temperature at - 0.2 m (K),Soil temperature at - 0.4 m (K),Soil temperature at - 0.8 m (K),Soil temperature at - 1.2 m (K),Soil temperature at - 1.6 m (K)
2016-01-01,14.5390773889,14.5391097996,14.5391583042,7.78946858755,7.78960124352,7.78979395689,7.7900116467,258.367325848,259.833831342,261.545082199,262.858144239,264.988291569,266.860212822,268.139168864
2016-01-02,14.5391389683,14.5391562216,14.5391954314,7.78949528256,7.78960110671,7.78977515156,7.78997893256,260.919967217,261.480924294,262.578503158,263.378600349,264.988280335,266.717446934,267.981998836
2016-01-03,14.5391379309,14.5391683255,14.5392124336,7.78951423952,7.78960864085,7.78976527819,7.78995351734,260.884463621,261.843954023,262.991316543,263.714365703,265.08367899,266.639795391,267.852733426
2016-01-04,14.5391337475,14.5391707037,14.5392204666,7.78952579073,7.78961574841,7.78975949143,7.78993356275,260.739123164,261.912573867,263.17506914,263.907176031,265.171175087,266.593383528,267.746496514
2016-01-05,14.539123624,14.5391659959,14.5392217623,7.78953089456,7.78962063268,7.78975558841,7.78991766312,260.372318155,261.775894191,263.204070493,263.989468895,265.230066184,266.561694703,267.658666656
2016-01-06,14.539111762,14.5391576715,14.5392185443,7.7895309128,7.78962266789,7.78975206639,7.78990445034,259.913095758,261.525669744,263.131721526,263.989246079,265.254331842,266.532828335,267.58341937
2016-01-07,14.5391103541,14.5391550769,14.5392167231,7.78953000697,7.78962273176,7.78974827433,7.78989290294,259.856327939,261.445345235,263.0902928,263.974460796,265.255146893,266.501457251,267.515902804
2016-01-08,14.539095205,14.5391439337,14.5392097848,7.78952503734,7.78962043355,7.78974372459,7.78988225561,259.212219475,261.087007352,262.929190918,263.89317995,265.227847375,266.463413037,267.45214297
2016-01-09,14.5390879968,14.5391361449,14.5392031239,7.78951879817,7.7896162433,7.78973820991,7.78987197453,258.882627367,260.822845147,262.769464917,263.789333554,265.177559761,266.416697075,267.389155728
2016-01-10,14.539084022,14.539131108,14.5391977553,7.78951275584,7.78961095944,7.78973182202,7.78986175942,258.693928161,260.645589346,262.636947839,263.686683012,265.113236719,266.361739935,267.325141794
