,Case1_rw,Case1_rw_rank,Case2_rw,Case2_rw_rank,Case3_rw,Case3_rw_rank
perm_m,12.785093222531,1.0,15.156661098914887,1.0,14.058613587018087,1.0
perm_p,9.378985497953893,2.0,10.484792143002373,2.0,8.084195516863577,2.0
alpha_m,-8.004672005927805,3.0,-6.998552358162913,3.0,-9.08676967275852,3.0
alpha_p,-8.671411373521723,4.0,-9.913849047905842,4.0,-9.26142631944054,4.0
wr_p,-11.461937717257308,5.0,-11.931702282038307,7.0,-9.71146982259688,5.0
wr_m,-11.540221638886916,6.0,,,,
por_m,-12.155953840585408,7.0,-11.670692174760616,6.0,-10.91220612215639,6.0
por_p,-12.299673686744324,8.0,-11.48368710241351,5.0,-11.029512148814575,7.0
tcd_p,-12.48948119583286,9.0,,,,
tcs_p,-12.517659507652981,10.0,,,,
auf_p,-13.189903732875036,11.0,,,,
n_p,-13.270909790511755,12.0,-13.403977232121182,8.0,-11.469080843193812,8.0
n_m,-13.652864636530316,13.0,,,,
tcs_m,-13.75485770125233,14.0,,,,
af_p,-14.431039505978273,15.0,,,,
tcd_m,-14.612408439518147,16.0,,,,
af_m,-15.583381640343829,17.0,,,,
auf_m,-16.235588353765365,18.0,,,,
den_p,-16.96154957540927,19.0,,,,
den_m,-17.708422351539408,20.0,,,,
b_bc,-18.17807187712716,21.0,-17.495965597318314,9.0,-16.91567710959992,9.0
