,Case1_rw,Case2_rw,Case3_rw
alpha_p,-8.671411373521723,-9.913849047905842,-9.26142631944054
alpha_m,-8.004672005927805,-6.998552358162913,-9.08676967275852
n_p,-13.270909790511755,-13.403977232121182,-11.469080843193812
n_m,-13.652864636530316,,
wr_p,-11.461937717257308,-11.931702282038307,-9.71146982259688
wr_m,-11.540221638886916,,
tcs_p,-12.517659507652981,,
tcs_m,-13.75485770125233,,
tcd_p,-12.48948119583286,,
tcd_m,-14.612408439518147,,
af_p,-14.431039505978273,,
af_m,-15.583381640343829,,
auf_p,-13.189903732875036,,
auf_m,-16.235588353765365,,
por_p,-12.299673686744324,-11.48368710241351,-11.029512148814575
por_m,-12.155953840585408,-11.670692174760616,-10.91220612215639
perm_p,9.378985497953893,10.484792143002373,8.084195516863577
perm_m,12.785093222531,15.156661098914887,14.058613587018087
den_p,-16.96154957540927,,
den_m,-17.708422351539408,,
b_bc,-18.17807187712716,-17.495965597318314,-16.91567710959992
