,Case1_inipar,Case1_parlbnd,Case1_parubnd,Case2_inipar,Case2_parlbnd,Case2_parubnd,Case3_inipar,Case3_parlbnd,Case3_parubnd,Case1_bestpar,Case2_bestpar,Case3_bestpar
alpha_p,0.01,0.0025,0.0175,0.01,0.0025,0.0125,0.01,0.0025,0.0125,0.0025,0.0112732,0.0025
alpha_m,0.00182491435344,0.00045622858836,0.00319360011852,0.001825,0.00046,0.0032,0.00182491435344,0.00045622858836,0.00319360011852,0.00176734,0.000475278,0.00114256
n_p,2.05,1.025,3.075,1.5,1.025,2.05,1.5,1.025,2.05,2.04967,1.48723,1.46821
n_m,2.05,1.025,3.075,,,,,,,2.05002,,
wr_p,0.22432414346,0.056081035865,0.3925672510549999,0.1,0.024,0.2,0.1,0.024,0.2,0.227761,0.178925,0.137443
wr_m,0.1594880648121,0.039872016203025,0.279104113421175,,,,,,,0.161725,,
tcs_p,0.43957660836642,0.109894152091605,0.769259064641235,,,,,,,0.442199,,
tcs_m,0.9521050640268,0.2380262660067,1.6661838620468998,,,,,,,0.951822,,
tcd_p,0.10102340591993,0.0252558514799825,0.1767909603598775,,,,,,,0.103595,,
tcd_m,0.98440542894689,0.2461013572367225,1.7227095006570574,,,,,,,0.984246,,
af_p,1.5051141503909,0.376278537597725,2.633949763184075,,,,,,,1.50507,,
af_m,1.4993891283097,0.374847282077425,2.623930974541975,,,,,,,1.4994,,
auf_p,0.48693541309098,0.121733853272745,0.852136972909215,,,,,,,0.485792,,
auf_m,0.69888402864099,0.1747210071602475,1.2230470501217323,,,,,,,0.698885,,
por_p,0.63739495707099,0.1593487392677475,1.1154411748742326,0.637,0.15935,0.85,0.63739,0.159,0.85,0.638335,0.421524,0.438661
por_m,0.48103076529074,0.120257691322685,0.841803839258795,0.481,0.12,0.8418,0.48103076529074,0.120257691322685,0.841803839258795,0.481619,0.362321,0.372766
perm_p,5.34662212722e-11,1.336655531805e-11,9.356588722634999e-11,5.346e-11,1.3366e-11,9.3565e-11,5.34662212722e-11,1.3366555318050002e-11,9.356588722634999e-11,1.33722e-11,1.33666e-11,5.60088e-11
perm_m,1e-13,2.5e-14,1.75e-13,1e-13,2.5e-14,1.75e-13,1e-13,2.5e-14,1.75e-13,1.75e-13,3.04505e-14,1.75e-13
den_p,900.0,225.0,1575.0,,,,,,,900.0,,
den_m,1900.0,950.0,2850.0,,,,,,,1900.0,,
b_bc,268.45,263.15,274.15,268.45,263.15,274.15,268.45,263.15,274.15,268.45,268.45,268.45
pen_s,,,,0.02,0.005,0.035,0.02,0.005,0.035,,0.02,0.0257297
z_bg,,,,0.04,0.01,0.07,0.04,0.01,0.07,,0.0431176,0.07
z_s,,,,0.005,0.00125,0.00875,0.005,0.00125,0.00875,,0.005,0.00125488
